gene,logFC,P.Value,adj.P.Val,logFC_depth,P_depth,q_depth,hit_baseline,hit_depth,reportable,tier,hierarchy_bin
SPRY2,1.61954788397254,0.0433675183223235,0.187055283369928,1.68606801186699,0.0374205854130868,0.195377334489808,FALSE,FALSE,FALSE,primary,Mono_DC
FLYWCH2,-0.429872653581965,0.0433619858775495,0.187055283369928,-0.436195256333371,0.048969944070726,0.225191674442886,FALSE,FALSE,FALSE,primary,Mono_DC
KDM6A,0.38394006656863,0.0433916297537268,0.18708611593192,0.320609978184927,0.102575095318738,0.332342159853767,FALSE,FALSE,FALSE,primary,Mono_DC
DDX43,-1.34927360303166,0.0434370976154773,0.187167142064299,-1.12484310441569,0.0762067907173283,0.283693212607043,FALSE,FALSE,FALSE,primary,Mono_DC
FBF1,0.635813910221841,0.0434443633769702,0.187167142064299,0.59211582772914,0.0620672891831427,0.253245881159112,FALSE,FALSE,FALSE,primary,Mono_DC
NOP14-AS1,0.356402284036377,0.0434807243888403,0.187250647904927,0.350158776375437,0.0576446320802794,0.242879968379036,FALSE,FALSE,FALSE,primary,Mono_DC
LINC01597,1.24420383206406,0.0435332465287157,0.187403659627325,1.25089623041777,0.0427928983016868,0.208931630122534,FALSE,FALSE,FALSE,primary,Mono_DC
POLR2E,-0.353850162513376,0.0435714608361913,0.18749498305203,-0.382446276230451,0.0372269947611043,0.194987507166134,FALSE,FALSE,FALSE,primary,Mono_DC
ATXN10,-0.352996998328525,0.0435932166661052,0.187515439395661,-0.389033427098176,0.0343494631662181,0.187726126265088,FALSE,FALSE,FALSE,primary,Mono_DC
GFER,-0.310354936836399,0.0436103582237414,0.1875160393176,-0.310136922770578,0.0540673117489224,0.23594879114717,FALSE,FALSE,FALSE,primary,Mono_DC
RAB10,-0.534344790719493,0.0436274053769633,0.187516233009559,-0.513242226316315,0.0602705166903006,0.24940267457324,FALSE,FALSE,FALSE,primary,Mono_DC
KIF2C,0.963086729528251,0.0438086424888345,0.187935947352955,0.87168676629891,0.0704470551971604,0.271509803008376,FALSE,FALSE,FALSE,primary,Mono_DC
FCGR2A,-0.735687460228953,0.0438033504731815,0.187935947352955,-0.69954144204647,0.0622627705697385,0.253565735829593,FALSE,FALSE,FALSE,primary,Mono_DC
SNHG9,0.515045026788462,0.0438272968167377,0.187935947352955,0.458579792745233,0.0815198415319872,0.293644011994113,FALSE,FALSE,FALSE,primary,Mono_DC
EFCAB11,0.510708608180677,0.0438186070803513,0.187935947352955,0.458848298508886,0.0749545470127964,0.280655051436264,FALSE,FALSE,FALSE,primary,Mono_DC
CTDSP2,-0.299250533407999,0.0437851069803982,0.187935947352955,-0.30175586133043,0.0520682620177015,0.231874573846428,FALSE,FALSE,FALSE,primary,Mono_DC
CARM1,0.258460471807858,0.0437724989334317,0.187935947352955,0.241675331408716,0.07343085854774,0.277764421160881,FALSE,FALSE,FALSE,primary,Mono_DC
KCNC4,0.978472799598116,0.043926918987756,0.188289929854629,0.87505371693605,0.0720949266983776,0.275052389122988,FALSE,FALSE,FALSE,primary,Mono_DC
CBY1,0.70784697853134,0.0439911375554298,0.188418740232557,0.645073797407189,0.0692898116197732,0.269201853741026,FALSE,FALSE,FALSE,primary,Mono_DC
ZNF836,-0.436203152079878,0.0439756606303231,0.188418740232557,-0.344739266067903,0.116116563981765,0.356488444323332,FALSE,FALSE,FALSE,primary,Mono_DC
DAPP1,-0.540462984792633,0.0440368544993824,0.188541330851587,-0.587227438338961,0.0366524471210411,0.194104089100142,FALSE,FALSE,FALSE,primary,Mono_DC
PPP1R2,-0.325885644510137,0.0440716253589668,0.188616979466063,-0.325969120096942,0.053502584490918,0.235013967423173,FALSE,FALSE,FALSE,primary,Mono_DC
LRRC37B,0.347059437880428,0.0441424753492232,0.188846920336145,0.332431871199359,0.0681854765693798,0.26670248948875,FALSE,FALSE,FALSE,primary,Mono_DC
ANXA2R,0.529244376114977,0.0442436696845021,0.189206449379749,0.680514786007969,0.010024796628724,0.0977143192875628,FALSE,FALSE,FALSE,primary,Mono_DC
FCHO2,-0.664209876461287,0.0443166744227748,0.189445194654567,-0.521264501555228,0.11946467189302,0.362308323408188,FALSE,FALSE,FALSE,primary,Mono_DC
FAM111B,-1.09107653974863,0.0444218917794053,0.189607006138455,-1.04962972163825,0.0586167691669689,0.245190173268919,FALSE,FALSE,FALSE,primary,Mono_DC
MAPRE3,-0.710880079079764,0.0443933292915545,0.189607006138455,-0.736674803882331,0.0477490553873008,0.222137744604371,FALSE,FALSE,FALSE,primary,Mono_DC
LINC01023,0.572244439832729,0.0444232934864239,0.189607006138455,0.583772020087175,0.0465191165905522,0.218815505963699,FALSE,FALSE,FALSE,primary,Mono_DC
SCAF8,0.376574644205175,0.0443890842019927,0.189607006138455,0.3274513277999,0.0920344259663798,0.312727843885761,FALSE,FALSE,FALSE,primary,Mono_DC
DCTN4,0.388063239252973,0.0445410190481855,0.190035937749492,0.318264348839638,0.107836804978931,0.342484719628393,FALSE,FALSE,FALSE,primary,Mono_DC
SIRPA,-0.454981316911604,0.0445665026776039,0.190071136129657,-0.489851014029073,0.0371182804140834,0.194810043860014,FALSE,FALSE,FALSE,primary,Mono_DC
KCTD3,0.402798567671253,0.0446298868211805,0.190154478370841,0.368265597559359,0.0772107015573592,0.285905438832031,FALSE,FALSE,FALSE,primary,Mono_DC
BANP,-0.3434571813081,0.0446299827889149,0.190154478370841,-0.340893722686322,0.058905913716353,0.245512039516644,FALSE,FALSE,FALSE,primary,Mono_DC
ATF6B,0.22661430441106,0.0446377681115338,0.190154478370841,0.196208061045877,0.0910302016352552,0.310893729624853,FALSE,FALSE,FALSE,primary,Mono_DC
MGAT4A,-0.678361741842542,0.044662087827242,0.190184620326893,-0.717403671981214,0.0437784852647858,0.211401116241057,FALSE,FALSE,FALSE,primary,Mono_DC
KDM3B,-0.273402494650129,0.0446914264904115,0.190236102957448,-0.337885131132567,0.0168331081844028,0.127710860126911,FALSE,FALSE,FALSE,primary,Mono_DC
TECPR2,-0.382815095742871,0.0447331818204604,0.190340378972939,-0.339288798029348,0.081100303493055,0.292770830394585,FALSE,FALSE,FALSE,primary,Mono_DC
PGM2,-0.428406376001659,0.0447606905662275,0.190383978501706,-0.433350434300459,0.0505176717402775,0.228405416973431,FALSE,FALSE,FALSE,primary,Mono_DC
SREBF2,0.37621457445688,0.0449366123299102,0.190984931555522,0.352639101444117,0.0699211997856125,0.270383783930326,FALSE,FALSE,FALSE,primary,Mono_DC
NEDD8,-0.346369207253388,0.0449259435117807,0.190984931555522,-0.3416227596563,0.0512886168403595,0.22991448928437,FALSE,FALSE,FALSE,primary,Mono_DC
KCTD15,-0.679629323043919,0.0449633868228286,0.19102511296956,-0.488222513176849,0.140718372845494,0.391821428899621,FALSE,FALSE,FALSE,primary,Mono_DC
D2HGDH,0.382818779433566,0.0450697351585949,0.19132952619867,0.444265393437607,0.0196809666733055,0.138593295441354,FALSE,FALSE,FALSE,primary,Mono_DC
CDK16,0.377977889226521,0.0450665213701213,0.19132952619867,0.38834291135085,0.0483730582805986,0.223663620789759,FALSE,FALSE,FALSE,primary,Mono_DC
NCAPH,0.903706949005889,0.0451132020351906,0.191366732786968,0.753410947573409,0.0966892920319675,0.321279468354355,FALSE,FALSE,FALSE,primary,Mono_DC
LY75,0.366667040921473,0.0451021707376992,0.191366732786968,0.339974239225264,0.0726469855955897,0.275853502901533,FALSE,FALSE,FALSE,primary,Mono_DC
KCNMB1,-0.595251164532077,0.0453031559339897,0.192098618529786,-0.605370687304485,0.0506361738769158,0.228648068792552,FALSE,FALSE,FALSE,primary,Mono_DC
BMP2,2.0982385473043,0.0453428932233933,0.192193224197081,2.10085393174684,0.038817204887187,0.198899495369687,FALSE,FALSE,FALSE,primary,Mono_DC
EFCAB2,0.575239618429287,0.0453948675733718,0.192339606018716,0.49275020052043,0.0962648002102091,0.320613548953928,FALSE,FALSE,FALSE,primary,Mono_DC
CCSER1,-1.03490425448579,0.0454337344058616,0.192380148072988,-0.750470643085221,0.137480133864183,0.387512844261388,FALSE,FALSE,FALSE,primary,Mono_DC
TARBP1,0.569207835227516,0.0454656092675675,0.192380148072988,0.56081815867857,0.0574144644902072,0.242439910274342,FALSE,FALSE,FALSE,primary,Mono_DC
CHD2,0.431895853642386,0.0454616939528161,0.192380148072988,0.391908708034927,0.0798859535410849,0.290745669226282,FALSE,FALSE,FALSE,primary,Mono_DC
RABGAP1L,-0.41474500791589,0.0454742085435017,0.192380148072988,-0.381793921873979,0.0715105582615837,0.274002912266375,FALSE,FALSE,FALSE,primary,Mono_DC
ZNF790-AS1,0.613521677768347,0.0455259154439793,0.192516309436263,0.496841783310041,0.111137067313578,0.348426215758663,FALSE,FALSE,FALSE,primary,Mono_DC
SLC3A2,-0.408977200999219,0.0455413048616565,0.192516309436263,-0.451070662376816,0.0340559856779845,0.187542957779286,FALSE,FALSE,FALSE,primary,Mono_DC
TRADD,-0.627144755800788,0.0455715175090894,0.192570217091091,-0.570564298678819,0.0784752779539462,0.288764089479175,FALSE,FALSE,FALSE,primary,Mono_DC
ITGAM,-0.675393267421984,0.0457121939937889,0.193090688455572,-0.609109671849883,0.0760171773331861,0.283354816591347,FALSE,FALSE,FALSE,primary,Mono_DC
DNAJC9,0.472776129712845,0.0457363503074883,0.19311876245838,0.38634546630155,0.111051747805216,0.348426215758663,FALSE,FALSE,FALSE,primary,Mono_DC
PEMT,-0.324758645887175,0.045763843121165,0.193160897735679,-0.394585374737085,0.020129575095456,0.140385282612674,FALSE,FALSE,FALSE,primary,Mono_DC
LRRFIP1,-0.253434220301674,0.045811711177512,0.193288968085991,-0.26514614828703,0.0447840061078636,0.213935157170926,FALSE,FALSE,FALSE,primary,Mono_DC
GRASP,-1.08544612110348,0.0458329590920218,0.19330466761985,-0.930880889972485,0.0937265038516419,0.316064019109151,FALSE,FALSE,FALSE,primary,Mono_DC
RRAS2,1.16617242574959,0.0458985601094495,0.193439434652858,1.09226374027794,0.0625522479293728,0.254118507213077,FALSE,FALSE,FALSE,primary,Mono_DC
ZBTB46,-0.841656266675539,0.0458999909771085,0.193439434652858,-0.589820901559682,0.158791937797823,0.419426906217052,FALSE,FALSE,FALSE,primary,Mono_DC
FLT1,-1.06966879056055,0.0459890099217936,0.193666586646606,-1.10364145681207,0.0491495460674577,0.225658828571621,FALSE,FALSE,FALSE,primary,Mono_DC
USP45,-0.591184634433024,0.0459821708576977,0.193666586646606,-0.560013744010717,0.0652982834328468,0.259533197979402,FALSE,FALSE,FALSE,primary,Mono_DC
ZNF780B,-0.528861881392678,0.0460173359566293,0.193680130302462,-0.609244718115671,0.0272833580174078,0.16423956933476,FALSE,FALSE,FALSE,primary,Mono_DC
DOCK8,-0.414903233810898,0.0460273480390564,0.193680130302462,-0.449477660648173,0.0366929134046922,0.194104089100142,FALSE,FALSE,FALSE,primary,Mono_DC
UBE2D1,-0.560168819852928,0.0460683536785454,0.193778746270281,-0.573979716304327,0.0487843520102866,0.224695442977315,FALSE,FALSE,FALSE,primary,Mono_DC
TRIP13,0.742572156515818,0.046141542538451,0.193889194458016,0.6120201583956,0.098427891231983,0.324817110872732,FALSE,FALSE,FALSE,primary,Mono_DC
FARP1,-0.570323575006433,0.0461472423188109,0.193889194458016,-0.490040029890087,0.100771939686236,0.329220923083936,FALSE,FALSE,FALSE,primary,Mono_DC
HMGA1,0.561312928994008,0.0461473511154494,0.193889194458016,0.539866363705312,0.0644822882518492,0.257706416260413,FALSE,FALSE,FALSE,primary,Mono_DC
NDUFB1,-0.371154078752938,0.0461738398333746,0.193926610633012,-0.418387630274014,0.0265547343949462,0.161667574377106,FALSE,FALSE,FALSE,primary,Mono_DC
CSF2RA,-0.647046050499324,0.0462696753703485,0.194225916290911,-0.681611590369896,0.0435456662984516,0.210728848369181,FALSE,FALSE,FALSE,primary,Mono_DC
TMX1,-0.301806488051093,0.04628032532528,0.194225916290911,-0.308922809835769,0.0481212242820608,0.223151328634647,FALSE,FALSE,FALSE,primary,Mono_DC
LIMS1,-0.312973474810902,0.0463267016841586,0.194346592953437,-0.304699497828118,0.0575931175325388,0.242751318707277,FALSE,FALSE,FALSE,primary,Mono_DC
TIMP2,-0.48524430412871,0.0463465614630195,0.19435597961051,-0.519906700218563,0.0380280241771965,0.196702920613843,FALSE,FALSE,FALSE,primary,Mono_DC
CDC123,0.286410300932061,0.0463694040448587,0.194377862869915,0.247076336335329,0.0989713505900334,0.325404525810368,FALSE,FALSE,FALSE,primary,Mono_DC
DDX46,-0.285478288475236,0.0463871328793432,0.194378301111807,-0.287294674626762,0.048938010567892,0.225134307065809,FALSE,FALSE,FALSE,primary,Mono_DC
GBP4,-0.774330033159887,0.0464669734186721,0.194638909925763,-0.667430642387147,0.0927993766755487,0.313760604364728,FALSE,FALSE,FALSE,primary,Mono_DC
CXorf56,0.264619306675021,0.046505864985805,0.194727860641019,0.207695955446873,0.132803815030529,0.382890640394522,FALSE,FALSE,FALSE,primary,Mono_DC
YES1,0.96293721432565,0.0465697028670034,0.194773323064156,1.08815754878198,0.0267264829182063,0.161878103925692,FALSE,FALSE,FALSE,primary,Mono_DC
