gene,logFC,P.Value,adj.P.Val,logFC_depth,P_depth,q_depth,hit_baseline,hit_depth,reportable,tier,hierarchy_bin
DNAJB2,1.28909971937237,0.0700606676218358,0.602500582211781,2.02078038758983,0.0218863001998669,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
SSH1,1.11119708776493,0.0698488214609305,0.602500582211781,0.615088333692799,0.280100758307716,0.896782789555678,FALSE,FALSE,FALSE,secondary,HSC_MPP
ZNF467,1.07716635579427,0.070509038646681,0.602500582211781,1.14606486840823,0.101392882737088,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
PIGF,-1.06187918270775,0.0707815067717525,0.602500582211781,-0.878586727762605,0.166316553885183,0.863770816866326,FALSE,FALSE,FALSE,secondary,HSC_MPP
PCGF6,-0.942259896583494,0.0702696589997869,0.602500582211781,-0.818378511350828,0.151764743512863,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
NNT,-0.782278267451149,0.0709767346044094,0.602500582211781,-0.696785781624393,0.148719639480274,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
GLE1,-0.772496578487446,0.0707869562799176,0.602500582211781,-0.674623604658912,0.155288374146713,0.858816754503957,FALSE,FALSE,FALSE,secondary,HSC_MPP
VAC14,0.771768693155739,0.0707907459501805,0.602500582211781,1.11874097733685,0.0313513251418948,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
THOC3,-0.753434611433404,0.0704308145360314,0.602500582211781,-0.769382756534734,0.0997526405986356,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
ENTPD1-AS1,-0.752863503496167,0.0709370595069083,0.602500582211781,-0.83181375739868,0.0753737030490726,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
UBC,0.676008553148562,0.0706042668188947,0.602500582211781,0.686636634586912,0.110688795494962,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
POLB,0.669308097737798,0.0697683096218858,0.602500582211781,0.589466378793829,0.154774031546973,0.857605445108349,FALSE,FALSE,FALSE,secondary,HSC_MPP
GTDC1,0.592241867096792,0.0711783896811825,0.602500582211781,0.450844847369002,0.203971999702953,0.887180321440757,FALSE,FALSE,FALSE,secondary,HSC_MPP
TMED5,0.571652701640903,0.0710351915225056,0.602500582211781,0.572793656010308,0.118706106041712,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
PNKD,-0.519070747905805,0.0711388921792443,0.602500582211781,-0.271326610175747,0.300892219212913,0.896782789555678,FALSE,FALSE,FALSE,secondary,HSC_MPP
RPUSD1,-0.51875301015536,0.0709280437177132,0.602500582211781,-0.424892302002616,0.182828956528399,0.875175082919768,FALSE,FALSE,FALSE,secondary,HSC_MPP
KIAA0232,0.504670396129883,0.0710873025422787,0.602500582211781,0.581800350186544,0.0787269014622864,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
SF3B2,0.492035778318639,0.0711651305801084,0.602500582211781,0.588873553372889,0.0673815348765426,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
RBM33,0.490100062290124,0.0708175349249751,0.602500582211781,0.503838391602665,0.11438435373826,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
ANAPC15,-0.470861034756058,0.0704032635297493,0.602500582211781,-0.367786972388646,0.192584297051659,0.885018041584801,FALSE,FALSE,FALSE,secondary,HSC_MPP
COMMD4,-0.513946006031127,0.0713580605318744,0.603452675740832,-0.299699060199454,0.279113524019192,0.896782789555678,FALSE,FALSE,FALSE,secondary,HSC_MPP
PRDX4,-0.638190094988294,0.0714396733301291,0.603574511926519,-0.593709879842334,0.131774350869031,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
ZNF765,-0.972702247464714,0.0718347942873134,0.606342375464626,-0.835887991760622,0.142450628906439,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
ECHDC1,-0.564280689115221,0.0719380801479899,0.6066440355015,-0.491854108176244,0.160479705498639,0.862426428114151,FALSE,FALSE,FALSE,secondary,HSC_MPP
ZBTB22,0.873179528390134,0.0721832625037474,0.6076929599531,1.07001329567188,0.073802512661329,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
WDR1,0.503347619720164,0.0721977940396346,0.6076929599531,0.628210952689342,0.0573593894271664,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
CDCA8,-2.0217618170836,0.0723283612589541,0.60783469311656,-1.77955613145298,0.149535191105413,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
NPR3,-1.19336203931257,0.072485353115225,0.60783469311656,-0.990180539288378,0.167467077249456,0.863770816866326,FALSE,FALSE,FALSE,secondary,HSC_MPP
WWC3,0.847694486258097,0.0724689000218159,0.60783469311656,0.917157274008804,0.098821012364699,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
YY1AP1,0.670939034337194,0.072369767439413,0.60783469311656,0.913349931116432,0.0327873904901583,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
NUSAP1,-3.43246250823551,0.076823436504472,0.608984814130257,-3.06958189358567,0.141314622455343,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
HIST1H3C,-1.81004590024925,0.0758979840455175,0.608984814130257,-1.98504382026894,0.0866959124211822,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
METRNL,-1.54322274948996,0.0737862470244747,0.608984814130257,-1.39565364835438,0.134402863414104,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
MSMO1,1.46254286667188,0.0760951632596752,0.608984814130257,1.51073556399314,0.119867731555566,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
IRGQ,1.31352789945645,0.075099249635965,0.608984814130257,1.2145382755876,0.159950877990212,0.861429028527448,FALSE,FALSE,FALSE,secondary,HSC_MPP
ETV3,-1.31278727327476,0.0780471574506098,0.608984814130257,-1.6717142380829,0.0272531098016193,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
GSTA4,-1.30705941226019,0.0772068609619391,0.608984814130257,-1.15737645397356,0.146884317516865,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
NEMP1,-1.29005194791487,0.0747682385448756,0.608984814130257,-1.29791323930782,0.095341236416969,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
WDR76,-1.2009880063814,0.0732363215122334,0.608984814130257,-1.1920606232662,0.105624219549522,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
RFX2,1.18815785139429,0.0778449357978381,0.608984814130257,0.527149725517035,0.325926483010759,0.897969046639693,FALSE,FALSE,FALSE,secondary,HSC_MPP
NKG7,-1.14753692445734,0.0731635665100319,0.608984814130257,-0.983570193989977,0.163171702120218,0.862426428114151,FALSE,FALSE,FALSE,secondary,HSC_MPP
TSC22D3,1.13862313544981,0.0767446535287359,0.608984814130257,1.22518480666648,0.103322731225402,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
