kind,dataset,sample,why,mtime,mb,from,to
infercnv_burden,GSE185381,GSM5613759_2019-11-04-count-3,absent from the QC report (dropped by the v2 ingest),2026-07-09T02:55:26Z,0.3,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613759_2019-11-04-count-3_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613759_2019-11-04-count-3_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613760_2019-11-19-count-1,absent from the QC report (dropped by the v2 ingest),2026-07-09T07:58:40Z,0.6,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613760_2019-11-19-count-1_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613760_2019-11-19-count-1_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613761_2019-11-19-count-2,absent from the QC report (dropped by the v2 ingest),2026-07-09T06:09:34Z,0.6,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613761_2019-11-19-count-2_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613761_2019-11-19-count-2_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613762_2019-11-26-count-1,absent from the QC report (dropped by the v2 ingest),2026-07-09T06:10:05Z,0.7,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613762_2019-11-26-count-1_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613762_2019-11-26-count-1_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613763_2019-11-26-count-2,absent from the QC report (dropped by the v2 ingest),2026-07-09T05:41:39Z,0.7,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613763_2019-11-26-count-2_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613763_2019-11-26-count-2_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613764_2020-01-03-count-1,absent from the QC report (dropped by the v2 ingest),2026-07-09T06:04:02Z,0.6,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613764_2020-01-03-count-1_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613764_2020-01-03-count-1_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613765_2020-01-03-count-2,absent from the QC report (dropped by the v2 ingest),2026-07-09T06:52:12Z,0.6,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613765_2020-01-03-count-2_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613765_2020-01-03-count-2_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613766_2020-03-18-AML0048-c1,absent from the QC report (dropped by the v2 ingest),2026-07-09T07:01:52Z,0.2,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613766_2020-03-18-AML0048-c1_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613766_2020-03-18-AML0048-c1_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613767_2020-03-18-AML0048-c2,absent from the QC report (dropped by the v2 ingest),2026-07-09T07:25:13Z,0.2,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613767_2020-03-18-AML0048-c2_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613767_2020-03-18-AML0048-c2_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613768_2020-03-18-AML3266,absent from the QC report (dropped by the v2 ingest),2026-07-09T07:06:35Z,0.1,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613768_2020-03-18-AML3266_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613768_2020-03-18-AML3266_infercnv_burden.csv
