dataset,sample,sender_bin,receiver_bin,reach,C_geo
Chen2023,AML103,B_Plasma,B_Plasma,0.24506531767995485,1.4062305011942888
Chen2023,AML162,HSC_MPP,HSC_MPP,0.29602790770527343,1.2173015463143335
Chen2023,AML162,HSC_MPP,LMPP_GMP,0.1815617282334506,1.7061595826385005
Chen2023,AML162,HSC_MPP,Mono_DC,0.22452213571692747,1.4937809765850951
Chen2023,AML162,HSC_MPP,Erythroid,0.023001520145772912,3.7721949719425787
Chen2023,AML162,HSC_MPP,Megakaryocyte,0.01519075358428013,4.187068353053331
Chen2023,AML162,HSC_MPP,T_NK,0.1915300451408264,1.652710588982186
Chen2023,AML162,HSC_MPP,B_Plasma,0.06816590947346911,2.6858107001977527
Chen2023,AML162,LMPP_GMP,HSC_MPP,0.14451921064433318,1.9343428346306144
Chen2023,AML162,LMPP_GMP,LMPP_GMP,0.33048054190812665,1.1072074961342406
Chen2023,AML162,LMPP_GMP,Mono_DC,0.22382637630705765,1.4968846334489554
Chen2023,AML162,LMPP_GMP,Erythroid,0.025099249559453318,3.684917331321102
Chen2023,AML162,LMPP_GMP,Megakaryocyte,0.012544079540760039,4.378506474453497
Chen2023,AML162,LMPP_GMP,T_NK,0.18931152333923484,1.6643613491951932
Chen2023,AML162,LMPP_GMP,B_Plasma,0.07421901870103445,2.6007348449267904
Chen2023,AML162,Mono_DC,HSC_MPP,0.14049244138880426,1.9626015895999516
Chen2023,AML162,Mono_DC,LMPP_GMP,0.18667639799296804,1.678378653174697
Chen2023,AML162,Mono_DC,Mono_DC,0.38027759615512885,0.9668537767610792
Chen2023,AML162,Mono_DC,Erythroid,0.01857920831575592,3.985712155989942
Chen2023,AML162,Mono_DC,Megakaryocyte,0.011239155759988684,4.488351547658805
Chen2023,AML162,Mono_DC,T_NK,0.19472577443896655,1.6361629950934362
Chen2023,AML162,Mono_DC,B_Plasma,0.0680094259483876,2.6881089665244104
Chen2023,AML162,Erythroid,HSC_MPP,0.14304685979431284,1.9445830115318357
Chen2023,AML162,Erythroid,LMPP_GMP,0.18472788308696172,1.688871438975104
Chen2023,AML162,Erythroid,Mono_DC,0.22570150900642572,1.4885419092863332
Chen2023,AML162,Erythroid,Erythroid,0.16856886191054704,1.7804109366480378
Chen2023,AML162,Erythroid,Megakaryocyte,0.011288475977210763,4.483972898664804
Chen2023,AML162,Erythroid,T_NK,0.18440866264292372,1.6906009915068474
Chen2023,AML162,Erythroid,B_Plasma,0.08225774758161823,2.497897698251581
Chen2023,AML162,Megakaryocyte,HSC_MPP,0.14802394056955545,1.9103812576947536
Chen2023,AML162,Megakaryocyte,LMPP_GMP,0.18229364424958347,1.702136462142354
Chen2023,AML162,Megakaryocyte,Mono_DC,0.23253569309663452,1.4587115470423129
Chen2023,AML162,Megakaryocyte,Erythroid,0.01860932806571453,3.984092315067162
Chen2023,AML162,Megakaryocyte,Megakaryocyte,0.1613959546670012,1.8238945874814547
Chen2023,AML162,Megakaryocyte,T_NK,0.18442165775628377,1.6905305248849527
Chen2023,AML162,Megakaryocyte,B_Plasma,0.0727197815952272,2.6211418324833864
Chen2023,AML162,T_NK,HSC_MPP,0.1436045413164723,1.9406919981015456
Chen2023,AML162,T_NK,LMPP_GMP,0.1805910663372837,1.7115201057937284
Chen2023,AML162,T_NK,Mono_DC,0.22793597143604918,1.478690516501864
Chen2023,AML162,T_NK,Erythroid,0.018401435466192304,3.9953266029431944
Chen2023,AML162,T_NK,Megakaryocyte,0.011268233977663298,4.485767664392746
Chen2023,AML162,T_NK,T_NK,0.36152870291550687,1.0174138410456448
Chen2023,AML162,T_NK,B_Plasma,0.05667004855083244,2.870509452071976
Chen2023,AML162,B_Plasma,HSC_MPP,0.13045045753085907,2.0367617600781522
Chen2023,AML162,B_Plasma,LMPP_GMP,0.16943449405141867,1.7752888926321162
Chen2023,AML162,B_Plasma,Mono_DC,0.20877330344865536,1.566506288194732
Chen2023,AML162,B_Plasma,Erythroid,0.017511681342685,4.0448871154389545
Chen2023,AML162,B_Plasma,Megakaryocyte,0.010837206452416542,4.524770023524527
Chen2023,AML162,B_Plasma,T_NK,0.25125342697170916,1.3812931800134767
Chen2023,AML162,B_Plasma,B_Plasma,0.2117394302022563,1.5523988630960446
Chen2023,AML24,HSC_MPP,HSC_MPP,0.2840679750747887,1.2585417206054086
Chen2023,AML24,HSC_MPP,LMPP_GMP,0.17574209081819034,1.7387377517609577
Chen2023,AML24,HSC_MPP,Mono_DC,0.03769413957766861,3.2782506454798064
Chen2023,AML24,HSC_MPP,Erythroid,0.04036319418114276,3.2098369443799775
Chen2023,AML24,HSC_MPP,Megakaryocyte,0.06990639504379847,2.660598145460828
Chen2023,AML24,HSC_MPP,T_NK,0.254266228465826,1.3693734173162935
Chen2023,AML24,HSC_MPP,B_Plasma,0.1379599768385848,1.9807916587985153
Chen2023,AML24,LMPP_GMP,HSC_MPP,0.13261706719087477,2.020289497666316
Chen2023,AML24,LMPP_GMP,LMPP_GMP,0.3269634120046239,1.1179070042391412
Chen2023,AML24,LMPP_GMP,Mono_DC,0.03739920834094902,3.2861057421399864
Chen2023,AML24,LMPP_GMP,Erythroid,0.037322562027093734,3.288157255115645
Chen2023,AML24,LMPP_GMP,Megakaryocyte,0.07123251315470013,2.6418059193638204
Chen2023,AML24,LMPP_GMP,T_NK,0.25345889940968996,1.3725536016019488
Chen2023,AML24,LMPP_GMP,B_Plasma,0.14100633787206804,1.9589504401668738
Chen2023,AML24,Mono_DC,HSC_MPP,0.12920023912088321,2.0463918368545184
Chen2023,AML24,Mono_DC,LMPP_GMP,0.17665969324068007,1.7335300341056936
Chen2023,AML24,Mono_DC,Mono_DC,0.18742897089220578,1.6743553272510527
Chen2023,AML24,Mono_DC,Erythroid,0.04153564479545344,3.181203309664413
Chen2023,AML24,Mono_DC,Megakaryocyte,0.07060673698518412,2.650629714316268
Chen2023,AML24,Mono_DC,T_NK,0.26699258890366434,1.3205343778822327
Chen2023,AML24,Mono_DC,B_Plasma,0.12757612606192872,2.0590420254049486
Chen2023,AML24,Erythroid,HSC_MPP,0.1340165078595445,2.0097922936371826
Chen2023,AML24,Erythroid,LMPP_GMP,0.17758044486001526,1.7283315622565572
Chen2023,AML24,Erythroid,Mono_DC,0.0406936333565945,3.2016836273547167
Chen2023,AML24,Erythroid,Erythroid,0.1877443694050933,1.6726739786406293
Chen2023,AML24,Erythroid,Megakaryocyte,0.06771825598327902,2.6923994753967433
