dataset,sample,timepoint,sender_bin,receiver_bin,weight_probsum,n_lr_sig,rank_pct,C
Chen2023,AML162,Diagnosis,B_Plasma,Mono_DC,0.030129469339887,2,0.326530612244898,0.673469387755102
Chen2023,AML162,Diagnosis,B_Plasma,Erythroid,0,0,0.122448979591837,0.877551020408163
Chen2023,AML162,Diagnosis,B_Plasma,Megakaryocyte,0,0,0.122448979591837,0.877551020408163
Chen2023,AML162,Diagnosis,B_Plasma,T_NK,0.142115765984912,7,0.551020408163265,0.448979591836735
Chen2023,AML162,Diagnosis,B_Plasma,B_Plasma,0.015922263927786,1,0.244897959183673,0.755102040816326
Chen2023,AML24,Diagnosis,HSC_MPP,HSC_MPP,0.21217319401307,10,0.795918367346939,0.204081632653061
Chen2023,AML24,Diagnosis,HSC_MPP,LMPP_GMP,0.252102790681489,12,0.877551020408163,0.122448979591837
Chen2023,AML24,Diagnosis,HSC_MPP,Mono_DC,0.0507768939859127,4,0.326530612244898,0.673469387755102
Chen2023,AML24,Diagnosis,HSC_MPP,Erythroid,0.0712853222143367,3,0.387755102040816,0.612244897959184
Chen2023,AML24,Diagnosis,HSC_MPP,Megakaryocyte,0.0922815426522786,6,0.469387755102041,0.530612244897959
Chen2023,AML24,Diagnosis,HSC_MPP,T_NK,0.317861830368979,20,0.959183673469388,0.0408163265306123
Chen2023,AML24,Diagnosis,HSC_MPP,B_Plasma,0.191781964169183,8,0.755102040816326,0.244897959183674
Chen2023,AML24,Diagnosis,LMPP_GMP,HSC_MPP,0.213033724588657,9,0.816326530612245,0.183673469387755
Chen2023,AML24,Diagnosis,LMPP_GMP,LMPP_GMP,0.283771853739424,13,0.918367346938776,0.0816326530612245
Chen2023,AML24,Diagnosis,LMPP_GMP,Mono_DC,0.0522531842480743,3,0.346938775510204,0.653061224489796
Chen2023,AML24,Diagnosis,LMPP_GMP,Erythroid,0.0449144324359036,2,0.26530612244898,0.73469387755102
Chen2023,AML24,Diagnosis,LMPP_GMP,Megakaryocyte,0.11230085127677,5,0.530612244897959,0.469387755102041
Chen2023,AML24,Diagnosis,LMPP_GMP,T_NK,0.329615078975797,18,0.979591836734694,0.0204081632653061
Chen2023,AML24,Diagnosis,LMPP_GMP,B_Plasma,0.238298606533974,8,0.836734693877551,0.163265306122449
Chen2023,AML24,Diagnosis,Mono_DC,HSC_MPP,0.0457360877756471,2,0.285714285714286,0.714285714285714
Chen2023,AML24,Diagnosis,Mono_DC,LMPP_GMP,0.0716200270517901,3,0.408163265306122,0.591836734693878
Chen2023,AML24,Diagnosis,Mono_DC,Mono_DC,0.0133481567270083,1,0.0204081632653061,0.979591836734694
Chen2023,AML24,Diagnosis,Mono_DC,Erythroid,0.0230369310787986,1,0.0612244897959184,0.938775510204082
Chen2023,AML24,Diagnosis,Mono_DC,Megakaryocyte,0.0270071109882975,1,0.122448979591837,0.877551020408163
Chen2023,AML24,Diagnosis,Mono_DC,T_NK,0.120833241767063,10,0.551020408163265,0.448979591836735
Chen2023,AML24,Diagnosis,Mono_DC,B_Plasma,0.0246150412766304,2,0.0816326530612245,0.918367346938776
Chen2023,AML24,Diagnosis,Erythroid,HSC_MPP,0.126434867247402,5,0.571428571428571,0.428571428571429
Chen2023,AML24,Diagnosis,Erythroid,LMPP_GMP,0.161338395900081,8,0.673469387755102,0.326530612244898
Chen2023,AML24,Diagnosis,Erythroid,Mono_DC,0.0479671288896144,3,0.306122448979592,0.693877551020408
Chen2023,AML24,Diagnosis,Erythroid,Erythroid,0.0267993298219876,1,0.102040816326531,0.897959183673469
Chen2023,AML24,Diagnosis,Erythroid,Megakaryocyte,0.0423456177283515,3,0.244897959183673,0.755102040816326
Chen2023,AML24,Diagnosis,Erythroid,T_NK,0.166697718589536,16,0.714285714285714,0.285714285714286
Chen2023,AML24,Diagnosis,Erythroid,B_Plasma,0.137959175961396,4,0.591836734693878,0.408163265306122
Chen2023,AML24,Diagnosis,Megakaryocyte,HSC_MPP,0.10961145481636,5,0.510204081632653,0.489795918367347
Chen2023,AML24,Diagnosis,Megakaryocyte,LMPP_GMP,0.157893425815977,6,0.653061224489796,0.346938775510204
Chen2023,AML24,Diagnosis,Megakaryocyte,Mono_DC,0.0185487660778769,1,0.0408163265306122,0.959183673469388
Chen2023,AML24,Diagnosis,Megakaryocyte,Erythroid,0.0302534888906333,2,0.163265306122449,0.836734693877551
Chen2023,AML24,Diagnosis,Megakaryocyte,Megakaryocyte,0.0783344129806092,4,0.428571428571429,0.571428571428571
Chen2023,AML24,Diagnosis,Megakaryocyte,T_NK,0.25714494914827,14,0.897959183673469,0.102040816326531
Chen2023,AML24,Diagnosis,Megakaryocyte,B_Plasma,0.095256614838185,4,0.489795918367347,0.510204081632653
Chen2023,AML24,Diagnosis,T_NK,HSC_MPP,0.162935140789838,4,0.693877551020408,0.306122448979592
