alpha,feature_set,features,mean_healthy,mean_aml,beta_global,p_global,beta_strat,p_strat,family,q_strat,split
0.0,only_cs_exhaustion_malignant,cs_exhaustion_malignant,0.12272985329519986,0.1837294106507075,0.020587140580803277,0.401959804019598,0.03237196511301111,0.1698830116988301,cs,0.36807985868079857,all
0.0,only_cs_interferon_I_malignant,cs_interferon_I_malignant,0.11216798994951778,0.15162301019658334,0.010819459844624712,0.6711328867113289,0.008583821475724979,0.7635236476352365,cs,0.8452404759524047,all
0.0,only_cs_interferon_II_malignant,cs_interferon_II_malignant,0.1102599166786716,0.1605657859563305,0.04303359027904124,0.10388961103889612,0.0697302129234329,0.015798420157984203,cs,0.14094304855228762,all
0.0,only_cs_mhc_i_malignant,cs_mhc_i_malignant,0.16402926946378416,0.1611011981559125,-0.025760754318477172,0.41105889411058893,-0.017665719980903535,0.6368363163683631,cs,0.8452404759524047,all
0.0,only_cs_mhc_ii_malignant,cs_mhc_ii_malignant,0.062075330730178305,0.1429061690235949,0.0360251032252079,0.0851914808519148,0.0376212416736601,0.07269273072692731,cs,0.21807819218078192,all
0.0,only_cs_naive_memory_malignant,cs_naive_memory_malignant,0.12374291658683789,0.15250873675320664,0.0415220492379868,0.08859114088591141,0.05293992207728461,0.071992800719928,cs,0.21807819218078192,all
0.0,only_cs_retention_ligand_malignant,cs_retention_ligand_malignant,0.06896837935789832,0.09936884345113782,0.03372204112493627,0.0680931906809319,0.03836828416334925,0.09109089091090891,cs,0.2368363163683632,all
0.0,only_cs_retention_receptor_malignant,cs_retention_receptor_malignant,0.13441807444402104,0.11723985748571375,-0.016576772852548056,0.5073492650734927,0.014908417482023312,0.6507349265073493,cs,0.8452404759524047,all
0.0,only_cs_sasp_malignant,cs_sasp_malignant,0.10871793735849866,0.1714058416281055,-0.0022091031221406886,0.9517048295170483,-0.013156330802837178,0.6516348365163483,cs,0.8452404759524047,all
0.0,only_cs_senescence_malignant,cs_senescence_malignant,0.06030358770067213,0.11455940821426312,0.029995864347992864,0.3096690330966903,-0.0033339878614407157,0.861013898610139,cs,0.861013898610139,all
0.0,only_mt_glycolysis,mt_glycolysis,0.07879621993793146,0.1337072614165574,0.027096222362993007,0.22577742225777422,0.016726785935780544,0.30426957304269575,mt,0.614998500149985,all
0.0,only_mt_oxphos,mt_oxphos,0.105735504719106,0.17247742903472146,0.03149259813608344,0.2872712728727127,0.02352750119000929,0.34166583341665835,mt,0.614998500149985,all
0.0,only_mt_fatty_acid_oxidation,mt_fatty_acid_oxidation,0.07113923405986824,0.13202637943561435,0.049949019231705395,0.030396960303969604,0.04887967494035128,0.054094590540945904,mt,0.614998500149985,all
