arm,alpha,kind,k,delta,n,frac_targets_moved,intercept,p_two_sided,wilcoxon_p,p_registered
rank,1.0,Dx_to_Treatment,3,1.0,11,1.0,0.0024179225132839694,0.7755107888542448,0.51953125,0.6122446055728776
rank,1.0,Dx_to_Relapse,3,1.0,11,0.9393939393939393,0.008199367340967748,0.32461459245860985,0.51953125,0.32461459245860985
rank,1.0,Dx_to_Treatment,3,2.0,11,1.0,-0.0002993176550217332,0.9711684168932798,0.7646484375,0.4855842084466399
rank,1.0,Dx_to_Relapse,3,2.0,11,0.9393939393939393,0.006218897399928353,0.4705377209565102,0.7001953125,0.4705377209565102
rank,1.0,Dx_to_Treatment,3,4.0,11,1.0,-0.0019185420401347773,0.8083798624599732,0.8310546875,0.4041899312299866
rank,1.0,Dx_to_Relapse,3,4.0,11,0.9393939393939393,0.005322838843512355,0.5407210482362749,0.7646484375,0.5407210482362749
rank,1.0,Dx_to_Treatment,6,0.0,11,0.0,-0.00029315090895735486,0.9728350208922811,0.8310546875,0.48641751044614057
rank,1.0,Dx_to_Relapse,6,0.0,11,0.0,0.006964413418153243,0.3624420640322282,0.6376953125,0.3624420640322282
rank,1.0,Dx_to_Treatment,6,0.25,11,0.9545454545454547,0.002184544895312513,0.7964675137473177,0.5771484375,0.6017662431263411
rank,1.0,Dx_to_Relapse,6,0.25,11,0.9393939393939394,0.009514912034168948,0.24118664359828298,0.365234375,0.24118664359828298
rank,1.0,Dx_to_Treatment,6,0.5,11,0.9696969696969698,0.0028854724832612392,0.733872649058714,0.46484375,0.633063675470643
rank,1.0,Dx_to_Relapse,6,0.5,11,0.9696969696969698,0.010145471269936177,0.22975204659936674,0.3203125,0.22975204659936674
rank,1.0,Dx_to_Treatment,6,1.0,11,0.9848484848484849,0.005482625061985683,0.5225339152506866,0.4130859375,0.7387330423746568
rank,1.0,Dx_to_Relapse,6,1.0,11,0.9696969696969698,0.011693294803160665,0.19205330895102576,0.3203125,0.19205330895102576
rank,1.0,Dx_to_Treatment,6,2.0,11,0.9848484848484849,0.0023140380925930795,0.7783413405753066,0.51953125,0.6108293297123467
rank,1.0,Dx_to_Relapse,6,2.0,11,0.9696969696969698,0.008940071068625325,0.3746208545460055,0.51953125,0.3746208545460055
rank,1.0,Dx_to_Treatment,6,4.0,11,0.9848484848484849,0.0004683567867873285,0.9533949091031115,0.9658203125,0.5233025454484442
rank,1.0,Dx_to_Relapse,6,4.0,11,0.9696969696969698,0.007948628447118623,0.4378271401721973,0.5771484375,0.4378271401721973
mask,0.5,Dx_to_Treatment,1,0.0,11,0.0,-0.07431314126608089,0.05952599739952829,0.240234375,0.029762998699764145
mask,0.5,Dx_to_Relapse,1,0.0,11,0.0,-0.019444535251110413,0.5822299341127045,0.4130859375,0.5822299341127045
mask,0.5,Dx_to_Treatment,1,0.25,11,0.9090909090909091,-0.07518452012883652,0.053887220921407526,0.240234375,0.026943610460703763
mask,0.5,Dx_to_Relapse,1,0.25,11,0.9090909090909091,-0.021284079889605043,0.53739002860583,0.365234375,0.53739002860583
mask,0.5,Dx_to_Treatment,1,0.5,11,0.9090909090909091,-0.07482483976850293,0.055562894265659725,0.240234375,0.027781447132829862
