arm,kind,edge,occupancy,median_within_pair_abs_dC,mean_within_pair_abs_dC,sd_between_patients_at_dx,snr
mask,Dx_to_Treatment,HSC_MPP->T_NK,0.7837837837837838,0.23888888888888882,0.3523568895543738,0.2530094713338655,0.9441895104932911
mask,Dx_to_Treatment,HSC_MPP->B_Plasma,0.5405405405405406,0.5833333333333333,0.46462794794173096,0.4324511272360584,1.3489000180473898
mask,Dx_to_Treatment,LMPP_GMP->HSC_MPP,0.8108108108108109,0.2777777777777778,0.2693705308425944,0.27772554255734977,1.0001880821617883
mask,Dx_to_Treatment,LMPP_GMP->LMPP_GMP,0.9459459459459459,0.3085714285714286,0.26796813184257234,0.24392097358764595,1.2650467240798888
mask,Dx_to_Treatment,LMPP_GMP->Mono_DC,0.972972972972973,0.2799999999999999,0.3374209601852756,0.26681820357680697,1.0494036622932228
mask,Dx_to_Treatment,LMPP_GMP->Erythroid,0.6486486486486487,0.07999999999999996,0.18890467021042728,0.2016405839317922,0.39674552830625154
mask,Dx_to_Treatment,LMPP_GMP->Megakaryocyte,0.08108108108108109,0.0,0.08546858546858548,0.0,
mask,Dx_to_Treatment,LMPP_GMP->T_NK,0.918918918918919,0.26444444444444437,0.24524799094871638,0.30310483960566037,0.872452069021685
mask,Dx_to_Treatment,LMPP_GMP->B_Plasma,0.7567567567567568,0.4285714285714286,0.48874283967199544,0.40918541162754735,1.047377097015196
mask,Dx_to_Treatment,Mono_DC->HSC_MPP,0.7567567567567568,0.16666666666666663,0.15877438880371433,0.1693007287832394,0.9844415193277447
mask,Dx_to_Treatment,Mono_DC->LMPP_GMP,0.9459459459459459,0.07692307692307687,0.13330043130745398,0.1429540662520007,0.5380964595122197
mask,Dx_to_Treatment,Mono_DC->Mono_DC,0.9459459459459459,0.11428571428571432,0.173919835613384,0.15592706968580403,0.7329433851094758
mask,Dx_to_Treatment,Mono_DC->Erythroid,0.5675675675675675,0.08333333333333337,0.10406139315230224,0.23760584934623297,0.35072088318794814
mask,Dx_to_Treatment,Mono_DC->Megakaryocyte,0.08108108108108109,0.0,0.05607230607230607,0.0,
mask,Dx_to_Treatment,Mono_DC->T_NK,0.8648648648648649,0.2171428571428572,0.28750033301121436,0.29054425540767465,0.7473658594219152
mask,Dx_to_Treatment,Mono_DC->B_Plasma,0.6756756756756757,0.4514285714285714,0.4313074608675782,0.34217062714272045,1.3193083672850712
mask,Dx_to_Treatment,Erythroid->HSC_MPP,0.5405405405405406,0.34285714285714286,0.3944008312768924,0.35834120957929616,0.9567896007820812
mask,Dx_to_Treatment,Erythroid->LMPP_GMP,0.6486486486486487,0.48,0.5011169188603979,0.3729162641853229,1.2871522271859432
mask,Dx_to_Treatment,Erythroid->Mono_DC,0.6486486486486487,0.52,0.4369201336650018,0.34874302639855786,1.4910692419286475
