edge,raw_logweight_beta_global,raw_logweight_q_global,raw_logweight_beta_strat,raw_logweight_q_strat,rank_C_beta_global,rank_C_q_global,rank_C_beta_strat,rank_C_q_strat
T_NK->Mono_DC,-0.11443624195348855,0.7181122796811228,0.2363340283940643,0.9264667283271673,-0.05018212809696146,0.8781589926113771,-0.2713783033613851,0.8444795520447955
Mono_DC->LMPP_GMP,0.39133929948794083,0.26052612130091335,0.38016170813430794,0.9264667283271673,-0.20617999402686488,0.7651984801519848,-0.45186582762008587,0.8444795520447955
Mono_DC->Megakaryocyte,-0.2116386433183539,0.6241111182999347,0.2225132219043962,0.9264667283271673,0.13022323673057795,0.8209129087091289,-0.300168860656885,0.8444795520447955
Mono_DC->Erythroid,0.41632271995189085,0.2395602545008657,0.1572151342000813,0.9264667283271673,-0.07687404248760442,0.851735281017353,0.19260123439785184,0.8554311235543113
Megakaryocyte->T_NK,-0.19593763731786423,0.6241111182999347,0.24980079009795256,0.9264667283271673,0.11788289531466796,0.8209129087091289,-0.22718271908914633,0.8554311235543113
Megakaryocyte->Mono_DC,-0.1288546343544711,0.7181122796811228,0.2502505606527945,0.9264667283271673,0.05712725108687027,0.8720062776331062,-0.281457099638686,0.8444795520447955
Megakaryocyte->Megakaryocyte,-0.35301100584594264,0.26052612130091335,0.19417202939893,0.9264667283271673,0.17418028557969795,0.8209129087091289,-0.2678326761870302,0.8444795520447955
LMPP_GMP->Megakaryocyte,-0.238655238301474,0.5533384161583842,0.16347705661876769,0.9444855514448557,0.20062022391309806,0.7651984801519848,-0.4354327979955144,0.8444795520447955
Erythroid->LMPP_GMP,0.5133947522457903,0.13543645635436458,0.12975716373274998,0.9444855514448557,-0.33543807835807427,0.572153895721539,-0.1055770828200604,0.8554311235543113
T_NK->B_Plasma,-0.1819863041841747,0.6393860613938606,0.102591324005249,0.9444855514448557,0.14985874265617344,0.8209129087091289,0.04452929641711892,0.9443273063997949
B_Plasma->B_Plasma,-0.27982297734983624,0.47325637806589715,0.039249379022318676,0.9779422057794219,0.2677286438228475,0.6300324513003246,0.20069902041104784,0.8554311235543113
B_Plasma->LMPP_GMP,0.23183649442504667,0.5533384161583842,0.09892895949308352,0.9779422057794219,-0.06301509077687428,0.8691730826917308,-0.11243803730171037,0.8554311235543113
B_Plasma->Megakaryocyte,-0.14120087173545612,0.7181122796811228,0.10390040055329026,0.9779422057794219,0.3196752152183109,0.572153895721539,-0.15887148358996084,0.8554311235543113
HSC_MPP->LMPP_GMP,0.5516896448471602,0.09932643099326431,0.08305106710766608,0.9779422057794219,-0.35178746533821753,0.572153895721539,0.0307705384796793,0.9514236076392361
B_Plasma->Mono_DC,-0.22530208899900503,0.5533384161583842,0.04372280320888961,0.9779422057794219,0.143616552637577,0.8209129087091289,-0.11784548021155901,0.8554311235543113
Mono_DC->Mono_DC,-0.18329961658890398,0.6393860613938606,0.06073155195420807,0.9779422057794219,0.26055790404836515,0.6550431913330407,0.14745181890813233,0.8554311235543113
T_NK->Megakaryocyte,-0.4456583906485966,0.20271722827717228,0.11525510196994843,0.9779422057794219,0.3367652495688187,0.572153895721539,-0.25813971258371177,0.8444795520447955
Megakaryocyte->LMPP_GMP,-0.1736603003095804,0.668267383787937,0.04582887678918137,0.9779422057794219,0.39197578606196687,0.572153895721539,-0.1056980525653337,0.8554311235543113
Megakaryocyte->Erythroid,0.13300559876683282,0.7181122796811228,0.0657000140255753,0.9779422057794219,0.1318118632027541,0.8209129087091289,-0.08394805243090961,0.9157526107854331
Mono_DC->T_NK,-0.40592122345643944,0.25477452254774524,-0.03533680497457468,0.9779422057794219,0.3932145126413362,0.572153895721539,0.25744184345073023,0.8444795520447955
Erythroid->Megakaryocyte,0.0254547122687728,0.9607209491816775,-0.015145426900149566,0.991100889911009,0.08700134104835035,0.8410065970147172,-0.14629393423590442,0.8554311235543113
B_Plasma->HSC_MPP,0.29819405187453807,0.47035296470352966,0.021116428580925543,0.991100889911009,0.35229931310663093,0.572153895721539,0.652056969050139,0.6418358164183581
Mono_DC->HSC_MPP,0.24018281211580597,0.5533384161583842,0.01754113311375471,0.991100889911009,0.08614593326494013,0.8402659734026598,0.4307036036324802,0.8444795520447955
Mono_DC->B_Plasma,-0.435019062404601,0.21298458389455172,0.002394410635665696,0.991100889911009,0.3826417308863029,0.572153895721539,0.16379721819199555,0.8554311235543113
