dataset,sample,healthy,paired,diag_mass,dist_to_identity,dist_to_product,frobenius_score
GSE201966,GSM6085177_AML01M4_P,False,True,0.12015280380567929,1.1314374194445607,0.37420879898428455,0.13875990949818598
GSE201966,GSM6085178_AML01M4_RE,False,True,0.0009811937857726002,1.2806714861429567,0.5538903137751929,0.1585831174337938
GSE201966,GSM6085180_AML02M5_RE,False,False,0.15331838881405427,0.9850625079894296,0.12071243476778801,0.01120468726646787
GSE201966,GSM6085181_AML03M5_P,False,True,0.16899031884233898,0.9912867663381657,0.049466637927862954,0.004718408741669954
GSE201966,GSM6085182_AML03M5_RE,False,True,0.1428571433059759,0.9904909171184004,0.12212279396212362,0.006721098252239867
GSE207356,GSM6284912_TS173_04_Sample_D,False,False,0.07242271215666951,1.2303263420348316,0.4650269215969631,0.0738116518614878
GSE207356,GSM6284913_TS173_05_Sample_E,False,False,0.0907977338845507,1.2355046051762038,0.5140126574239263,0.06877939237040706
GSE207356,GSM6284914_TS173_06_Sample_F,False,False,0.11969798425269598,1.200004435914054,0.49232283751978756,0.06791210390703124
GSE227903,1216_Dg,False,True,0.1829240484847204,1.0712714748902306,0.535717911120741,0.01648555659232966
GSE227903,1216_MRD,False,True,0.1434513199219082,1.0372202759845461,0.4070081510675926,0.014564613676286104
GSE227903,1216_R,False,True,0.20957183575030466,0.9899848183167664,0.46960814851842475,0.07457013220009842
GSE227903,1886_Dg,False,True,0.28540929608393334,0.9499731654479987,0.45985841060981286,0.03281774284023478
GSE227903,1886_MRD,False,True,0.14545840632797147,0.9912271918876898,0.23766583395575122,0.014242780812169476
GSE227903,1886_R,False,True,0.26038500506585605,0.9876492469798611,0.4649203697621501,0.10323943405192405
GSE227903,3853_Dg,False,True,0.14986469148926196,1.0014252499749876,0.3425960851279491,0.01690888721236368
GSE227903,3853_R,False,True,0.12142857574675386,1.0672066867664252,0.36408023906060843,0.021635784335338408
GSE227903,3904_Dg,False,True,0.15282524532525765,1.0044455572976252,0.38361047056107034,0.037020301986798156
GSE227903,3904_MRD,False,True,0.14378521710308248,0.9852099113722259,0.22436856705919414,0.03814178446639954
GSE227903,3904_R,False,True,0.16778435264065913,0.9854037575489679,0.30507481641405154,0.03908474082548631
GSE227903,40389_Dg,False,True,0.28752625467295956,1.0132386628106125,0.3798402364816286,0.1408597664511314
GSE227903,40389_MRD,False,True,0.20690390851681184,0.968013487987248,0.3368942176958586,0.035598775081205056
GSE227903,40389_R,False,True,0.14459212442296368,1.001477954921438,0.3394921263101309,0.029001475296706835
GSE227903,4978_Dg,False,True,0.14285714330557336,0.9878237635320724,0.3192208947675858,0.021445833049389323
GSE227903,4978_MRD,False,True,0.37425412498948907,0.8646043463574625,0.4961673345994683,0.010615386761881668
GSE227903,4978_R,False,True,0.0008097165985346,1.2209828187522227,0.3968236756934419,0.0376648967436359
GSE227903,5143_Dg,False,True,0.22095010456368716,1.0139013075696188,0.4562278715131254,0.013299634343658582
GSE227903,5143_R,False,True,0.22327866254654938,1.0502711865668755,0.5193307274255597,0.024438760130916844
GSE227903,5750_Dg,False,True,0.1428571431209255,0.9875414492540321,0.30727173642538796,0.00887404454773818
GSE227903,5750_MRD,False,True,0.15266106442577027,0.9845640836619732,0.2271009510148206,0.036801177188241274
GSE227903,5750_R,False,True,0.2581288012239315,0.9868455841624142,0.4649732923138702,0.09912498597684918
GSE227903,6323_Dg,False,True,0.11343489145738972,1.0813539392155902,0.3627115487572391,0.017658885711244875
GSE227903,6323_MRD,False,True,0.14357938800778255,0.9925762738689535,0.1754801931328106,0.014370613070384952
GSE227903,6323_R,False,True,0.1870003475842889,1.090555042728545,0.5121317319936151,0.01682433153387709
GSE227903,6323_R2,False,False,0.17956753368849904,1.0571688171172862,0.5602936184413985,0.04586703376873748
GSE239721,PT10A,False,False,0.05814584041650612,1.1680514449158865,0.3977599152570272,0.0424296997849042
GSE239721,PT15A,False,False,0.1587591243434435,0.9979367856395103,0.3307768648381856,0.041915595566880154
GSE239721,PT16A,False,False,0.14458724666337117,1.0054746117248303,0.3420919559598572,0.0468636486577491
GSE239721,PT17A,False,False,0.18793308602225797,0.9840791866645996,0.24465366799921281,0.014137903491833087
GSE239721,PT21A,False,False,0.16507177062027656,0.9960842737400987,0.37970806305170285,0.007755371632685641
GSE239721,PT22A,False,False,0.00697379605899917,1.2297131835593906,0.44547038116356397,0.03883407499565809
GSE239721,PT23A,False,False,0.22153149470766906,0.9769057049856444,0.1854353515662317,0.2043713874455705
GSE239721,PT26A,False,False,0.25800612659342215,1.035814680934807,0.285802761644221,0.008983034495822953
GSE239721,PT27A,False,False,0.012801657728136415,1.2052721140928044,0.3957519926597653,0.04163994092838894
GSE239721,PT28A,False,False,0.14333814333814326,1.0053660797294564,0.3149221481030079,0.015315086854278213
GSE289435,GSM8791432_MLL_14666,False,False,0.03338968723584152,1.1937494113279739,0.3707252647538744,0.06519710794622476
GSE289435,GSM8791433_MLL_16703,False,False,0.24123552123552056,0.975764560008842,0.45253512062695306,0.027311106427835862
