arm,sample,uid_patient,retest,median_to_other_patients,n_edges_half
tabular,1886_MRD,GSE227903:1886,0.043837918571385096,0.20761204503390412,24
tabular,1886_R,GSE227903:1886,0.07209107028738923,0.199395913500528,34
tabular,3853_Dg,GSE227903:3853,0.2120834285776859,0.2749917493514959,14
tabular,3853_R,GSE227903:3853,0.24514904150806832,0.28677000564061716,16
tabular,3904_Dg,GSE227903:3904,0.07017934251217882,0.21949891805814925,21
tabular,3904_MRD,GSE227903:3904,0.0450823122373671,0.22050659231752928,33
tabular,3904_R,GSE227903:3904,0.13518054719961142,0.23756771078767083,23
tabular,40389_Dg,GSE227903:40389,0.06692397718023818,0.19004635587286586,34
tabular,40389_MRD,GSE227903:40389,0.045068167531617236,0.2652113289749055,16
tabular,40389_R,GSE227903:40389,0.045154841075701106,0.1837458576145517,33
tabular,4978_Dg,GSE227903:4978,0.06786127494721268,0.19388487460392895,24
tabular,4978_MRD,GSE227903:4978,0.041481954670019035,0.24734454910240694,23
tabular,4978_R,GSE227903:4978,0.062005280210082656,0.4762103450697208,7
tabular,5143_Dg,GSE227903:5143,0.08393681517745145,0.20324843009953375,16
tabular,5143_R,GSE227903:5143,0.08144572855675136,0.2520015600347509,15
tabular,5750_Dg,GSE227903:5750,0.025241733980442216,0.1929227550764797,24
tabular,5750_MRD,GSE227903:5750,0.2115270121001934,0.22632976379531616,24
tabular,5750_R,GSE227903:5750,0.03178302178650484,0.2221641933275555,33
tabular,6323_Dg,GSE227903:6323,0.14267643276465716,0.24695777405374358,15
tabular,6323_MRD,GSE227903:6323,0.06334403463652093,0.20409731451209956,32
tabular,6323_R,GSE227903:6323,0.11045560890066199,0.21569169062023807,21
tabular,AML328-D0,GSE116256:AML328,0.1378993598070707,0.27382341969674034,19
tabular,AML328-D29,GSE116256:AML328,0.06883692504440371,0.33667034551922215,13
tabular,AML329-D0,GSE116256:AML329,0.2481142544675797,0.6199379832070956,5
tabular,AML329-D20,GSE116256:AML329,0.23680777875355172,0.4218725650239712,7
tabular,AML556-D0,GSE116256:AML556,0.18397433129813304,0.4140180005902047,13
tabular,AML556-D31,GSE116256:AML556,0.22936664029944606,0.29033672672713384,18
tabular,AML707B-D0,GSE116256:AML707B,0.15271770215452224,0.41523315175085723,8
tabular,AML707B-D113,GSE116256:AML707B,0.3143084771609526,0.4577083689381719,7
tabular,GSM6085177_AML01M4_P,GSE201966:AML01M4,0.09170368974881953,0.22203297164085836,22
tabular,GSM6085178_AML01M4_RE,GSE201966:AML01M4,0.062405009389300777,0.22746272311015284,32
tabular,GSM6085181_AML03M5_P,GSE201966:AML03M5,0.06288770605929543,0.30586097641505455,15
tabular,GSM6085182_AML03M5_RE,GSE201966:AML03M5,0.07158279872581519,0.3966230860616005,16
corrot,1216_Dg,GSE227903:1216,0.05574960991748338,0.3983978137882088,29
corrot,1216_MRD,GSE227903:1216,0.03565401719909935,0.26611763721815385,24
corrot,1216_R,GSE227903:1216,0.05464773934696482,0.30487040544762833,31
corrot,1886_Dg,GSE227903:1886,0.0674738709069065,0.3277341320595577,33
