mode,k,delta,planted,frac_cells_moved,mean_abs_dC,edge_min_p,edge_min_q,planted_edges_sig,any_edges_sig,omni_healthy,omni_aml,omni_beta,omni_p
mult,3,2.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.3826086956521739,0.06696243714877255,0.14992503748125938,0.7859779787525591,0,0,0.031197724052631007,0.032760536345967255,0.0021812498401371,0.6676661669165417
mult,3,4.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.3826086956521739,0.08240165631469978,0.11544227886056972,0.8134526486756621,0,0,0.031197724052631007,0.03362437070924673,0.0027588010760337357,0.6006996501749126
mult,6,0.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.0,0.0,0.2988505747126437,0.8207933070501787,0,0,0.031197724052631007,0.03178380377559786,0.0013140019644587147,0.7951024487756122
mult,6,0.25,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.29130434782608694,0.017864537119195504,0.375312343828086,0.8142178910544727,0,0,0.031197724052631007,0.031905884466869865,0.001462584444628125,0.7716141929035483
mult,6,0.5,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.34057971014492755,0.030346051464063887,0.271864067966017,0.7685995711821508,0,0,0.031197724052631007,0.03213311267996261,0.0016878144687141406,0.751624187906047
mult,6,1.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.3753623188405797,0.04862466725820763,0.18490754622688654,0.789370020871917,0,0,0.031197724052631007,0.032514847765832584,0.002124973604644437,0.7066466766616691
mult,6,2.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.391304347826087,0.07054125998225377,0.10044977511244378,0.7620886526433752,0,0,0.031197724052631007,0.033376382368151346,0.0030722985136488936,0.5762118940529735
mult,6,4.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.39420289855072466,0.09059449866903282,0.03548225887056472,0.3836415125770449,0,0,0.031197724052631007,0.03479311147072987,0.00447905503295907,0.4302848575712144
add,1,0.0,B_Plasma->Erythroid,0.0,0.0,0.9195402298850575,0.9402278027652841,0,0,0.031197724052631007,0.03178380377559786,0.0013140019644587147,0.7951024487756122
add,1,0.25,B_Plasma->Erythroid,1.0,0.2535936113575865,0.0004997501249375312,0.02448775612193903,1,1,0.031197724052631007,0.032025737557410325,0.0017603279942578745,0.7351324337831084
add,1,0.5,B_Plasma->Erythroid,1.0,0.31215616681455194,0.0004997501249375312,0.02448775612193903,1,1,0.031197724052631007,0.03239731564594386,0.002130131661382128,0.6691654172913544
add,1,1.0,B_Plasma->Erythroid,1.0,0.4406388642413487,0.0004997501249375312,0.02448775612193903,1,1,0.031197724052631007,0.033433317033836785,0.003044615010276275,0.5627186406796602
add,1,2.0,B_Plasma->Erythroid,1.0,0.6047914818101153,0.0004997501249375312,0.02448775612193903,1,1,0.031197724052631007,0.035763635641795286,0.005184392217138416,0.3268365817091454
add,1,4.0,B_Plasma->Erythroid,1.0,0.667080745341615,0.0004997501249375312,0.02448775612193903,1,1,0.031197724052631007,0.04008199592890581,0.008711138857643491,0.11094452773613193
add,3,0.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.0,0.0,0.2988505747126437,0.8207933070501787,0,0,0.031197724052631007,0.03178380377559786,0.0013140019644587147,0.7951024487756122
add,3,0.25,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.9449275362318841,0.20564921620822246,0.0004997501249375312,0.012243878060969516,2,2,0.031197724052631007,0.03374487487233442,0.0035053551373834973,0.4892553723138431
add,3,0.5,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.9565217391304348,0.25350488021295475,0.0004997501249375312,0.012243878060969516,2,2,0.031197724052631007,0.03550765114441361,0.005216505765013181,0.3263368315842079
add,3,1.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.9623188405797102,0.34983732623484176,0.0004997501249375312,0.008162585373979677,3,4,0.031197724052631007,0.03917024773258073,0.009412684315960049,0.07096451774112944
add,3,2.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.9623188405797102,0.4702454895001479,0.0004997501249375312,0.008162585373979677,3,5,0.031197724052631007,0.04637966897500794,0.018758535117951933,0.0014992503748125937
add,3,4.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP,0.9623188405797102,0.5147293700088731,0.0004997501249375312,0.008162585373979677,3,5,0.031197724052631007,0.0574870595458664,0.03291520459432102,0.0004997501249375312
add,6,0.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.0,0.0,0.2988505747126437,0.8207933070501787,0,0,0.031197724052631007,0.03178380377559786,0.0013140019644587147,0.7951024487756122
add,6,0.25,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.9405797101449276,0.19265010351966877,0.0004997501249375312,0.006121939030484758,4,4,0.031197724052631007,0.03556859269207947,0.005081893122913131,0.31134432783608196
add,6,0.5,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.9666666666666667,0.24133392487429753,0.0004997501249375312,0.006121939030484758,5,8,0.031197724052631007,0.038989952804747714,0.008293101807098758,0.09745127436281859
add,6,1.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.9739130434782609,0.33975155279503105,0.0004997501249375312,0.0040812926869898385,6,9,0.031197724052631007,0.04692805488592284,0.01597368849192692,0.001999000499750125
add,6,2.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.9768115942028985,0.46224489795918366,0.0004997501249375312,0.003060969515242379,6,9,0.031197724052631007,0.06114605723846225,0.03038781393774523,0.0004997501249375312
add,6,4.0,B_Plasma->Erythroid;HSC_MPP->HSC_MPP;Megakaryocyte->HSC_MPP;T_NK->Erythroid;B_Plasma->Mono_DC;Megakaryocyte->T_NK,0.9768115942028985,0.5082372079266488,0.0004997501249375312,0.0040812926869898385,6,12,0.031197724052631007,0.07710644505423944,0.04719215941417117,0.0004997501249375312
