sample_id,tp53_hit_malignant,tp53_hit_control,tp53_proxy_pos,proxy_confidence,n_mal_subclusters,n_mal_hit,frac_mal_hit,n_control_subclusters,n_excluded_small,label_source,dataset_id,healthy_control,evidence_tier
GSM5613786_2021-03-09-AMLMS3730,FALSE,FALSE,FALSE,negative,7,0,0,9,12,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613787_2021-03-09-count1_0.95,FALSE,FALSE,FALSE,negative,2,0,0,2,9,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613788_2021-03-09-Z-1-1,FALSE,FALSE,FALSE,negative,1,0,0,4,4,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613789_2021-03-09-Z-1-2,FALSE,FALSE,FALSE,negative,1,0,0,7,7,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613790_2021-03-09-Z-1-3,FALSE,FALSE,FALSE,negative,1,0,0,9,8,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613791_2019-10-21-1-Control0004,FALSE,FALSE,FALSE,negative,0,0,,0,2,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613793_2020-03-18-82,FALSE,FALSE,FALSE,negative,0,0,,0,2,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613795_2020-05-22-5prime_2,FALSE,FALSE,FALSE,negative,0,0,,0,1,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613796_2020-08-07-MDS-AML_cDNA1,FALSE,FALSE,FALSE,negative,0,0,,0,1,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613797_2020-08-07-MDS-AML_cDNA2,FALSE,FALSE,FALSE,negative,0,0,,0,1,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613800_2021-04-29-0102_cDNA,FALSE,FALSE,FALSE,negative,0,0,,0,1,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613801_2021-04-29-0134_cDNA,FALSE,FALSE,FALSE,negative,0,0,,0,1,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613804_2021-04-29-2910_cDNA,FALSE,FALSE,FALSE,negative,0,0,,0,1,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM5613805_2021-04-29-2975_cDNA,FALSE,FALSE,FALSE,negative,0,0,,0,1,infercnv_percell_local,GSE185381,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM6085180_AML02M5_RE,FALSE,FALSE,FALSE,negative,0,0,,85,10,infercnv_percell_local,GSE201966,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM6085181_AML03M5_P,TRUE,FALSE,TRUE,low_no_baseline,71,6,0.0845070422535211,0,8,infercnv_percell_local,GSE201966,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM6085182_AML03M5_RE,FALSE,FALSE,FALSE,negative,0,0,,3,11,infercnv_percell_local,GSE201966,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM6284913_TS173_05_Sample_E,FALSE,FALSE,FALSE,negative,17,0,0,23,7,infercnv_percell_local,GSE207356,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM6284914_TS173_06_Sample_F,FALSE,FALSE,FALSE,negative,13,0,0,11,14,infercnv_percell_local,GSE207356,FALSE,"C_single(infercnv_only,LOH_blind)"
1886_Dg,FALSE,FALSE,FALSE,negative,3,0,0,17,10,infercnv_percell_local,GSE227903,FALSE,AB_multi(numbat+infercnv)
1886_MRD,FALSE,FALSE,FALSE,negative,19,0,0,2,8,infercnv_percell_local,GSE227903,FALSE,AB_multi(numbat+infercnv)
1886_R,FALSE,FALSE,FALSE,negative,1,0,0,13,6,infercnv_percell_local,GSE227903,FALSE,AB_multi(numbat+infercnv)
3853_Dg,FALSE,FALSE,FALSE,negative,0,0,,22,9,infercnv_percell_local,GSE227903,FALSE,AB_multi(numbat+infercnv)
3853_R,FALSE,FALSE,FALSE,negative,0,0,,10,8,infercnv_percell_local,GSE227903,FALSE,AB_multi(numbat+infercnv)
3904_Dg,FALSE,FALSE,FALSE,negative,2,0,0,19,8,infercnv_percell_local,GSE227903,FALSE,AB_multi(numbat+infercnv)
3904_MRD,FALSE,FALSE,FALSE,negative,13,0,0,1,9,infercnv_percell_local,GSE227903,FALSE,AB_multi(numbat+infercnv)
3904_R,FALSE,FALSE,FALSE,negative,0,0,,79,15,infercnv_percell_local,GSE227903,FALSE,AB_multi(numbat+infercnv)
40389_Dg,FALSE,FALSE,FALSE,negative,1,0,0,14,12,infercnv_percell_local,GSE227903,FALSE,AB_multi(numbat+infercnv)
40389_MRD,FALSE,FALSE,FALSE,negative,1,0,0,9,13,infercnv_percell_local,GSE227903,FALSE,AB_multi(numbat+infercnv)
40389_R,FALSE,FALSE,FALSE,negative,4,0,0,5,6,infercnv_percell_local,GSE227903,FALSE,AB_multi(numbat+infercnv)
4978_Dg,FALSE,FALSE,FALSE,negative,1,0,0,17,14,infercnv_percell_local,GSE227903,FALSE,AB_multi(numbat+infercnv)
4978_MRD,TRUE,FALSE,TRUE,high,2,2,1,6,4,infercnv_percell_local,GSE227903,FALSE,AB_multi(numbat+infercnv)
4978_R,FALSE,FALSE,FALSE,negative,0,0,,21,8,infercnv_percell_local,GSE227903,FALSE,AB_multi(numbat+infercnv)
5143_Dg,FALSE,FALSE,FALSE,negative,0,0,,7,6,infercnv_percell_local,GSE227903,FALSE,AB_multi(numbat+infercnv)
5143_R,FALSE,FALSE,FALSE,negative,0,0,,14,9,infercnv_percell_local,GSE227903,FALSE,AB_multi(numbat+infercnv)
5750_Dg,FALSE,FALSE,FALSE,negative,0,0,,43,14,infercnv_percell_local,GSE227903,FALSE,AB_multi(numbat+infercnv)
5750_MRD,FALSE,FALSE,FALSE,negative,3,0,0,4,9,infercnv_percell_local,GSE227903,FALSE,AB_multi(numbat+infercnv)
5750_R,FALSE,FALSE,FALSE,negative,0,0,,37,4,infercnv_percell_local,GSE227903,FALSE,AB_multi(numbat+infercnv)
6323_Dg,FALSE,FALSE,FALSE,negative,0,0,,9,7,infercnv_percell_local,GSE227903,FALSE,AB_multi(numbat+infercnv)
6323_MRD,FALSE,FALSE,FALSE,negative,40,0,0,2,15,infercnv_percell_local,GSE227903,FALSE,AB_multi(numbat+infercnv)
6323_R,FALSE,FALSE,FALSE,negative,0,0,,7,6,infercnv_percell_local,GSE227903,FALSE,AB_multi(numbat+infercnv)
6323_R2,FALSE,FALSE,FALSE,negative,1,0,0,24,9,infercnv_percell_local,GSE227903,FALSE,AB_multi(numbat+infercnv)
PT17A,FALSE,FALSE,FALSE,negative,0,0,,31,10,infercnv_percell_local,GSE239721,FALSE,"C_single(infercnv_only,LOH_blind)"
PT20A,FALSE,FALSE,FALSE,negative,0,0,,18,7,infercnv_percell_local,GSE239721,FALSE,"C_single(infercnv_only,LOH_blind)"
PT21A,FALSE,FALSE,FALSE,negative,0,0,,38,13,infercnv_percell_local,GSE239721,FALSE,"C_single(infercnv_only,LOH_blind)"
PT22A,FALSE,FALSE,FALSE,negative,0,0,,24,8,infercnv_percell_local,GSE239721,FALSE,"C_single(infercnv_only,LOH_blind)"
PT23A,FALSE,FALSE,FALSE,negative,0,0,,61,11,infercnv_percell_local,GSE239721,FALSE,"C_single(infercnv_only,LOH_blind)"
PT26A,FALSE,FALSE,FALSE,negative,0,0,,19,8,infercnv_percell_local,GSE239721,FALSE,"C_single(infercnv_only,LOH_blind)"
PT27A,TRUE,FALSE,TRUE,high,2,2,1,8,13,infercnv_percell_local,GSE239721,FALSE,"C_single(infercnv_only,LOH_blind)"
PT28A,FALSE,FALSE,FALSE,negative,0,0,,74,13,infercnv_percell_local,GSE239721,FALSE,"C_single(infercnv_only,LOH_blind)"
PT29A,FALSE,FALSE,FALSE,negative,1,0,0,15,6,infercnv_percell_local,GSE239721,FALSE,"C_single(infercnv_only,LOH_blind)"
PT30A,FALSE,FALSE,FALSE,negative,0,0,,6,7,infercnv_percell_local,GSE239721,FALSE,"C_single(infercnv_only,LOH_blind)"
PT32A,FALSE,FALSE,FALSE,negative,2,0,0,10,12,infercnv_percell_local,GSE239721,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM8791432_MLL_14666,FALSE,FALSE,FALSE,negative,2,0,0,36,14,infercnv_percell_local,GSE289435,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM8791433_MLL_16703,FALSE,FALSE,FALSE,negative,2,0,0,36,13,infercnv_percell_local,GSE289435,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM8791434_MLL_17746,TRUE,FALSE,TRUE,high,1,1,1,60,16,infercnv_percell_local,GSE289435,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM8791435_MLL_17843,FALSE,FALSE,FALSE,negative,1,0,0,83,3,infercnv_percell_local,GSE289435,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM8791436_MLL_17844,TRUE,FALSE,TRUE,high,25,13,0.52,21,17,infercnv_percell_local,GSE289435,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM8791437_MLL_28824,FALSE,FALSE,FALSE,negative,1,0,0,49,9,infercnv_percell_local,GSE289435,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM8791438_MLL_28830,FALSE,FALSE,FALSE,negative,0,0,,27,16,infercnv_percell_local,GSE289435,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM8791439_MLL_28855,FALSE,FALSE,FALSE,negative,1,0,0,18,12,infercnv_percell_local,GSE289435,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM8791441_MLL_29532,TRUE,FALSE,TRUE,high,1,1,1,5,7,infercnv_percell_local,GSE289435,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM8791442_MLL_29538,FALSE,FALSE,FALSE,negative,6,0,0,13,18,infercnv_percell_local,GSE289435,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM8791443_MLL_30862,FALSE,FALSE,FALSE,negative,13,0,0,3,12,infercnv_percell_local,GSE289435,FALSE,"C_single(infercnv_only,LOH_blind)"
GSM8791444_MLL_30886,FALSE,FALSE,FALSE,negative,1,0,0,95,9,infercnv_percell_local,GSE289435,FALSE,"C_single(infercnv_only,LOH_blind)"
508084,FALSE,FALSE,FALSE,negative,0,0,,67,11,infercnv_percell_local,Petti2019,FALSE,"C_single(infercnv_only,LOH_blind)"
548327,FALSE,FALSE,FALSE,negative,2,0,0,38,9,infercnv_percell_local,Petti2019,FALSE,"C_single(infercnv_only,LOH_blind)"
721214,FALSE,FALSE,FALSE,negative,0,0,,118,3,infercnv_percell_local,Petti2019,FALSE,"C_single(infercnv_only,LOH_blind)"
782328,FALSE,FALSE,FALSE,negative,23,0,0,15,15,infercnv_percell_local,Petti2019,FALSE,"C_single(infercnv_only,LOH_blind)"
809653,FALSE,FALSE,FALSE,negative,11,0,0,0,12,infercnv_percell_local,Petti2019,FALSE,"C_single(infercnv_only,LOH_blind)"
ND_083017,FALSE,FALSE,FALSE,negative,7,0,0,1,10,infercnv_percell_local,Petti2019,TRUE,"C_single(infercnv_only,LOH_blind)"
ND_090617,FALSE,FALSE,FALSE,negative,9,0,0,1,14,infercnv_percell_local,Petti2019,TRUE,"C_single(infercnv_only,LOH_blind)"
Normal_sorted_170531,FALSE,FALSE,FALSE,negative,6,0,0,1,9,infercnv_percell_local,Petti2019,TRUE,"C_single(infercnv_only,LOH_blind)"
Normal_sorted_170607,TRUE,FALSE,TRUE,low_no_baseline,11,1,0.0909090909090909,0,14,infercnv_percell_local,Petti2019,TRUE,"C_single(infercnv_only,LOH_blind)"
