dataset,sample,ccc_eligible,exclude_reason,Timepoint,study_role,sample_role,l2_capable,sorted_sublib,total_cells,n_nodes_present,lymphoid_cells,immune_recv,Study,Patient_ID,uid_patient,is_longitudinal,subtype_stratum,l2_val,l2_flag
GSE253355,GSM8019212_H14_MACS,FALSE,not_l2_capable,Healthy,Reference-scaffold+AuxStroma,Reference-scaffold+AuxStroma,FALSE,FALSE,1910,6,1650,1778,Bandyopadhyay 2024 Cell,H14_MACS,GSE253355:H14_MACS,FALSE,"",FALSE,FALSE
GSE253355,GSM8019213_H21,FALSE,not_l2_capable,Healthy,Reference-scaffold+AuxStroma,Reference-scaffold+AuxStroma,FALSE,FALSE,2063,7,1032,1612,Bandyopadhyay 2024 Cell,H21,GSE253355:H21,FALSE,"",FALSE,FALSE
GSE253355,GSM8019214_H23,FALSE,not_l2_capable,Healthy,Reference-scaffold+AuxStroma,Reference-scaffold+AuxStroma,FALSE,FALSE,1328,6,852,1235,Bandyopadhyay 2024 Cell,H23,GSE253355:H23,FALSE,"",FALSE,FALSE
GSE253355,GSM8019215_H24,FALSE,not_l2_capable,Healthy,Reference-scaffold+AuxStroma,Reference-scaffold+AuxStroma,FALSE,FALSE,2630,7,1583,2494,Bandyopadhyay 2024 Cell,H24,GSE253355:H24,FALSE,"",FALSE,FALSE
GSE253355,GSM8019216_H32,FALSE,not_l2_capable,Healthy,Reference-scaffold+AuxStroma,Reference-scaffold+AuxStroma,FALSE,FALSE,2402,7,1084,1645,Bandyopadhyay 2024 Cell,H32,GSE253355:H32,FALSE,"",FALSE,FALSE
GSE253355,GSM8019217_H33,FALSE,not_l2_capable,Healthy,Reference-scaffold+AuxStroma,Reference-scaffold+AuxStroma,FALSE,FALSE,4763,7,1347,2963,Bandyopadhyay 2024 Cell,H33,GSE253355:H33,FALSE,"",FALSE,FALSE
GSE253355,GSM8019218_H34,FALSE,not_l2_capable,Healthy,Reference-scaffold+AuxStroma,Reference-scaffold+AuxStroma,FALSE,FALSE,2224,6,858,2073,Bandyopadhyay 2024 Cell,H34,GSE253355:H34,FALSE,"",FALSE,FALSE
GSE253355,GSM8019219_H35,FALSE,not_l2_capable,Healthy,Reference-scaffold+AuxStroma,Reference-scaffold+AuxStroma,FALSE,FALSE,4160,7,1943,3660,Bandyopadhyay 2024 Cell,H35,GSE253355:H35,FALSE,"",FALSE,FALSE
GSE253355,GSM8019220_H36,FALSE,not_l2_capable,Healthy,Reference-scaffold+AuxStroma,Reference-scaffold+AuxStroma,FALSE,FALSE,4258,7,2732,3384,Bandyopadhyay 2024 Cell,H36,GSE253355:H36,FALSE,"",FALSE,FALSE
GSE253355,GSM8019221_H38,FALSE,not_l2_capable,Healthy,Reference-scaffold+AuxStroma,Reference-scaffold+AuxStroma,FALSE,FALSE,4558,7,2927,3749,Bandyopadhyay 2024 Cell,H38,GSE253355:H38,FALSE,"",FALSE,FALSE
GSE253355,GSM8019222_H39,FALSE,not_l2_capable,Healthy,Reference-scaffold+AuxStroma,Reference-scaffold+AuxStroma,FALSE,FALSE,5287,7,3449,4260,Bandyopadhyay 2024 Cell,H39,GSE253355:H39,FALSE,"",FALSE,FALSE
GSE253355,GSM8019223_H41,FALSE,not_l2_capable,Healthy,Reference-scaffold+AuxStroma,Reference-scaffold+AuxStroma,FALSE,FALSE,3409,7,2225,2659,Bandyopadhyay 2024 Cell,H41,GSE253355:H41,FALSE,"",FALSE,FALSE
