dataset,sample,ccc_eligible,exclude_reason,Timepoint,study_role,sample_role,l2_capable,sorted_sublib,total_cells,n_nodes_present,lymphoid_cells,immune_recv,Study,Patient_ID,uid_patient,is_longitudinal,subtype_stratum,l2_val,l2_flag
GSE116256,BM5-34p38n,TRUE,"",Healthy,Treatment-axis,Treatment-axis,TRUE,FALSE,912,4,24,26,van Galen 2019 Cell,BM5,GSE116256:BM5,TRUE,mixed,TRUE,TRUE
GSE185381,GSM5613744_2019-07-01-count-1,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,6505,7,1331,3360,Lasry 2023 Nat Cancer,AML0612_AML3762_AML0160_AML0310_AML3133a,GSE185381:AML0612_AML3762_AML0160_AML0310_AML3133a,FALSE,other,TRUE,TRUE
GSE185381,GSM5613745_2019-07-01-count-2,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,7102,7,1355,3513,Lasry 2023 Nat Cancer,AML0612_AML3762_AML0160_AML0310_AML3134b,GSE185381:AML0612_AML3762_AML0160_AML0310_AML3134b,FALSE,other,TRUE,TRUE
GSE185381,GSM5613746_2019-07-01-count-3,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,7187,7,1230,3417,Lasry 2023 Nat Cancer,AML3762,GSE185381:AML3762,FALSE,other,TRUE,TRUE
GSE185381,GSM5613748_2019-08-01-count-2,TRUE,"",Healthy,Discovery-AML-immuneReceiver,Healthy-control,TRUE,FALSE,4854,6,2560,4700,Lasry 2023 Nat Cancer,Control1_Control2_Control3_Control4b,GSE185381:Control1_Control2_Control3_Control4b,FALSE,other,TRUE,TRUE
GSE185381,GSM5613749_2019-08-01-count-3,TRUE,"",Healthy,Discovery-AML-immuneReceiver,Healthy-control,TRUE,FALSE,4184,6,2094,4038,Lasry 2023 Nat Cancer,Control1_Control2_Control3_Control4c,GSE185381:Control1_Control2_Control3_Control4c,FALSE,other,TRUE,TRUE
GSE185381,GSM5613750_2019-08-01-count-4,TRUE,"",Healthy,Discovery-AML-immuneReceiver,Healthy-control,TRUE,FALSE,4285,6,2007,4183,Lasry 2023 Nat Cancer,Control1_Control2_Control3_Control4d,GSE185381:Control1_Control2_Control3_Control4d,FALSE,other,TRUE,TRUE
GSE185381,GSM5613751_2019-08-29-count-1,TRUE,"",Unknown,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,4448,6,774,3834,Lasry 2023 Nat Cancer,Control5_AML2910_AML3050_AML0361a,GSE185381:Control5_AML2910_AML3050_AML0361a,FALSE,other,TRUE,TRUE
GSE185381,GSM5613752_2019-08-29-count-2,TRUE,"",Healthy,Discovery-AML-immuneReceiver,Healthy-control,TRUE,FALSE,4449,6,769,3868,Lasry 2023 Nat Cancer,Control5,GSE185381:Control5,FALSE,other,TRUE,TRUE
GSE185381,GSM5613756_2019-10-25-count-5,TRUE,"",Unknown,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,4565,6,1331,4309,Lasry 2023 Nat Cancer,AML2451_Control0004,GSE185381:AML2451_Control0004,FALSE,other,TRUE,TRUE
GSE185381,GSM5613757_2019-11-04-count-1,TRUE,"",Healthy,Discovery-AML-immuneReceiver,Healthy-control,TRUE,FALSE,3708,6,1890,2773,Lasry 2023 Nat Cancer,Control0058_PAXMIJ_PAUMTZa,GSE185381:Control0058_PAXMIJ_PAUMTZa,FALSE,other,TRUE,TRUE
GSE185381,GSM5613758_2019-11-04-count-2,TRUE,"",Healthy,Discovery-AML-immuneReceiver,Healthy-control,TRUE,FALSE,2680,6,1258,1917,Lasry 2023 Nat Cancer,Control0058_PAXMIJ_PAUMTZb,GSE185381:Control0058_PAXMIJ_PAUMTZb,FALSE,other,TRUE,TRUE
