dataset,sample,timepoint,hierarchy_bin,has_graph,n_cells,n_evaluable,n_malignant,frac_malignant,n_vg_eval,n_vg_mal,frac_malignant_vg,mean_cnv_burden,mean_stemness,mean_stemness_normal,mean_stemness_malignant,mean_cytotrace,mean_cytotrace_normal,mean_cytotrace_malignant,stemness_sig,stemness_available,vg_available,cytotrace_available,burden_available,n_vg_scored,n_vg_pos
E-MTAB-11536,A29-BMA,Healthy,LMPP_GMP,TRUE,34,34,16,0.470588235294118,,,,0.00127961696625658,0.0252612435587979,0.0308519228306482,0.0189717293779663,0.37543777873489,0.330425722598365,0.42607634188848,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
E-MTAB-11536,A29-BMA,Healthy,Megakaryocyte,TRUE,0,0,0,,,,,,,,,,,,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
E-MTAB-11536,A29-BMA,Healthy,Mono_DC,TRUE,130,130,27,0.207692307692308,,,,0.000861240868118823,0.00371881473356156,0.00511285400831202,-0.00159918694419019,0.194644871755086,0.193595348543279,0.198648608451981,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
E-MTAB-11536,A29-BMA,Healthy,T_NK,TRUE,793,793,34,0.042875157629256,,,,0.000599458729838424,0.0236727447223261,0.0231232408812996,0.0359396098793586,0.0819032526490214,0.0825154695699141,0.068236410209093,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
E-MTAB-11536,A35-BMA,Healthy,B_Plasma,TRUE,134,134,1,0.00746268656716418,,,,0.000585068662794112,0.0392392411340964,0.0395342730223227,0,0.0206176081378045,0.0207169560058448,0.00740434168844648,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
E-MTAB-11536,A35-BMA,Healthy,Erythroid,TRUE,0,0,0,,,,,,,,,,,,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
E-MTAB-11536,A35-BMA,Healthy,HSC_MPP,TRUE,5,5,0,0,5,2,0.4,0.000187264493672912,0.156404913855424,0.156404913855424,,0.563567073802332,0.563567073802332,,LSC17,TRUE,TRUE,TRUE,TRUE,5,5
E-MTAB-11536,A35-BMA,Healthy,LMPP_GMP,TRUE,15,15,3,0.2,,,,0.000750412037675417,0.0143697404421681,0.0229900144487146,-0.0201113555840178,0.464098029103198,0.473998428666993,0.42449643084802,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
E-MTAB-11536,A35-BMA,Healthy,Megakaryocyte,TRUE,5,5,2,0.4,,,,0.00123189813081715,0.135099553570706,0.15808723228549,0.10061803549853,0.31679025036914,0.332756985778899,0.292840147254501,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
E-MTAB-11536,A35-BMA,Healthy,Mono_DC,TRUE,232,232,27,0.116379310344828,,,,0.000780203598717918,0.00392420205081403,0.00371327371680071,0.0055256949572115,0.157879186440414,0.158608225374621,0.152343890828843,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
E-MTAB-11536,A35-BMA,Healthy,T_NK,TRUE,715,715,11,0.0153846153846154,,,,0.000604636787954879,0.0420950362829475,0.0419582732231567,0.0508478721095606,0.0823101604451937,0.0818549449570671,0.111443951685291,LSC17,TRUE,TRUE,TRUE,TRUE,0,0
