arm_frac_min,arm_event_min,subclone_mal_min,n_Dg,n_Healthy,ck_Dg,ck_Healthy,ck_healthy_fpr,p17_Dg,p17_Healthy,p17_healthy_fpr,ck_auc_Dg_vs_H
0.6,5,0,37,23,24,18,0.782608695652174,3,1,0.0434782608695652,0.45710928319624
0.6,5,0.5,37,23,19,11,0.478260869565217,3,1,0.0434782608695652,0.532902467685076
0.6,5,0.8,37,23,15,8,0.347826086956522,3,1,0.0434782608695652,0.551116333725029
0.7,2,0,37,23,32,18,0.782608695652174,2,0,0,0.45475910693302
0.7,2,0.5,37,23,23,14,0.608695652173913,2,0,0,0.511750881316099
0.7,2,0.8,37,23,18,8,0.347826086956522,2,0,0,0.554054054054054
0.7,3,0,37,23,28,18,0.782608695652174,2,0,0,0.45475910693302
0.7,3,0.5,37,23,21,13,0.565217391304348,2,0,0,0.511750881316099
0.7,3,0.8,37,23,14,8,0.347826086956522,2,0,0,0.554054054054054
0.7,4,0,37,23,24,18,0.782608695652174,2,0,0,0.45475910693302
0.7,4,0.5,37,23,19,12,0.521739130434783,2,0,0,0.511750881316099
0.7,4,0.8,37,23,13,8,0.347826086956522,2,0,0,0.554054054054054
0.7,5,0,37,23,22,16,0.695652173913044,2,0,0,0.45475910693302
0.7,5,0.5,37,23,17,11,0.478260869565217,2,0,0,0.511750881316099
0.7,5,0.8,37,23,13,8,0.347826086956522,2,0,0,0.554054054054054
0.8,2,0,37,23,31,18,0.782608695652174,2,0,0,0.447708578143361
0.8,2,0.5,37,23,21,14,0.608695652173913,2,0,0,0.497062279670975
0.8,2,0.8,37,23,16,8,0.347826086956522,2,0,0,0.547003525264395
0.8,3,0,37,23,23,17,0.739130434782609,2,0,0,0.447708578143361
0.8,3,0.5,37,23,19,13,0.565217391304348,2,0,0,0.497062279670975
0.8,3,0.8,37,23,13,8,0.347826086956522,2,0,0,0.547003525264395
0.8,4,0,37,23,20,16,0.695652173913044,2,0,0,0.447708578143361
0.8,4,0.5,37,23,17,11,0.478260869565217,2,0,0,0.497062279670975
0.8,4,0.8,37,23,13,8,0.347826086956522,2,0,0,0.547003525264395
0.8,5,0,37,23,15,14,0.608695652173913,2,0,0,0.447708578143361
0.8,5,0.5,37,23,14,10,0.434782608695652,2,0,0,0.497062279670975
0.8,5,0.8,37,23,13,8,0.347826086956522,2,0,0,0.547003525264395
0.9,2,0,37,23,28,18,0.782608695652174,2,0,0,0.418331374853114
0.9,2,0.5,37,23,18,14,0.608695652173913,1,0,0,0.469447708578143
0.9,2,0.8,37,23,14,8,0.347826086956522,1,0,0,0.531139835487662
0.9,3,0,37,23,21,16,0.695652173913044,2,0,0,0.418331374853114
0.9,3,0.5,37,23,17,12,0.521739130434783,1,0,0,0.469447708578143
0.9,3,0.8,37,23,13,8,0.347826086956522,1,0,0,0.531139835487662
0.9,4,0,37,23,17,14,0.608695652173913,2,0,0,0.418331374853114
0.9,4,0.5,37,23,15,11,0.478260869565217,1,0,0,0.469447708578143
0.9,4,0.8,37,23,13,8,0.347826086956522,1,0,0,0.531139835487662
0.9,5,0,37,23,12,13,0.565217391304348,2,0,0,0.418331374853114
0.9,5,0.5,37,23,11,10,0.434782608695652,1,0,0,0.469447708578143
0.9,5,0.8,37,23,11,8,0.347826086956522,1,0,0,0.531139835487662
0.95,2,0,37,23,28,18,0.782608695652174,2,0,0,0.420094007050529
0.95,2,0.5,37,23,18,14,0.608695652173913,1,0,0,0.452996474735605
0.95,2,0.8,37,23,13,8,0.347826086956522,1,0,0,0.506462984723854
0.95,3,0,37,23,21,16,0.695652173913044,2,0,0,0.420094007050529
0.95,3,0.5,37,23,17,12,0.521739130434783,1,0,0,0.452996474735605
0.95,3,0.8,37,23,13,8,0.347826086956522,1,0,0,0.506462984723854
0.95,4,0,37,23,17,14,0.608695652173913,2,0,0,0.420094007050529
0.95,4,0.5,37,23,15,11,0.478260869565217,1,0,0,0.452996474735605
0.95,4,0.8,37,23,13,8,0.347826086956522,1,0,0,0.506462984723854
0.95,5,0,37,23,12,12,0.521739130434783,2,0,0,0.420094007050529
0.95,5,0.5,37,23,10,10,0.434782608695652,1,0,0,0.452996474735605
0.95,5,0.8,37,23,10,8,0.347826086956522,1,0,0,0.506462984723854
