dataset,sample,node,status,masked_by,abundance_unreliable,n_cells
E-MTAB-11536,A36-BMA,LMPP_GMP,present,,FALSE,
E-MTAB-11536,A36-BMA,Megakaryocyte,present,,FALSE,
E-MTAB-11536,A36-BMA,Mono_DC,present,,FALSE,
E-MTAB-11536,A36-BMA,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
E-MTAB-11536,A36-BMA,T_NK,present,,FALSE,
E-MTAB-11536,A37-BMA,B_Plasma,present,,FALSE,
E-MTAB-11536,A37-BMA,Erythroid,present,,FALSE,
E-MTAB-11536,A37-BMA,HSC_MPP,present,,FALSE,
E-MTAB-11536,A37-BMA,LMPP_GMP,present,,FALSE,
E-MTAB-11536,A37-BMA,Megakaryocyte,present,,FALSE,
E-MTAB-11536,A37-BMA,Mono_DC,present,,FALSE,
E-MTAB-11536,A37-BMA,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
E-MTAB-11536,A37-BMA,T_NK,present,,FALSE,
GSE116256,AML1012-D0,B_Plasma,present,,FALSE,
GSE116256,AML1012-D0,Erythroid,present,,FALSE,
GSE116256,AML1012-D0,HSC_MPP,present,,FALSE,
GSE116256,AML1012-D0,LMPP_GMP,present,,FALSE,
GSE116256,AML1012-D0,Megakaryocyte,present,,FALSE,
GSE116256,AML1012-D0,Mono_DC,present,,FALSE,
GSE116256,AML1012-D0,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML1012-D0,T_NK,present,,FALSE,
GSE116256,AML210A-D0,B_Plasma,present,,FALSE,
GSE116256,AML210A-D0,Erythroid,present,,FALSE,
GSE116256,AML210A-D0,HSC_MPP,present,,FALSE,
GSE116256,AML210A-D0,LMPP_GMP,present,,FALSE,
GSE116256,AML210A-D0,Megakaryocyte,present,,FALSE,
GSE116256,AML210A-D0,Mono_DC,present,,FALSE,
GSE116256,AML210A-D0,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML210A-D0,T_NK,present,,FALSE,
GSE116256,AML314-D0,B_Plasma,present,,FALSE,
GSE116256,AML314-D0,Erythroid,present,,FALSE,
GSE116256,AML314-D0,HSC_MPP,present,,FALSE,
GSE116256,AML314-D0,LMPP_GMP,present,,FALSE,
GSE116256,AML314-D0,Megakaryocyte,present,,FALSE,
GSE116256,AML314-D0,Mono_DC,present,,FALSE,
GSE116256,AML314-D0,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML314-D0,T_NK,present,,FALSE,
GSE116256,AML314-D31,B_Plasma,present,,FALSE,
GSE116256,AML314-D31,Erythroid,present,,FALSE,
GSE116256,AML314-D31,HSC_MPP,present,,FALSE,
GSE116256,AML314-D31,LMPP_GMP,present,,FALSE,
GSE116256,AML314-D31,Megakaryocyte,present,,FALSE,
GSE116256,AML314-D31,Mono_DC,present,,FALSE,
GSE116256,AML314-D31,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML314-D31,T_NK,present,,FALSE,
GSE116256,AML328-D0,B_Plasma,present,,FALSE,
GSE116256,AML328-D0,Erythroid,present,,FALSE,
GSE116256,AML328-D0,HSC_MPP,present,,FALSE,
GSE116256,AML328-D0,LMPP_GMP,present,,FALSE,
GSE116256,AML328-D0,Megakaryocyte,present,,FALSE,
GSE116256,AML328-D0,Mono_DC,present,,FALSE,
GSE116256,AML328-D0,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML328-D0,T_NK,present,,FALSE,
GSE116256,AML328-D113,B_Plasma,present,,FALSE,
GSE116256,AML328-D113,Erythroid,present,,FALSE,
GSE116256,AML328-D113,HSC_MPP,present,,FALSE,
GSE116256,AML328-D113,LMPP_GMP,present,,FALSE,
GSE116256,AML328-D113,Megakaryocyte,present,,FALSE,
GSE116256,AML328-D113,Mono_DC,present,,FALSE,
GSE116256,AML328-D113,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML328-D113,T_NK,present,,FALSE,
GSE116256,AML328-D171,B_Plasma,present,,FALSE,
GSE116256,AML328-D171,Erythroid,present,,FALSE,
GSE116256,AML328-D171,HSC_MPP,present,,FALSE,
GSE116256,AML328-D171,LMPP_GMP,present,,FALSE,
GSE116256,AML328-D171,Megakaryocyte,present,,FALSE,
GSE116256,AML328-D171,Mono_DC,present,,FALSE,
GSE116256,AML328-D171,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML328-D171,T_NK,present,,FALSE,
GSE116256,AML328-D29,B_Plasma,present,,FALSE,
GSE116256,AML328-D29,Erythroid,present,,FALSE,
GSE116256,AML328-D29,HSC_MPP,present,,FALSE,
GSE116256,AML328-D29,LMPP_GMP,present,,FALSE,
GSE116256,AML328-D29,Megakaryocyte,present,,FALSE,
GSE116256,AML328-D29,Mono_DC,present,,FALSE,
GSE116256,AML328-D29,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML328-D29,T_NK,present,,FALSE,
GSE116256,AML329-D0,B_Plasma,present,,FALSE,
GSE116256,AML329-D0,Erythroid,present,,FALSE,
GSE116256,AML329-D0,HSC_MPP,present,,FALSE,
GSE116256,AML329-D0,LMPP_GMP,present,,FALSE,
GSE116256,AML329-D0,Megakaryocyte,present,,FALSE,
GSE116256,AML329-D0,Mono_DC,present,,FALSE,
GSE116256,AML329-D0,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML329-D0,T_NK,present,,FALSE,
GSE116256,AML329-D20,B_Plasma,present,,FALSE,
GSE116256,AML329-D20,Erythroid,present,,FALSE,
GSE116256,AML329-D20,HSC_MPP,present,,FALSE,
GSE116256,AML329-D20,LMPP_GMP,present,,FALSE,
GSE116256,AML329-D20,Megakaryocyte,present,,FALSE,
GSE116256,AML329-D20,Mono_DC,present,,FALSE,
GSE116256,AML329-D20,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML329-D20,T_NK,present,,FALSE,
GSE116256,AML329-D37,B_Plasma,present,,FALSE,
GSE116256,AML329-D37,Erythroid,present,,FALSE,
GSE116256,AML329-D37,HSC_MPP,present,,FALSE,
GSE116256,AML329-D37,LMPP_GMP,present,,FALSE,
GSE116256,AML329-D37,Megakaryocyte,present,,FALSE,
GSE116256,AML329-D37,Mono_DC,present,,FALSE,
GSE116256,AML329-D37,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML329-D37,T_NK,present,,FALSE,
GSE116256,AML371-D0,B_Plasma,present,,FALSE,
GSE116256,AML371-D0,Erythroid,present,,FALSE,
GSE116256,AML371-D0,HSC_MPP,present,,FALSE,
GSE116256,AML371-D0,LMPP_GMP,present,,FALSE,
GSE116256,AML371-D0,Megakaryocyte,present,,FALSE,
