dataset,sample,timepoint,hierarchy_bin,in_ccc_graph,n_cells,n_evaluable,n_malignant,malignant_frac,frac_high_error
GSE227903,5750_MRD,MRD,Mono_DC,TRUE,1670,1670,546,0.3269,0.0287
GSE227903,5750_MRD,MRD,Erythroid,TRUE,17,17,0,0,0.1765
GSE227903,5750_MRD,MRD,Megakaryocyte,TRUE,1,1,1,1,0
GSE227903,5750_MRD,MRD,T_NK,TRUE,163,163,6,0.0368,0.1043
GSE227903,5750_MRD,MRD,B_Plasma,TRUE,22,22,9,0.4091,0
GSE227903,5750_MRD,MRD,Stromal,FALSE,0,0,0,,
GSE227903,5750_MRD,MRD,Unassigned,FALSE,69,69,32,0.4638,0
GSE227903,5750_R,Relapse,HSC_MPP,TRUE,246,246,2,0.0081,0.1098
GSE227903,5750_R,Relapse,LMPP_GMP,TRUE,2449,2449,54,0.022,0.0208
GSE227903,5750_R,Relapse,Mono_DC,TRUE,577,577,65,0.1127,0.0468
GSE227903,5750_R,Relapse,Erythroid,TRUE,211,211,6,0.0284,0.019
GSE227903,5750_R,Relapse,Megakaryocyte,TRUE,5,5,0,0,0
GSE227903,5750_R,Relapse,T_NK,TRUE,1184,1184,30,0.0253,0.0828
GSE227903,5750_R,Relapse,B_Plasma,TRUE,379,379,3,0.0079,0.0079
GSE227903,5750_R,Relapse,Stromal,FALSE,0,0,0,,
GSE227903,5750_R,Relapse,Unassigned,FALSE,81,81,9,0.1111,0
GSE227903,6323_Dg,Dx,HSC_MPP,TRUE,58,58,32,0.5517,0.0172
GSE227903,6323_Dg,Dx,LMPP_GMP,TRUE,231,231,125,0.5411,0.0649
GSE227903,6323_Dg,Dx,Mono_DC,TRUE,243,243,120,0.4938,0.0288
GSE227903,6323_Dg,Dx,Erythroid,TRUE,1,1,1,1,0
GSE227903,6323_Dg,Dx,Megakaryocyte,TRUE,0,0,0,,
GSE227903,6323_Dg,Dx,T_NK,TRUE,53,53,21,0.3962,0.0755
GSE227903,6323_Dg,Dx,B_Plasma,TRUE,2,2,0,0,0
GSE227903,6323_Dg,Dx,Stromal,FALSE,0,0,0,,
GSE227903,6323_Dg,Dx,Unassigned,FALSE,16,16,3,0.1875,0
GSE227903,6323_MRD,MRD,HSC_MPP,TRUE,26,26,3,0.1154,0.1154
GSE227903,6323_MRD,MRD,LMPP_GMP,TRUE,245,245,30,0.1224,0.1551
GSE227903,6323_MRD,MRD,Mono_DC,TRUE,8994,8994,5253,0.5841,0.0229
GSE227903,6323_MRD,MRD,Erythroid,TRUE,26,26,6,0.2308,0.1154
GSE227903,6323_MRD,MRD,Megakaryocyte,TRUE,1,1,0,0,0
GSE227903,6323_MRD,MRD,T_NK,TRUE,798,798,16,0.0201,0.0977
GSE227903,6323_MRD,MRD,B_Plasma,TRUE,133,133,16,0.1203,0.0526
GSE227903,6323_MRD,MRD,Stromal,FALSE,28,28,25,0.8929,0.0714
GSE227903,6323_MRD,MRD,Unassigned,FALSE,364,364,247,0.6786,0
GSE227903,6323_R,Relapse,HSC_MPP,TRUE,104,104,4,0.0385,0.1346
GSE227903,6323_R,Relapse,LMPP_GMP,TRUE,383,383,27,0.0705,0.047
GSE227903,6323_R,Relapse,Mono_DC,TRUE,215,215,28,0.1302,0.0093
GSE227903,6323_R,Relapse,Erythroid,TRUE,35,35,2,0.0571,0
GSE227903,6323_R,Relapse,Megakaryocyte,TRUE,1,1,0,0,0
GSE227903,6323_R,Relapse,T_NK,TRUE,110,110,10,0.0909,0.0909
GSE227903,6323_R,Relapse,B_Plasma,TRUE,4,4,0,0,0
GSE227903,6323_R,Relapse,Stromal,FALSE,0,0,0,,
GSE227903,6323_R,Relapse,Unassigned,FALSE,40,40,9,0.225,0
GSE227903,6323_R2,Relapse,HSC_MPP,TRUE,774,774,12,0.0155,0.2481
GSE227903,6323_R2,Relapse,LMPP_GMP,TRUE,992,992,44,0.0444,0.0827
GSE227903,6323_R2,Relapse,Mono_DC,TRUE,170,170,36,0.2118,0.0294
GSE227903,6323_R2,Relapse,Erythroid,TRUE,301,301,4,0.0133,0.0365
GSE227903,6323_R2,Relapse,Megakaryocyte,TRUE,9,9,0,0,0
GSE227903,6323_R2,Relapse,T_NK,TRUE,1390,1390,23,0.0165,0.0619
GSE227903,6323_R2,Relapse,B_Plasma,TRUE,20,20,0,0,0
GSE227903,6323_R2,Relapse,Stromal,FALSE,2,2,0,0,0
GSE227903,6323_R2,Relapse,Unassigned,FALSE,125,125,39,0.312,0
GSE239721,PT17A,,HSC_MPP,TRUE,539,539,14,0.026,0.2764
GSE239721,PT17A,,LMPP_GMP,TRUE,1765,1765,7,0.004,0.0674
GSE239721,PT17A,,Mono_DC,TRUE,51,51,3,0.0588,0.1765
GSE239721,PT17A,,Erythroid,TRUE,46,46,1,0.0217,0.2174
GSE239721,PT17A,,Megakaryocyte,TRUE,0,0,0,,
GSE239721,PT17A,,T_NK,TRUE,2,2,0,0,0
GSE239721,PT17A,,B_Plasma,TRUE,1,1,0,0,0
GSE239721,PT17A,,Stromal,FALSE,1,1,0,0,0
GSE239721,PT17A,,Unassigned,FALSE,70,70,4,0.0571,0
GSE239721,PT20A,,HSC_MPP,TRUE,48,48,0,0,0.4792
GSE239721,PT20A,,LMPP_GMP,TRUE,908,908,10,0.011,0.1167
GSE239721,PT20A,,Mono_DC,TRUE,11,11,0,0,0
GSE239721,PT20A,,Erythroid,TRUE,23,23,0,0,0
GSE239721,PT20A,,Megakaryocyte,TRUE,0,0,0,,
