sample,dataset,status,n_cells,frac_high_error,top_bin,top_bin_frac,n_stromal
GSM8019218_H34,GSE253355,ok,2968,0.0344,Mono_DC,0.411,663
GSM8019219_H35,GSE253355,ok,5264,0.0199,Mono_DC,0.32,1025
GSM8019220_H36,GSE253355,ok,7731,0.0283,Stromal,0.434,3356
GSM8019221_H38,GSE253355,ok,5954,0.023,B_Plasma,0.422,1413
GSM8019222_H39,GSE253355,ok,6433,0.0267,B_Plasma,0.45,1184
GSM8019223_H41,GSE253355,ok,6057,0.0218,Stromal,0.444,2687
GSM8791432_MLL_14666,GSE289435,ok,8111,0.079,Mono_DC,0.541,33
GSM8791433_MLL_16703,GSE289435,ok,6978,0.0712,LMPP_GMP,0.558,6
GSM8791434_MLL_17746,GSE289435,ok,4881,0.1246,LMPP_GMP,0.814,22
GSM8791435_MLL_17843,GSE289435,ok,12268,0.1743,HSC_MPP,0.347,0
GSM8791436_MLL_17844,GSE289435,ok,9108,0.0635,Mono_DC,0.864,4
GSM8791437_MLL_28824,GSE289435,ok,4189,0.0723,LMPP_GMP,0.622,1
GSM8791438_MLL_28830,GSE289435,ok,4170,0.0624,Mono_DC,0.627,7
GSM8791439_MLL_28855,GSE289435,ok,4562,0.023,Erythroid,0.475,0
GSM8791441_MLL_29532,GSE289435,ok,4853,0.0155,B_Plasma,0.76,0
GSM8791442_MLL_29538,GSE289435,ok,4010,0.0349,Mono_DC,0.782,1
GSM8791443_MLL_30862,GSE289435,ok,2659,0.0218,Mono_DC,0.936,0
GSM8791444_MLL_30886,GSE289435,ok,10447,0.1091,Erythroid,0.607,6
508084,Petti2019,ok,8484,0.0918,Mono_DC,0.446,0
548327,Petti2019,ok,7986,0.0731,LMPP_GMP,0.744,3
721214,Petti2019,ok,12256,0.1533,HSC_MPP,0.486,13
782328,Petti2019,ok,13447,0.0235,Mono_DC,0.839,1
809653,Petti2019,ok,13041,0.0603,T_NK,0.665,0
