dataset,sample,rds,timepoint,uid_patient,study,is_healthy_donor,timepoint_raw,timepoint_was_fixed,in_selection,dataset_role,in_primary_contrast,n_ccc_cells,is_patient_representative
GSE185381,GSM5613760_2019-11-19-count-1,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613760_2019-11-19-count-1.rds,Diagnosis,GSE185381:AML038,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,6897,TRUE
GSE185381,GSM5613765_2020-01-03-count-2,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613765_2020-01-03-count-2.rds,Diagnosis,GSE185381:AML055,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,7219,TRUE
GSE185381,GSM5613744_2019-07-01-count-1,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613744_2019-07-01-count-1.rds,Diagnosis,GSE185381:AML0612_AML3762_AML0160_AML0310_AML3133a,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,6505,TRUE
GSE185381,GSM5613745_2019-07-01-count-2,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613745_2019-07-01-count-2.rds,Diagnosis,GSE185381:AML0612_AML3762_AML0160_AML0310_AML3134b,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,7102,TRUE
GSE185381,GSM5613784_2021-03-09-AML0693,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613784_2021-03-09-AML0693.rds,Diagnosis,GSE185381:AML0693,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,2374,TRUE
GSE185381,GSM5613762_2019-11-26-count-1,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613762_2019-11-26-count-1.rds,Diagnosis,GSE185381:AML073_AML006_AML025_AML003a,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,7784,TRUE
GSE185381,GSM5613763_2019-11-26-count-2,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613763_2019-11-26-count-2.rds,Diagnosis,GSE185381:AML073_AML006_AML025_AML003b,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,7300,TRUE
GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613777_2020-09-11-AML4340_AML1371-c1.rds,Diagnosis,GSE185381:AML1371_AML4340a,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,2314,TRUE
GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613778_2020-09-11-AML4340_AML1371-c2.rds,Diagnosis,GSE185381:AML1371_AML4340b,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,2396,TRUE
GSE185381,GSM5613756_2019-10-25-count-5,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613756_2019-10-25-count-5.rds,Unknown,GSE185381:AML2451_Control0004,Lasry 2023 Nat Cancer,FALSE,Unknown,FALSE,TRUE,core,FALSE,4565,
