gene,category,n_pairs,frac_pairs_mut_higher,median_delta_log2cpm,p_sample_higher,pct_mut,pct_WT,frac_p05,n_up,sig
ANGPT1,msc_niche,9,0.777777777777778,0.162331063005423,0.009765625,15.6307129798903,4.45425910709395,0.596,7,p < 0.05 (uncorrected)
VEGFA,profibrotic_cytokine_gf,9,0.222222222222222,-0.0180041985354623,0.935546875,3.41724089438898,4.03656532456861,0,2,not significant
HGF,profibrotic_cytokine_gf,9,0.333333333333333,-0.0576588851362697,0.875,3.05512586134158,20.2410298548343,0,3,not significant
IGF2,profibrotic_cytokine_gf,9,0.333333333333333,-0.0015542547233721,0.875,0.0351567993249895,0.126677622569159,0,3,not significant
TGFB2,profibrotic_cytokine_gf,9,0.333333333333333,-0.0008869978983014,0.92578125,0.0878919983124736,0.17118597644481,0,3,not significant
TGFBR1,profibrotic_cytokine_gf,9,0.333333333333333,-0.0180602421640574,0.875,9.07045422584728,11.113393590797,0,3,not significant
OSMR,profibrotic_cytokine_gf,9,0.444444444444444,-0.000262227856169811,0.421875,0.151174237097455,0.191728293618187,0.036,4,not significant
PDGFA,profibrotic_cytokine_gf,9,0.444444444444444,-1.9193480099609e-05,0.455078125,3.339895935874,4.55012325390304,0,4,not significant
PDGFRA,profibrotic_cytokine_gf,9,0.444444444444444,0.000386551094861853,0.21875,0.119533117704964,0.0787455491646124,0,4,not significant
IGF1,profibrotic_cytokine_gf,9,0.555555555555556,0.000719124801620126,0.6796875,0.172268316692448,0.582032319912353,0,5,not significant
TGFB3,profibrotic_cytokine_gf,9,0.555555555555556,0.0012419374760851,0.125,0.724230066094783,0.438236099698713,0.418,5,not significant
FGF2,profibrotic_cytokine_gf,9,0.666666666666667,0.000350136494039875,0.58984375,0.0914076782449726,0.102711585866886,0,6,not significant
PDGFRB,profibrotic_cytokine_gf,9,0.666666666666667,0.00266362192686845,0.01953125,1.77893404584447,0.212270610791564,0.198,6,p < 0.05 (uncorrected)
TGFB1,profibrotic_cytokine_gf,9,0.666666666666667,0.0120269770955403,0.41015625,37.1396428069189,41.5434127636264,0.118,6,not significant
TGFBR2,profibrotic_cytokine_gf,9,0.666666666666667,0.007678267546364,0.150390625,24.3953030516102,20.5697069296083,0.074,6,not significant
IL11,profibrotic_cytokine_gf,9,0.777777777777778,0.00131196111411288,0.01953125,1.83518492476445,0.417693782525336,0.152,7,p < 0.05 (uncorrected)
PDGFB,profibrotic_cytokine_gf,9,0.777777777777778,0.002770931453841,0.01171875,0.801575024609759,0.31498219665845,0.224,7,p < 0.05 (uncorrected)
SPP1,profibrotic_cytokine_gf,9,0.777777777777778,0.00397019695013957,0.0078125,0.457038391224863,0.0684743905779239,0.65,7,p < 0.05 (uncorrected)
OSM,profibrotic_cytokine_gf,9,0.888888888888889,0.0158826944031674,0.009765625,5.78329348896077,2.6944672692413,0.466,8,p < 0.05 (uncorrected)
