dataset,sample,n_cells,COL1A1,CXCL12,DCN,LUM,screen_max,timepoint,uid_patient,library_type,screened_in
GSE253355,GSM8019218_H34,3196,237,561,346,264,561,Healthy,GSE253355:H34,stroma_enriched,TRUE
Chen2023,AML162_niche_immune,2358,322,507,362,333,507,Diagnosis,Chen2023:AML162,stroma_enriched,TRUE
GSE253355,GSM8019217_H33,5636,271,424,290,246,424,Healthy,GSE253355:H33,stroma_enriched,TRUE
Chen2023,AML24_Niche_Immune,2170,236,339,246,245,339,Diagnosis,Chen2023:AML24,stroma_enriched,TRUE
GSE289435,GSM8791434_MLL_17746,5273,0,0,0,254,254,Diagnosis,GSE289435:MLL_17746,whole_MNC,TRUE
GSE185381,GSM5613771_2020-03-18-count-3,5008,4,217,1,1,217,Unknown,GSE185381:Control0082_AML052_AML022c,whole_MNC,TRUE
Chen2023,NBM4_Niche_Immune,3132,72,203,131,102,203,Healthy,Chen2023:NBM4,stroma_enriched,TRUE
GSE185381,GSM5613770_2020-03-18-count-2,5230,6,190,0,0,190,Unknown,GSE185381:Control0082_AML052_AML022b,whole_MNC,TRUE
GSE185381,GSM5613769_2020-03-18-count-1,5573,4,182,0,0,182,Unknown,GSE185381:Control0082_AML052_AML022a,whole_MNC,TRUE
GSE185381,GSM5613791_2019-10-21-1-Control0004,12032,145,0,0,0,145,Healthy,GSE185381:Control0004,whole_MNC,TRUE
GSE227903,5750_R,5132,18,0,140,0,140,Relapse,GSE227903:5750,whole_MNC,TRUE
GSE289435,GSM8791432_MLL_14666,9152,8,115,17,3,115,Diagnosis,GSE289435:MLL_14666,whole_MNC,TRUE
GSE227903,5750_Dg,4202,3,0,99,3,99,Diagnosis,GSE227903:5750,whole_MNC,TRUE
GSE185381,GSM5613761_2019-11-19-count-2,7110,21,41,85,1,85,Diagnosis,GSE185381:AML028,whole_MNC,TRUE
GSE289435,GSM8791444_MLL_30886,11881,85,51,2,1,85,Diagnosis,GSE289435:MLL_30886,whole_MNC,TRUE
GSE185991,GSM5628167_M07,1371,1,0,0,82,82,Diagnosis,GSE185991:PT06,sorted_CD34,TRUE
GSE185991,GSM6412447_M36,3418,76,0,1,0,76,Diagnosis,GSE185991:PT11,sorted_CD34,TRUE
GSE185381,GSM5613760_2019-11-19-count-1,7271,18,21,73,0,73,Diagnosis,GSE185381:AML038,whole_MNC,TRUE
GSE185381,GSM5613780_2020-10-06-AML4897,2439,70,0,0,0,70,Diagnosis,GSE185381:AML4897,whole_MNC,TRUE
GSE185991,GSM6412448_M38,5672,64,7,5,2,64,Post_treatment,GSE185991:PT11,sorted_CD34,TRUE
GSE185381,GSM5613784_2021-03-09-AML0693,2897,25,61,30,22,61,Diagnosis,GSE185381:AML0693,whole_MNC,TRUE
E-MTAB-11536,637C-BMA,1360,59,9,1,0,59,Healthy,E-MTAB-11536:637C,whole_MNC,TRUE
GSE185991,GSM5628188_M41,2050,1,2,0,57,57,Diagnosis,GSE185991:PT13,sorted_CD34,TRUE
GSE289435,GSM8791436_MLL_17844,13050,42,1,7,2,42,Diagnosis,GSE289435:MLL_17844,whole_MNC,TRUE
GSE289435,GSM8791437_MLL_28824,4590,4,41,2,2,41,Diagnosis,GSE289435:MLL_28824,whole_MNC,TRUE
E-MTAB-11536,640C-BMA,1656,40,12,0,0,40,Healthy,E-MTAB-11536:640C,whole_MNC,TRUE
GSE207356,GSM6284912_TS173_04_Sample_D,9924,39,0,0,0,39,Diagnosis,GSE207356:TS173,whole_MNC,TRUE
GSE227903,40389_Dg,3114,37,3,1,2,37,Diagnosis,GSE227903:40389,whole_MNC,TRUE
GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2,2663,36,1,1,2,36,Diagnosis,GSE185381:AML1371_AML4340b,whole_MNC,TRUE
GSE185381,GSM5613757_2019-11-04-count-1,4225,35,3,1,0,35,Healthy,GSE185381:Control0058_PAXMIJ_PAUMTZa,whole_MNC,TRUE
GSE185381,GSM5613758_2019-11-04-count-2,2995,30,2,0,0,30,Healthy,GSE185381:Control0058_PAXMIJ_PAUMTZb,whole_MNC,TRUE
GSE239721,PT14A,636,0,1,30,2,30,Diagnosis,GSE239721:PT14A,whole_MNC,TRUE
GSE185381,GSM5613786_2021-03-09-AMLMS3730,4680,11,29,12,9,29,Diagnosis,GSE185381:AML3730,whole_MNC,TRUE
GSE227903,1886_R,1743,29,1,0,1,29,Relapse,GSE227903:1886,whole_MNC,TRUE
GSE185381,GSM5613804_2021-04-29-2910_cDNA,2197,28,0,0,0,28,Diagnosis,GSE185381:AML2910,whole_MNC,TRUE
GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1,2617,27,2,0,0,27,Diagnosis,GSE185381:AML1371_AML4340a,whole_MNC,TRUE
GSE289435,GSM8791438_MLL_28830,5502,27,6,10,5,27,Diagnosis,GSE289435:MLL_28830,whole_MNC,TRUE
Petti2019,809653,15194,27,5,1,1,27,Diagnosis,Petti2019:809653,whole_MNC,TRUE
GSE185381,GSM5613756_2019-10-25-count-5,4914,26,5,0,0,26,Unknown,GSE185381:AML2451_Control0004,whole_MNC,TRUE
GSE185381,GSM5613790_2021-03-09-Z-1-3,1670,4,2,0,25,25,Diagnosis,GSE185381:AML0114c,whole_MNC,TRUE
GSE201966,GSM6085181_AML03M5_P,7231,8,9,23,4,23,Diagnosis,GSE201966:AML03M5,whole_MNC,TRUE
GSE227903,3904_R,9837,8,2,0,23,23,Relapse,GSE227903:3904,whole_MNC,TRUE
GSE227903,40389_R,5471,22,6,2,3,22,Relapse,GSE227903:40389,whole_MNC,TRUE
Chen2023,NBM1_CD34,8364,21,5,0,6,21,Healthy,Chen2023:NBM1,sorted_CD34,TRUE
GSE227903,40389_MRD,3806,21,1,0,0,21,MRD,GSE227903:40389,whole_MNC,TRUE
GSE185381,GSM5613765_2020-01-03-count-2,7821,14,20,6,2,20,Diagnosis,GSE185381:AML055,whole_MNC,TRUE
GSE185991,GSM5628195_M48,2809,0,0,19,0,19,Diagnosis,GSE185991:PT15,sorted_CD34,FALSE
GSE239721,PT29A,2193,19,0,0,0,19,Diagnosis,GSE239721:PT29A,whole_MNC,FALSE
GSE185991,GSM6412449_M84,6373,18,0,0,0,18,Diagnosis,GSE185991:PT17,sorted_CD34,FALSE
GSE185381,GSM5613764_2020-01-03-count-1,7214,17,14,4,2,17,Diagnosis,GSE185381:AML012_AML005_AML055_AML048a,whole_MNC,FALSE
GSE289435,GSM8791433_MLL_16703,7930,12,17,2,2,17,Diagnosis,GSE289435:MLL_16703,whole_MNC,FALSE
E-MTAB-11536,A29-BMA,1199,16,4,0,0,16,Healthy,E-MTAB-11536:A29,whole_MNC,FALSE
GSE207356,GSM6284914_TS173_06_Sample_F,7462,16,11,4,4,16,Post_treatment,GSE207356:TS173,whole_MNC,FALSE
GSE227903,1216_MRD,1832,16,1,0,0,16,MRD,GSE227903:1216,whole_MNC,FALSE
E-MTAB-11536,637C-BLD,664,15,0,0,0,15,Healthy,E-MTAB-11536:637C,whole_MNC,FALSE
GSE201966,GSM6085182_AML03M5_RE,2844,2,5,15,2,15,Relapse,GSE201966:AML03M5,whole_MNC,FALSE
GSE207356,GSM6284913_TS173_05_Sample_E,6089,15,10,0,0,15,Post_treatment,GSE207356:TS173,whole_MNC,FALSE
GSE239721,PT26A,1178,15,6,1,1,15,Diagnosis,GSE239721:PT26A,whole_MNC,FALSE
Chen2023,NBM3_CD34,8712,2,14,3,3,14,Healthy,Chen2023:NBM3,sorted_CD34,FALSE
GSE185381,GSM5613744_2019-07-01-count-1,7592,14,0,0,0,14,Diagnosis,GSE185381:AML0612_AML3762_AML0160_AML0310_AML3133a,whole_MNC,FALSE
GSE185381,GSM5613782_2020-10-06-count4_0.95,2555,4,0,1,14,14,Diagnosis,GSE185381:AML026_AML051,whole_MNC,FALSE
GSE185381,GSM5613795_2020-05-22-5prime_2,1347,14,9,1,0,14,Healthy,GSE185381:Control0182,whole_MNC,FALSE
GSE185991,GSM6412450_M85,6412,14,3,0,9,14,Post_treatment,GSE185991:PT17,sorted_CD34,FALSE
GSE201966,GSM6085177_AML01M4_P,4527,7,10,14,2,14,Diagnosis,GSE201966:AML01M4,whole_MNC,FALSE
Petti2019,ND_083017,4542,14,1,1,1,14,Healthy,Petti2019:ND_083017,whole_MNC,FALSE
E-MTAB-11536,A36-BLD,2735,13,0,2,0,13,Healthy,E-MTAB-11536:A36,whole_MNC,FALSE
GSE185381,GSM5613759_2019-11-04-count-3,3522,13,1,0,0,13,Healthy,GSE185381:Control0058_PAXMIJ_PAUMTZc,whole_MNC,FALSE
GSE185991,GSM6412454_M93,2170,13,0,0,3,13,Relapse,GSE185991:PT19,sorted_CD34,FALSE
GSE239721,PT28A,7712,7,13,0,5,13,Diagnosis,GSE239721:PT28A,whole_MNC,FALSE
Petti2019,721214,13149,12,13,11,12,13,Diagnosis,Petti2019:721214,whole_MNC,FALSE
GSE227903,1216_R,5745,12,7,1,5,12,Relapse,GSE227903:1216,whole_MNC,FALSE
GSE227903,1886_Dg,3270,12,11,2,4,12,Diagnosis,GSE227903:1886,whole_MNC,FALSE
GSE227903,4978_R,2035,12,0,0,0,12,Relapse,GSE227903:4978,whole_MNC,FALSE
GSE227903,6323_MRD,10615,12,1,1,0,12,MRD,GSE227903:6323,whole_MNC,FALSE
E-MTAB-11536,A35-BMA,1154,11,3,0,0,11,Healthy,E-MTAB-11536:A35,whole_MNC,FALSE
GSE185991,GSM6412452_M89,3310,11,1,0,0,11,Post_treatment,GSE185991:PT18,sorted_CD34,FALSE
GSE227903,3904_MRD,2301,11,0,2,2,11,MRD,GSE227903:3904,whole_MNC,FALSE
Chen2023,NBM4_CD34,5130,2,10,5,4,10,Healthy,Chen2023:NBM4,sorted_CD34,FALSE
E-MTAB-11536,621B-BMA,598,10,0,0,0,10,Healthy,E-MTAB-11536:621B,whole_MNC,FALSE
GSE185381,GSM5613806_2021-04-29-3948_cDNA,2307,10,0,0,0,10,Diagnosis,GSE185381:AML3948,whole_MNC,FALSE
GSE227903,1886_MRD,2844,10,2,1,2,10,MRD,GSE227903:1886,whole_MNC,FALSE
GSE227903,4978_Dg,2679,10,1,1,3,10,Diagnosis,GSE227903:4978,whole_MNC,FALSE
E-MTAB-11536,A36-BMA,1102,7,9,1,0,9,Healthy,E-MTAB-11536:A36,whole_MNC,FALSE
GSE116256,AML556-D31,1104,4,9,0,1,9,Post_treatment,GSE116256:AML556,whole_MNC,FALSE
GSE185381,GSM5613746_2019-07-01-count-3,8497,9,0,0,0,9,Diagnosis,GSE185381:AML3762,whole_MNC,FALSE
GSE185381,GSM5613748_2019-08-01-count-2,5206,9,4,1,1,9,Healthy,GSE185381:Control1_Control2_Control3_Control4b,whole_MNC,FALSE
GSE185381,GSM5613801_2021-04-29-0134_cDNA,1435,9,0,0,0,9,Diagnosis,GSE185381:AML0134,whole_MNC,FALSE
GSE227903,1216_Dg,2299,9,0,1,8,9,Diagnosis,GSE227903:1216,whole_MNC,FALSE
GSE239721,PT10A,1236,9,1,0,0,9,Diagnosis,GSE239721:PT10A,whole_MNC,FALSE
GSE239721,PT27A,5191,1,9,0,3,9,Diagnosis,GSE239721:PT27A,whole_MNC,FALSE
GSE289435,GSM8791435_MLL_17843,13429,4,9,2,0,9,Diagnosis,GSE289435:MLL_17843,whole_MNC,FALSE
Petti2019,ND_090617,5485,9,1,0,0,9,Healthy,Petti2019:ND_090617,whole_MNC,FALSE
GSE185381,GSM5613751_2019-08-29-count-1,4744,4,3,8,4,8,Unknown,GSE185381:Control5_AML2910_AML3050_AML0361a,whole_MNC,FALSE
GSE185381,GSM5613787_2021-03-09-count1_0.95,2430,0,8,3,2,8,Unknown,GSE185381:Control0005_AML009b,whole_MNC,FALSE
GSE201966,GSM6085180_AML02M5_RE,9910,6,8,8,0,8,Relapse,GSE201966:AML02M5,whole_MNC,FALSE
GSE227903,3904_Dg,3265,5,1,0,8,8,Diagnosis,GSE227903:3904,whole_MNC,FALSE
GSE227903,4978_MRD,1732,8,0,0,0,8,MRD,GSE227903:4978,whole_MNC,FALSE
GSE227903,6323_R2,3783,8,0,1,0,8,Relapse2,GSE227903:6323,whole_MNC,FALSE
Petti2019,548327,8705,8,8,2,6,8,Diagnosis,Petti2019:548327,whole_MNC,FALSE
GSE185381,GSM5613752_2019-08-29-count-2,4763,5,3,7,4,7,Healthy,GSE185381:Control5,whole_MNC,FALSE
GSE185381,GSM5613788_2021-03-09-Z-1-1,825,2,1,0,7,7,Diagnosis,GSE185381:AML0114a,whole_MNC,FALSE
GSE185991,GSM6412455_M95,3453,7,0,0,0,7,Relapse,GSE185991:PT20,sorted_CD34,FALSE
GSE201966,GSM6085178_AML01M4_RE,7144,7,7,7,1,7,Relapse,GSE201966:AML01M4,whole_MNC,FALSE
GSE239721,PT32A,1725,3,7,0,1,7,Diagnosis,GSE239721:PT32A,whole_MNC,FALSE
Chen2023,AML24_CD34,9610,0,6,0,2,6,Diagnosis,Chen2023:AML24,sorted_CD34,FALSE
Chen2023,AML320_CD34,3222,3,5,6,2,6,Diagnosis,Chen2023:AML320,sorted_CD34,FALSE
GSE185381,GSM5613745_2019-07-01-count-2,8352,6,0,0,0,6,Diagnosis,GSE185381:AML0612_AML3762_AML0160_AML0310_AML3134b,whole_MNC,FALSE
GSE185381,GSM5613750_2019-08-01-count-4,4557,3,6,0,0,6,Healthy,GSE185381:Control1_Control2_Control3_Control4d,whole_MNC,FALSE
GSE185381,GSM5613762_2019-11-26-count-1,8406,6,4,1,4,6,Diagnosis,GSE185381:AML073_AML006_AML025_AML003a,whole_MNC,FALSE
GSE185381,GSM5613768_2020-03-18-AML3266,1468,6,0,0,0,6,Diagnosis,GSE185381:AML3266,whole_MNC,FALSE
GSE227903,5750_MRD,2223,6,0,1,0,6,MRD,GSE227903:5750,whole_MNC,FALSE
GSE116256,BM4,2992,5,1,1,0,5,Healthy,GSE116256:BM4,whole_MNC,FALSE
GSE185381,GSM5613749_2019-08-01-count-3,4455,5,2,0,0,5,Healthy,GSE185381:Control1_Control2_Control3_Control4c,whole_MNC,FALSE
GSE289435,GSM8791439_MLL_28855,4892,5,2,1,0,5,Diagnosis,GSE289435:MLL_28855,whole_MNC,FALSE
GSE289435,GSM8791442_MLL_29538,4632,5,2,2,0,5,Diagnosis,GSE289435:MLL_29538,whole_MNC,FALSE
Chen2023,NBM2_CD34,2641,2,4,4,0,4,Healthy,Chen2023:NBM2,sorted_CD34,FALSE
E-MTAB-11536,A35-BLD,1266,4,1,0,0,4,Healthy,E-MTAB-11536:A35,whole_MNC,FALSE
GSE116256,AML371-D0,514,1,4,2,2,4,Diagnosis,GSE116256:AML371,whole_MNC,FALSE
GSE116256,AML420B-D14,938,1,4,1,1,4,Post_treatment,GSE116256:AML420B,whole_MNC,FALSE
GSE185381,GSM5613785_2021-03-09-AML3948,6754,4,1,0,0,4,Diagnosis,GSE185381:AML3948,whole_MNC,FALSE
GSE185381,GSM5613789_2021-03-09-Z-1-2,970,1,0,0,4,4,Diagnosis,GSE185381:AML0114b,whole_MNC,FALSE
GSE185381,GSM5613800_2021-04-29-0102_cDNA,1479,4,0,0,0,4,Diagnosis,GSE185381:AML0102,whole_MNC,FALSE
GSE185991,GSM5628180_M30,2937,4,0,1,0,4,Relapse,GSE185991:PT08,sorted_CD34,FALSE
GSE185991,GSM5628191_M44,600,0,4,0,1,4,Post_treatment,GSE185991:PT12_PT13,sorted_CD34,FALSE
GSE185991,GSM5628192_M45,1112,4,1,0,0,4,Post_treatment,GSE185991:PT12,sorted_CD34,FALSE
GSE185991,GSM6412451_M88,3561,4,0,0,0,4,Diagnosis,GSE185991:PT18,sorted_CD34,FALSE
GSE239721,PT15A,4053,4,3,0,0,4,Diagnosis,GSE239721:PT15A,whole_MNC,FALSE
GSE289435,GSM8791443_MLL_30862,3111,0,4,0,0,4,Diagnosis,GSE289435:MLL_30862,whole_MNC,FALSE
Petti2019,Normal_sorted_170531,2577,4,0,1,1,4,Healthy,Petti2019:Normal_sorted_170531,whole_MNC,FALSE
Chen2023,AML162_CD34,2275,3,3,0,0,3,Diagnosis,Chen2023:AML162,sorted_CD34,FALSE
Chen2023,AML304_CD34,2668,1,3,1,3,3,Diagnosis,Chen2023:AML304,sorted_CD34,FALSE
GSE116256,AML556-D0,1554,2,3,1,2,3,Diagnosis,GSE116256:AML556,whole_MNC,FALSE
GSE116256,AML707B-D0,1215,0,3,0,0,3,Diagnosis,GSE116256:AML707B,whole_MNC,FALSE
GSE116256,AML921A-D0,2909,3,3,0,0,3,Diagnosis,GSE116256:AML921A,whole_MNC,FALSE
GSE185381,GSM5613779_2020-09-15-AML0024,4920,0,3,3,0,3,Diagnosis,GSE185381:AML0024,whole_MNC,FALSE
GSE185381,GSM5613805_2021-04-29-2975_cDNA,786,3,0,0,0,3,Diagnosis,GSE185381:AML2975,whole_MNC,FALSE
GSE185991,GSM5628177_M27,974,3,0,0,0,3,Post_treatment,GSE185991:PT01,sorted_CD34,FALSE
GSE185991,GSM5628182_M32,4500,3,0,0,0,3,Diagnosis,GSE185991:PT09,sorted_CD34,FALSE
GSE201966,GSM6085179_AML02M5_P,2719,3,1,2,1,3,Diagnosis,GSE201966:AML02M5,whole_MNC,FALSE
GSE239721,PT16A,1499,3,2,0,0,3,Diagnosis,GSE239721:PT16A,whole_MNC,FALSE
GSE239721,PT21A,3473,3,1,0,0,3,Diagnosis,GSE239721:PT21A,whole_MNC,FALSE
Petti2019,508084,9482,3,0,0,0,3,Diagnosis,Petti2019:508084,whole_MNC,FALSE
Petti2019,782328,15148,2,3,1,3,3,Diagnosis,Petti2019:782328,whole_MNC,FALSE
Chen2023,AML469_CD34,3324,2,2,1,2,2,Diagnosis,Chen2023:AML469,sorted_CD34,FALSE
E-MTAB-11536,A37-BMA,690,1,2,0,0,2,Healthy,E-MTAB-11536:A37,whole_MNC,FALSE
GSE116256,AML328-D113,1647,1,1,2,1,2,Post_treatment,GSE116256:AML328,whole_MNC,FALSE
GSE116256,AML707B-D18,1413,0,2,0,0,2,Post_treatment,GSE116256:AML707B,whole_MNC,FALSE
GSE185381,GSM5613763_2019-11-26-count-2,7929,1,2,0,1,2,Diagnosis,GSE185381:AML073_AML006_AML025_AML003b,whole_MNC,FALSE
GSE185381,GSM5613766_2020-03-18-AML0048-c1,1888,0,2,0,0,2,Diagnosis,GSE185381:AML0048-c1,whole_MNC,FALSE
GSE185381,GSM5613767_2020-03-18-AML0048-c2,2004,1,2,0,0,2,Diagnosis,GSE185381:AML0048-c2,whole_MNC,FALSE
GSE185381,GSM5613774_2020-08-26-Control4003-c1,1014,1,2,1,0,2,Healthy,GSE185381:Control4003a,whole_MNC,FALSE
GSE185381,GSM5613775_2020-08-26-Control4003-c2,2197,0,2,1,1,2,Healthy,GSE185381:Control4003b,whole_MNC,FALSE
GSE185381,GSM5613776_2020-08-26-Control4003-c3,1952,1,1,2,0,2,Healthy,GSE185381:Control4003c,whole_MNC,FALSE
GSE185991,GSM5628172_M22,4601,1,2,2,1,2,Diagnosis,GSE185991:PT07,sorted_CD34,FALSE
GSE185991,GSM5628187_M40,1975,1,0,0,2,2,Diagnosis,GSE185991:PT12,sorted_CD34,FALSE
GSE239721,PT30A,612,1,2,1,0,2,Diagnosis,GSE239721:PT30A,whole_MNC,FALSE
GSE289435,GSM8791441_MLL_29532,5260,2,0,0,0,2,Diagnosis,GSE289435:MLL_29532,whole_MNC,FALSE
Chen2023,AML103_CD34,769,1,1,0,0,1,Diagnosis,Chen2023:AML103,sorted_CD34,FALSE
GSE116256,AML210A-D0,595,1,0,0,0,1,Diagnosis,GSE116256:AML210A,whole_MNC,FALSE
GSE116256,AML328-D0,597,0,1,0,0,1,Diagnosis,GSE116256:AML328,whole_MNC,FALSE
GSE116256,AML328-D29,1250,1,0,0,0,1,Post_treatment,GSE116256:AML328,whole_MNC,FALSE
GSE116256,AML329-D20,605,1,0,0,0,1,Post_treatment,GSE116256:AML329,whole_MNC,FALSE
GSE116256,AML556-D15,935,1,0,0,0,1,Post_treatment,GSE116256:AML556,whole_MNC,FALSE
GSE116256,AML707B-D113,576,0,1,0,0,1,Post_treatment,GSE116256:AML707B,whole_MNC,FALSE
GSE116256,BM5-34p,967,1,1,0,0,1,Healthy,GSE116256:BM5,whole_MNC,FALSE
GSE116256,BM5-34p38n,1223,1,0,0,0,1,Healthy,GSE116256:BM5,whole_MNC,FALSE
GSE147989,007C1D1BL,2378,0,1,0,0,1,Post_treatment,GSE147989:007,sorted_CD34,FALSE
GSE147989,009C1D1BL,741,1,0,0,0,1,Post_treatment,GSE147989:009,sorted_CD34,FALSE
GSE185381,GSM5613781_2020-10-06-count2,3817,1,1,0,1,1,Unknown,GSE185381:Control0005_AML009a,whole_MNC,FALSE
GSE185991,GSM5628168_M08,1354,0,1,0,0,1,Diagnosis,GSE185991:PT06,sorted_CD34,FALSE
GSE185991,GSM5628176_M26,1540,1,1,0,0,1,Post_treatment,GSE185991:PT02,sorted_CD34,FALSE
GSE185991,GSM5628178_M28,3602,0,1,0,0,1,Diagnosis,GSE185991:PT08,sorted_CD34,FALSE
GSE185991,GSM5628183_M33,2439,0,0,0,1,1,Diagnosis,GSE185991:PT10,sorted_CD34,FALSE
GSE185991,GSM5628189_M42,3401,0,0,0,1,1,Relapse,GSE185991:PT10,sorted_CD34,FALSE
GSE185991,GSM5628190_M43,523,1,1,0,0,1,Post_treatment,GSE185991:PT01_PT10,sorted_CD34,FALSE
GSE185991,GSM6412453_M92,2543,1,1,0,0,1,Post_treatment,GSE185991:PT17,sorted_CD34,FALSE
GSE227903,3853_Dg,1334,1,0,0,1,1,Diagnosis,GSE227903:3853,whole_MNC,FALSE
GSE227903,3853_R,528,1,0,0,0,1,Relapse,GSE227903:3853,whole_MNC,FALSE
GSE227903,5143_Dg,1103,1,0,0,0,1,Diagnosis,GSE227903:5143,whole_MNC,FALSE
GSE227903,6323_Dg,604,1,0,0,0,1,Diagnosis,GSE227903:6323,whole_MNC,FALSE
GSE239721,PT17A,2475,0,1,0,0,1,Diagnosis,GSE239721:PT17A,whole_MNC,FALSE
GSE239721,PT22A,1662,0,1,0,0,1,Diagnosis,GSE239721:PT22A,whole_MNC,FALSE
Petti2019,Normal_sorted_170607,1904,1,0,0,0,1,Healthy,Petti2019:Normal_sorted_170607,whole_MNC,FALSE
GSE116256,AML1012-D0,931,0,0,0,0,0,Diagnosis,GSE116256:AML1012,whole_MNC,FALSE
GSE116256,AML328-D171,961,0,0,0,0,0,Post_treatment,GSE116256:AML328,whole_MNC,FALSE
GSE116256,AML419A-D0,908,0,0,0,0,0,Diagnosis,GSE116256:AML419A,whole_MNC,FALSE
GSE116256,AML916-D0,658,0,0,0,0,0,Diagnosis,GSE116256:AML916,whole_MNC,FALSE
GSE147989,007SCRBL,1354,0,0,0,0,0,Diagnosis,GSE147989:007,sorted_CD34,FALSE
GSE147989,009SCRBL,1016,0,0,0,0,0,Diagnosis,GSE147989:009,sorted_CD34,FALSE
GSE185381,GSM5613793_2020-03-18-82,1106,0,0,0,0,0,Healthy,GSE185381:Control0082,whole_MNC,FALSE
GSE185381,GSM5613796_2020-08-07-MDS-AML_cDNA1,1416,0,0,0,0,0,Healthy,GSE185381:Control4003a,whole_MNC,FALSE
GSE185381,GSM5613797_2020-08-07-MDS-AML_cDNA2,1078,0,0,0,0,0,Healthy,GSE185381:Control4003,whole_MNC,FALSE
GSE185991,GSM5628163_M03,1268,0,0,0,0,0,Diagnosis,GSE185991:PT01,sorted_CD34,FALSE
GSE185991,GSM5628164_M04,1284,0,0,0,0,0,Diagnosis,GSE185991:PT01,sorted_CD34,FALSE
GSE185991,GSM5628174_M24,5071,0,0,0,0,0,Post_treatment,GSE185991:PT07,sorted_CD34,FALSE
GSE185991,GSM5628175_M25,915,0,0,0,0,0,Diagnosis,GSE185991:PT02,sorted_CD34,FALSE
GSE185991,GSM5628181_M31,3289,0,0,0,0,0,Relapse,GSE185991:PT08,sorted_CD34,FALSE
GSE185991,GSM5628186_M39,1344,0,0,0,0,0,Post_treatment,GSE185991:PT08,sorted_CD34,FALSE
GSE185991,GSM5628196_M49,3049,0,0,0,0,0,Relapse,GSE185991:PT15,sorted_CD34,FALSE
GSE201966,GSM6085176_AML01M4_CR,2410,0,0,0,0,0,Post_treatment,GSE201966:AML01M4,whole_MNC,FALSE
GSE227903,5143_R,2103,0,0,0,0,0,Relapse,GSE227903:5143,whole_MNC,FALSE
GSE227903,6323_R,892,0,0,0,0,0,Relapse,GSE227903:6323,whole_MNC,FALSE
GSE239721,PT20A,1002,0,0,0,0,0,Diagnosis,GSE239721:PT20A,whole_MNC,FALSE
GSE239721,PT23A,4451,0,0,0,0,0,Diagnosis,GSE239721:PT23A,whole_MNC,FALSE
