dataset,sample,pathway,score,pair_id,arm,family,short,arm_s
GSE116256,AML556-D31,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,0.0255904050326408,5,TP53-WT,ECM organisation / receptor,"EXTRACELLULAR MATRIX
ORGANIZATION",WT
GSE116256,AML556-D31,KEGG_ECM_RECEPTOR_INTERACTION_UCell,0.0201232299853096,5,TP53-WT,ECM organisation / receptor,"ECM RECEPTOR
INTERACTION",WT
GSE116256,AML556-D31,REACTOME_COLLAGEN_FORMATION_UCell,0.0183766583964807,5,TP53-WT,ECM organisation / receptor,COLLAGEN FORMATION,WT
GSE116256,AML556-D31,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,0.0397767625989613,5,TP53-WT,EMT,"EPITHELIAL
MESENCHYMAL
TRANSITION",WT
GSE116256,AML556-D31,HALLMARK_HYPOXIA_UCell,0.0685592599712113,5,TP53-WT,Hypoxia,HYPOXIA,WT
GSE116256,AML556-D31,HALLMARK_INFLAMMATORY_RESPONSE_UCell,0.0448711496341861,5,TP53-WT,Inflammatory response,INFLAMMATORY RESPONSE,WT
GSE116256,AML556-D31,HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,0.0870616107072402,5,TP53-WT,Inflammatory response,"TNFA SIGNALING VIA
NFKB",WT
GSE116256,AML556-D31,HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,0.0464568968949591,5,TP53-WT,Inflammatory response,"IL6 JAK STAT3
SIGNALING",WT
GSE116256,AML707B-D0,HALLMARK_TGF_BETA_SIGNALING_UCell,0.0463178441109929,1,TP53-WT,TGF-beta signalling,TGF BETA SIGNALING,WT
GSE116256,AML707B-D0,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,0.0636908438803357,1,TP53-WT,TGF-beta signalling,"SIGNALING BY TGFB
FAMILY MEMBERS",WT
GSE116256,AML707B-D0,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,0.0313848799936737,1,TP53-WT,TGF-beta signalling,"TGF BETA SIGNALING
PATHWAY",WT
GSE116256,AML707B-D0,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,0.0199054713594296,1,TP53-WT,ECM organisation / receptor,"EXTRACELLULAR MATRIX
ORGANIZATION",WT
GSE116256,AML707B-D0,KEGG_ECM_RECEPTOR_INTERACTION_UCell,0.0178544454225796,1,TP53-WT,ECM organisation / receptor,"ECM RECEPTOR
INTERACTION",WT
GSE116256,AML707B-D0,REACTOME_COLLAGEN_FORMATION_UCell,0.00982953271016286,1,TP53-WT,ECM organisation / receptor,COLLAGEN FORMATION,WT
GSE116256,AML707B-D0,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,0.0145045026368912,1,TP53-WT,EMT,"EPITHELIAL
MESENCHYMAL
TRANSITION",WT
GSE116256,AML707B-D0,HALLMARK_HYPOXIA_UCell,0.0482814409026151,1,TP53-WT,Hypoxia,HYPOXIA,WT
GSE116256,AML707B-D0,HALLMARK_INFLAMMATORY_RESPONSE_UCell,0.023623570734404,1,TP53-WT,Inflammatory response,INFLAMMATORY RESPONSE,WT
GSE116256,AML707B-D0,HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,0.0372237983289152,1,TP53-WT,Inflammatory response,"TNFA SIGNALING VIA
NFKB",WT
GSE116256,AML707B-D0,HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,0.0376989454894947,1,TP53-WT,Inflammatory response,"IL6 JAK STAT3
SIGNALING",WT
GSE116256,AML707B-D18,HALLMARK_TGF_BETA_SIGNALING_UCell,0.0444960132729656,3,TP53-WT,TGF-beta signalling,TGF BETA SIGNALING,WT
GSE116256,AML707B-D18,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,0.0574658389925693,3,TP53-WT,TGF-beta signalling,"SIGNALING BY TGFB
FAMILY MEMBERS",WT
GSE116256,AML707B-D18,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,0.0309503987285408,3,TP53-WT,TGF-beta signalling,"TGF BETA SIGNALING
PATHWAY",WT
GSE116256,AML707B-D18,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,0.018416458573264,3,TP53-WT,ECM organisation / receptor,"EXTRACELLULAR MATRIX
ORGANIZATION",WT
GSE116256,AML707B-D18,KEGG_ECM_RECEPTOR_INTERACTION_UCell,0.0155229364278757,3,TP53-WT,ECM organisation / receptor,"ECM RECEPTOR
INTERACTION",WT
GSE116256,AML707B-D18,REACTOME_COLLAGEN_FORMATION_UCell,0.00789461128747873,3,TP53-WT,ECM organisation / receptor,COLLAGEN FORMATION,WT
GSE116256,AML707B-D18,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,0.0176602919301631,3,TP53-WT,EMT,"EPITHELIAL
MESENCHYMAL
TRANSITION",WT
GSE116256,AML707B-D18,HALLMARK_HYPOXIA_UCell,0.0458479496898473,3,TP53-WT,Hypoxia,HYPOXIA,WT
GSE116256,AML707B-D18,HALLMARK_INFLAMMATORY_RESPONSE_UCell,0.0359667376909204,3,TP53-WT,Inflammatory response,INFLAMMATORY RESPONSE,WT
GSE116256,AML707B-D18,HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,0.0433240109259525,3,TP53-WT,Inflammatory response,"TNFA SIGNALING VIA
NFKB",WT
GSE116256,AML707B-D18,HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,0.0442832287495147,3,TP53-WT,Inflammatory response,"IL6 JAK STAT3
SIGNALING",WT
