feature,median_p,min_p,frac_p05,frac_p01,n_draws_evaluable,kind,design,mut_def,n_mut_units,n_wt_candidates
LTBP1,0.751953125,0.212890625,0,0,500,gene,A_sample_strict,strict,9,96
LTBP2,0.6328125,0.1796875,0,0,500,gene,A_sample_strict,strict,9,96
LUM,0.890625,0.578125,0,0,500,gene,A_sample_strict,strict,9,96
LYVE1,0.0234375,0.015625,0.64,0,500,gene,A_sample_strict,strict,9,96
MAF,0.08203125,0.001953125,0.308,0.13,500,gene,A_sample_strict,strict,9,96
MGP,0.1015625,0.00390625,0.354,0.024,500,gene,A_sample_strict,strict,9,96
MMP14,0.150390625,0.00390625,0.108,0.006,500,gene,A_sample_strict,strict,9,96
MMP2,0.578125,0.0078125,0.022,0.004,500,gene,A_sample_strict,strict,9,96
MMP9,0.40625,0.15625,0,0,500,gene,A_sample_strict,strict,9,96
MPL,0.125,0.001953125,0.25,0.038,500,gene,A_sample_strict,strict,9,96
MRC1,0.125,0.001953125,0.36,0.09,500,gene,A_sample_strict,strict,9,96
MYH11,0.41015625,0.02734375,0.054,0,500,gene,A_sample_strict,strict,9,96
NDRG1,0.787109375,0.125,0,0,500,gene,A_sample_strict,strict,9,96
NECTIN1,0.787109375,0.064453125,0,0,500,gene,A_sample_strict,strict,9,96
NECTIN2,0.388671875,0.00390625,0.04,0.006,500,gene,A_sample_strict,strict,9,96
NECTIN3,0.875,0.41015625,0,0,500,gene,A_sample_strict,strict,9,96
NECTIN4,0.1796875,0.02734375,0.044,0,500,gene,A_sample_strict,strict,9,96
NES,0.890625,0.6875,0,0,500,gene,A_sample_strict,strict,9,96
NFE2,0.544921875,0.048828125,0.004,0,500,gene,A_sample_strict,strict,9,96
NGFR,0.125,0.01953125,0.202,0,500,gene,A_sample_strict,strict,9,96
NLRP3,0.751953125,0.125,0,0,500,gene,A_sample_strict,strict,9,96
OGN,0.875,0.28515625,0,0,500,gene,A_sample_strict,strict,9,96
OSM,0.064453125,0.001953125,0.466,0.102,500,gene,A_sample_strict,strict,9,96
OSMR,0.1796875,0.0234375,0.036,0,500,gene,A_sample_strict,strict,9,96
PDGFA,0.326171875,0.064453125,0,0,500,gene,A_sample_strict,strict,9,96
PDGFB,0.09765625,0.00390625,0.224,0.034,500,gene,A_sample_strict,strict,9,96
PDGFRA,0.2890625,0.0625,0,0,500,gene,A_sample_strict,strict,9,96
PDGFRB,0.125,0.0078125,0.198,0.002,500,gene,A_sample_strict,strict,9,96
PECAM1,0.58984375,0.1015625,0,0,500,gene,A_sample_strict,strict,9,96
PF4,0.3203125,0.125,0,0,500,gene,A_sample_strict,strict,9,96
PGK1,0.08203125,0.00390625,0.374,0.028,500,gene,A_sample_strict,strict,9,96
PLAC8,0.41015625,0.013671875,0.018,0,500,gene,A_sample_strict,strict,9,96
PLOD1,0.673828125,0.08203125,0,0,500,gene,A_sample_strict,strict,9,96
PLOD2,0.2021484375,0.0078125,0.048,0.01,500,gene,A_sample_strict,strict,9,96
POSTN,0.8125,0.6875,0,0,28,gene,A_sample_strict,strict,9,96
PPBP,0.58984375,0.125,0,0,500,gene,A_sample_strict,strict,9,96
PVR,0.3671875,0.01953125,0.038,0,500,gene,A_sample_strict,strict,9,96
RGS5,0.6328125,0.1015625,0,0,500,gene,A_sample_strict,strict,9,96
RUNX2,0.544921875,0.41015625,0,0,500,gene,A_sample_strict,strict,9,96
S100A12,0.455078125,0.07421875,0,0,500,gene,A_sample_strict,strict,9,96
S100A8,0.544921875,0.064453125,0,0,500,gene,A_sample_strict,strict,9,96
S100A9,0.58984375,0.064453125,0,0,500,gene,A_sample_strict,strict,9,96
SELENOP,0.52734375,0.02734375,0.022,0,500,gene,A_sample_strict,strict,9,96
SELL,0.5,0.150390625,0,0,500,gene,A_sample_strict,strict,9,96
SEPP1,,Inf,,,0,gene,A_sample_strict,strict,9,96
SERPINE1,0.673828125,0.1015625,0,0,500,gene,A_sample_strict,strict,9,96
SERPINH1,0.212890625,0.001953125,0.128,0.03,500,gene,A_sample_strict,strict,9,96
SFRP2,0.9375,0.8125,0,0,41,gene,A_sample_strict,strict,9,96
SFRP4,0.5,0.03125,0.026,0,500,gene,A_sample_strict,strict,9,96
SLC2A1,0.02734375,0.001953125,0.682,0.45,500,gene,A_sample_strict,strict,9,96
SNAI1,0.125,0.001953125,0.29,0.104,500,gene,A_sample_strict,strict,9,96
SNAI2,0.8125,0.5625,0,0,181,gene,A_sample_strict,strict,9,96
SP7,0.1875,0.03125,0.158,0,500,gene,A_sample_strict,strict,9,96
SPARC,0.5,0.037109375,0.01,0,500,gene,A_sample_strict,strict,9,96
SPP1,0.037109375,0.0078125,0.65,0.124,500,gene,A_sample_strict,strict,9,96
STAB1,0.673828125,0.037109375,0.004,0,500,gene,A_sample_strict,strict,9,96
TAGLN,0.58984375,0.048828125,0.002,0,500,gene,A_sample_strict,strict,9,96
TGFB1,0.212890625,0.001953125,0.118,0.038,500,gene,A_sample_strict,strict,9,96
TGFB2,0.875,0.40625,0,0,500,gene,A_sample_strict,strict,9,96
TGFB3,0.064453125,0.00390625,0.418,0.036,500,gene,A_sample_strict,strict,9,96
TGFBR1,0.58984375,0.125,0,0,500,gene,A_sample_strict,strict,9,96
TGFBR2,0.1796875,0.013671875,0.074,0,500,gene,A_sample_strict,strict,9,96
TIGIT,0.279296875,0.00390625,0.048,0.006,500,gene,A_sample_strict,strict,9,96
