dataset,sample,n_cells_total,n_mono_dc,n_macrophage_like,n_monocyte_like,mac_score_p50,mac_score_p90,n_mac_markers_present,timepoint,uid_patient,mac_node_usable
GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2,2663,324,3,318,0,0.135739730227063,10,Diagnosis,GSE185381:AML1371_AML4340b,FALSE
GSE185991,GSM5628175_M25,915,71,3,64,0,0.187655600588813,10,Diagnosis,GSE185991:PT02,FALSE
GSE185991,GSM5628186_M39,1344,103,3,98,0,0.155634601582202,10,Post_treatment,GSE185991:PT08,FALSE
GSE185991,GSM5628190_M43,523,133,3,130,0,0.230380736268739,10,Post_treatment,GSE185991:PT01_PT10,FALSE
GSE201966,GSM6085178_AML01M4_RE,7144,1980,3,1976,0,0.346688515369995,9,Relapse,GSE201966:AML01M4,FALSE
GSE227903,5750_R,5132,577,3,535,0,0,10,Relapse,GSE227903:5750,FALSE
GSE239721,PT21A,3473,493,3,484,0,0.0763557375489896,10,Diagnosis,GSE239721:PT21A,FALSE
Chen2023,AML162_niche_immune,2358,85,2,83,0,0,9,Diagnosis,Chen2023:AML162,FALSE
Chen2023,NBM2_CD34,2641,1421,2,1418,0.0620062194693336,0.205920976493482,9,Healthy,Chen2023:NBM2,FALSE
E-MTAB-11536,A29-BMA,1199,109,2,106,0.141129327037799,0.540419273709638,10,Healthy,E-MTAB-11536:A29,FALSE
GSE116256,AML328-D29,1250,16,2,14,0.154982776076534,0.687817090894952,10,Post_treatment,GSE116256:AML328,FALSE
GSE116256,AML329-D20,605,357,2,342,0,0.236366815762279,10,Post_treatment,GSE116256:AML329,FALSE
GSE116256,AML419A-D0,908,566,2,561,0.228742692010043,0.430735093886866,10,Diagnosis,GSE116256:AML419A,FALSE
GSE116256,AML916-D0,658,17,2,6,0,0.165756054524831,10,Diagnosis,GSE116256:AML916,FALSE
GSE185381,GSM5613746_2019-07-01-count-3,8497,2199,2,2188,0,0.152898848157906,10,Diagnosis,GSE185381:AML3762,FALSE
