dataset,sample,target,source,strength,n_lr,pair_id,arm,total,rel
GSE116256,AML556-D31,LMPP_GMP,Erythroid,0.105296550293032,1,5,TP53-WT,2.6367459235625,0.0399342801109808
GSE116256,AML556-D31,LMPP_GMP,LMPP_GMP,0.0825340867557024,1,5,TP53-WT,2.6367459235625,0.0313014940188818
GSE116256,AML556-D31,LMPP_GMP,Megakaryocyte,0.147426697142189,3,5,TP53-WT,2.6367459235625,0.0559123637301393
GSE116256,AML556-D31,LMPP_GMP,Mono_DC,0.046954757513428,4,5,TP53-WT,2.6367459235625,0.0178078430287237
GSE116256,AML556-D31,LMPP_GMP,T_NK,0.00870222404892987,1,5,TP53-WT,2.6367459235625,0.00330036503372017
GSE116256,AML556-D31,Megakaryocyte,B_Plasma,0,0,5,TP53-WT,2.6367459235625,0
GSE116256,AML556-D31,Megakaryocyte,Erythroid,0,0,5,TP53-WT,2.6367459235625,0
GSE116256,AML556-D31,Megakaryocyte,LMPP_GMP,0.0433363110053077,1,5,TP53-WT,2.6367459235625,0.0164355278292253
GSE116256,AML556-D31,Megakaryocyte,Megakaryocyte,0.230403337276185,4,5,TP53-WT,2.6367459235625,0.0873816984857183
GSE116256,AML556-D31,Megakaryocyte,Mono_DC,0.128724329953877,4,5,TP53-WT,2.6367459235625,0.0488193909028438
GSE116256,AML556-D31,Megakaryocyte,T_NK,0.045295571793275,1,5,TP53-WT,2.6367459235625,0.0171785879665176
GSE116256,AML556-D31,Mono_DC,B_Plasma,0.119722435680321,2,5,TP53-WT,2.6367459235625,0.0454053743329827
GSE116256,AML556-D31,Mono_DC,Erythroid,0.167171040748349,2,5,TP53-WT,2.6367459235625,0.0634005116892281
GSE116256,AML556-D31,Mono_DC,LMPP_GMP,0.136307784755488,3,5,TP53-WT,2.6367459235625,0.0516954567132974
GSE116256,AML556-D31,Mono_DC,Megakaryocyte,0.136315516250067,4,5,TP53-WT,2.6367459235625,0.0516983889239855
GSE116256,AML556-D31,Mono_DC,Mono_DC,0.0737179567318133,5,5,TP53-WT,2.6367459235625,0.0279579295346793
GSE116256,AML556-D31,Mono_DC,T_NK,0.00955877714605356,1,5,TP53-WT,2.6367459235625,0.00362521737898004
GSE116256,AML556-D31,T_NK,B_Plasma,0.0435034006892112,1,5,TP53-WT,2.6367459235625,0.0164988974858957
GSE116256,AML556-D31,T_NK,Erythroid,0.0958869247716686,4,5,TP53-WT,2.6367459235625,0.0363656292837332
GSE116256,AML556-D31,T_NK,LMPP_GMP,0.0860412559297797,5,5,TP53-WT,2.6367459235625,0.0326316066940305
GSE116256,AML556-D31,T_NK,Megakaryocyte,0.149139468289508,5,5,TP53-WT,2.6367459235625,0.0565619413523189
GSE116256,AML556-D31,T_NK,Mono_DC,0.104637228745239,6,5,TP53-WT,2.6367459235625,0.0396842288861355
GSE116256,AML556-D31,T_NK,T_NK,0.150117747489132,5,5,TP53-WT,2.6367459235625,0.0569329589732744
GSE116256,AML707B-D18,B_Plasma,B_Plasma,0.294338233640153,4,3,TP53-WT,0.639327641822144,0.460387154231688
GSE116256,AML707B-D18,B_Plasma,LMPP_GMP,0.187165716818155,4,3,TP53-WT,0.639327641822144,0.292753988056444
GSE116256,AML707B-D18,B_Plasma,T_NK,0.0895319487542668,2,3,TP53-WT,0.639327641822144,0.140040791133467
GSE116256,AML707B-D18,LMPP_GMP,B_Plasma,0.0266741892275285,2,3,TP53-WT,0.639327641822144,0.0417222523829949
GSE116256,AML707B-D18,LMPP_GMP,LMPP_GMP,0.0416175533820411,2,3,TP53-WT,0.639327641822144,0.0650958141954055
GSE116256,AML707B-D18,LMPP_GMP,T_NK,0,0,3,TP53-WT,0.639327641822144,0
GSE116256,AML707B-D18,T_NK,B_Plasma,0,0,3,TP53-WT,0.639327641822144,0
GSE116256,AML707B-D18,T_NK,LMPP_GMP,0,0,3,TP53-WT,0.639327641822144,0
GSE116256,AML707B-D18,T_NK,T_NK,0,0,3,TP53-WT,0.639327641822144,0
GSE116256,AML916-D0,B_Plasma,B_Plasma,0,0,2,TP53-mut,2.72274653618651,0
GSE116256,AML916-D0,B_Plasma,Erythroid,0.132312243842087,1,2,TP53-mut,2.72274653618651,0.0485951380650378
GSE116256,AML916-D0,B_Plasma,HSC_MPP,0,0,2,TP53-mut,2.72274653618651,0
GSE116256,AML916-D0,B_Plasma,LMPP_GMP,0.148492972807978,1,2,TP53-mut,2.72274653618651,0.0545379347046963
GSE116256,AML916-D0,B_Plasma,Mono_DC,0,0,2,TP53-mut,2.72274653618651,0
GSE116256,AML916-D0,B_Plasma,T_NK,0.0190107961576607,1,2,TP53-mut,2.72274653618651,0.00698221296216844
GSE116256,AML916-D0,Erythroid,B_Plasma,0,0,2,TP53-mut,2.72274653618651,0
GSE116256,AML916-D0,Erythroid,Erythroid,0.126774550669636,1,2,TP53-mut,2.72274653618651,0.046561275162688
GSE116256,AML916-D0,Erythroid,HSC_MPP,0,0,2,TP53-mut,2.72274653618651,0
GSE116256,AML916-D0,Erythroid,LMPP_GMP,0.179752227303095,2,2,TP53-mut,2.72274653618651,0.0660187148947241
GSE116256,AML916-D0,Erythroid,Mono_DC,0,0,2,TP53-mut,2.72274653618651,0
GSE116256,AML916-D0,Erythroid,T_NK,0.0296081969080826,1,2,TP53-mut,2.72274653618651,0.0108743860343137
GSE116256,AML916-D0,HSC_MPP,B_Plasma,0,0,2,TP53-mut,2.72274653618651,0
GSE116256,AML916-D0,HSC_MPP,Erythroid,0,0,2,TP53-mut,2.72274653618651,0
GSE116256,AML916-D0,HSC_MPP,HSC_MPP,0.00613024253782301,1,2,TP53-mut,2.72274653618651,0.00225149218127702
GSE116256,AML916-D0,HSC_MPP,LMPP_GMP,0.178633103816429,3,2,TP53-mut,2.72274653618651,0.0656076874737754
GSE116256,AML916-D0,HSC_MPP,Mono_DC,0,0,2,TP53-mut,2.72274653618651,0
GSE116256,AML916-D0,HSC_MPP,T_NK,0.0292552733840376,1,2,TP53-mut,2.72274653618651,0.0107447656236899
GSE116256,AML916-D0,LMPP_GMP,B_Plasma,0,0,2,TP53-mut,2.72274653618651,0
GSE116256,AML916-D0,LMPP_GMP,Erythroid,0.0373630308902997,1,2,TP53-mut,2.72274653618651,0.0137225519870206
GSE116256,AML916-D0,LMPP_GMP,HSC_MPP,0.0415810722852165,2,2,TP53-mut,2.72274653618651,0.0152717381998601
GSE116256,AML916-D0,LMPP_GMP,LMPP_GMP,0.3718640410482,4,2,TP53-mut,2.72274653618651,0.136576811725205
GSE116256,AML916-D0,LMPP_GMP,Mono_DC,0,0,2,TP53-mut,2.72274653618651,0
GSE116256,AML916-D0,LMPP_GMP,T_NK,0.102171580802777,2,2,TP53-mut,2.72274653618651,0.0375251898936867
GSE116256,AML916-D0,Mono_DC,B_Plasma,0,0,2,TP53-mut,2.72274653618651,0
GSE116256,AML916-D0,Mono_DC,Erythroid,0.153539660885703,1,2,TP53-mut,2.72274653618651,0.0563914631219221
GSE116256,AML916-D0,Mono_DC,HSC_MPP,0.141422412875706,1,2,TP53-mut,2.72274653618651,0.0519410863244665
GSE116256,AML916-D0,Mono_DC,LMPP_GMP,0.171802335892435,1,2,TP53-mut,2.72274653618651,0.0630989089910155
GSE116256,AML916-D0,Mono_DC,Mono_DC,0,0,2,TP53-mut,2.72274653618651,0
GSE116256,AML916-D0,Mono_DC,T_NK,0,0,2,TP53-mut,2.72274653618651,0
GSE116256,AML916-D0,T_NK,B_Plasma,0.0190107961576607,1,2,TP53-mut,2.72274653618651,0.00698221296216844
GSE116256,AML916-D0,T_NK,Erythroid,0.173914718674997,2,2,TP53-mut,2.72274653618651,0.0638747369112743
GSE116256,AML916-D0,T_NK,HSC_MPP,0.162058896687552,2,2,TP53-mut,2.72274653618651,0.0595203756698308
GSE116256,AML916-D0,T_NK,LMPP_GMP,0.407979931327479,4,2,TP53-mut,2.72274653618651,0.149841318648374
GSE116256,AML916-D0,T_NK,Mono_DC,0,0,2,TP53-mut,2.72274653618651,0
GSE116256,AML916-D0,T_NK,T_NK,0.0900684512316583,2,2,TP53-mut,2.72274653618651,0.0330799984628053
GSE227903,1216_R,B_Plasma,B_Plasma,0.10428795842401,2,8,TP53-WT,7.85249012605633,0.0132808773713652
GSE227903,1216_R,B_Plasma,Erythroid,0.112634940659832,2,8,TP53-WT,7.85249012605633,0.0143438500210377
GSE227903,1216_R,B_Plasma,HSC_MPP,0.281175223925413,5,8,TP53-WT,7.85249012605633,0.0358071413541051
GSE227903,1216_R,B_Plasma,LMPP_GMP,0.280021255371906,3,8,TP53-WT,7.85249012605633,0.0356601856069494
GSE227903,1216_R,B_Plasma,Mono_DC,0.29699936313768,7,8,TP53-WT,7.85249012605633,0.0378223160258642
GSE227903,1216_R,B_Plasma,T_NK,0.115335591788901,2,8,TP53-WT,7.85249012605633,0.0146877729150135
GSE227903,1216_R,Erythroid,B_Plasma,0,0,8,TP53-WT,7.85249012605633,0
GSE227903,1216_R,Erythroid,Erythroid,0.140511034058435,1,8,TP53-WT,7.85249012605633,0.0178938186234947
GSE227903,1216_R,Erythroid,HSC_MPP,0.193423089864698,6,8,TP53-WT,7.85249012605633,0.0246320704336675
GSE227903,1216_R,Erythroid,LMPP_GMP,0.142211548434368,1,8,TP53-WT,7.85249012605633,0.0181103759637313
GSE227903,1216_R,Erythroid,Mono_DC,0.0347029090195535,4,8,TP53-WT,7.85249012605633,0.00441935086354345
GSE227903,1216_R,Erythroid,T_NK,0,0,8,TP53-WT,7.85249012605633,0
GSE227903,1216_R,HSC_MPP,B_Plasma,0.0375995880673154,3,8,TP53-WT,7.85249012605633,0.00478823754805517
GSE227903,1216_R,HSC_MPP,Erythroid,0.289672532570769,5,8,TP53-WT,7.85249012605633,0.0368892577921965
GSE227903,1216_R,HSC_MPP,HSC_MPP,0.390206851887482,13,8,TP53-WT,7.85249012605633,0.0496921162107149
GSE227903,1216_R,HSC_MPP,LMPP_GMP,0.373915446235326,9,8,TP53-WT,7.85249012605633,0.0476174360276609
GSE227903,1216_R,HSC_MPP,Mono_DC,0.320491523642,12,8,TP53-WT,7.85249012605633,0.0408139989350049
GSE227903,1216_R,HSC_MPP,T_NK,0.119454966208242,4,8,TP53-WT,7.85249012605633,0.0152123675790262
GSE227903,1216_R,LMPP_GMP,B_Plasma,0.0598638682120894,1,8,TP53-WT,7.85249012605633,0.00762355217912947
GSE227903,1216_R,LMPP_GMP,Erythroid,0.142211548434368,1,8,TP53-WT,7.85249012605633,0.0181103759637313
GSE227903,1216_R,LMPP_GMP,HSC_MPP,0.252602299356272,9,8,TP53-WT,7.85249012605633,0.0321684325992441
GSE227903,1216_R,LMPP_GMP,LMPP_GMP,0.170744305964597,4,8,TP53-WT,7.85249012605633,0.0217439695209586
GSE227903,1216_R,LMPP_GMP,Mono_DC,0.143997957187699,8,8,TP53-WT,7.85249012605633,0.0183378717930356
GSE227903,1216_R,LMPP_GMP,T_NK,0,0,8,TP53-WT,7.85249012605633,0
GSE227903,1216_R,Mono_DC,B_Plasma,0.271545623450438,4,8,TP53-WT,7.85249012605633,0.0345808296592935
GSE227903,1216_R,Mono_DC,Erythroid,0.229501642628314,3,8,TP53-WT,7.85249012605633,0.0292266069672315
GSE227903,1216_R,Mono_DC,HSC_MPP,0.369098568458284,9,8,TP53-WT,7.85249012605633,0.0470040156094603
GSE227903,1216_R,Mono_DC,LMPP_GMP,0.351271540069071,6,8,TP53-WT,7.85249012605633,0.0447337767294318
GSE227903,1216_R,Mono_DC,Mono_DC,0.453647430958239,13,8,TP53-WT,7.85249012605633,0.0577711558595833
