group,n_cells,HALLMARK_TGF_BETA_SIGNALING_UCell,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,KEGG_ECM_RECEPTOR_INTERACTION_UCell,REACTOME_COLLAGEN_FORMATION_UCell,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,HALLMARK_HYPOXIA_UCell,HALLMARK_INFLAMMATORY_RESPONSE_UCell,HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,HALLMARK_ANGIOGENESIS_UCell,HALLMARK_COAGULATION_UCell,HALLMARK_P53_PATHWAY_UCell,dataset,sample,unit,timepoint,uid_patient,study
HSC_MPP,71,0.0848183485621014,0.0833751474746078,0.037662751511263,0.0209823827252015,0.0159846442865311,0.0101473437085598,0.0332564195462162,0.066258799671915,0.0375069315500002,0.084451086655697,0.0491422785163679,0.0222868693014577,0.0201835910987405,0.0747472437339291,GSE185381,GSM5613789_2021-03-09-Z-1-2,bin,Diagnosis,GSE185381:AML0114b,Lasry 2023 Nat Cancer
T_NK,378,0.0711417465740549,0.0675334089677582,0.0376480039178927,0.0189573706495946,0.0115283455355333,0.0087499840851508,0.0283175964204903,0.0671599125538033,0.0425610195251138,0.0955623607070552,0.0500951233966423,0.022398851958795,0.0157926359264697,0.076818742899486,GSE185381,GSM5613789_2021-03-09-Z-1-2,bin,Diagnosis,GSE185381:AML0114b,Lasry 2023 Nat Cancer
B_Plasma,118,0.0654192738391754,0.0659031947356055,0.0331777641472632,0.0146570466141424,0.00815350037447895,0.00885821584937712,0.0244683331213932,0.0579975747997166,0.0440968021266675,0.0923841293197934,0.0463154673594475,0.0147632158835303,0.0136356541366282,0.0729276194282462,GSE185381,GSM5613789_2021-03-09-Z-1-2,bin,Diagnosis,GSE185381:AML0114b,Lasry 2023 Nat Cancer
LMPP_GMP,120,0.0716394705401497,0.0769490185693421,0.0321545424547005,0.0232110493021481,0.0186139698875548,0.0114743197993456,0.0279497886149815,0.0598376652375848,0.0298895587709896,0.0551957097773014,0.0418801116268789,0.0270001312483594,0.0202733284703332,0.0689463052280576,GSE185381,GSM5613789_2021-03-09-Z-1-2,bin,Diagnosis,GSE185381:AML0114b,Lasry 2023 Nat Cancer
unassigned,93,0.067404946250082,0.0768455571449798,0.0338455709018226,0.0206526167916593,0.016665876221567,0.00962468473197135,0.0234457774858148,0.058234776629134,0.030108698575144,0.0645458055296247,0.0420002264760329,0.0251603709792337,0.0175968924731728,0.0704966059306895,GSE185381,GSM5613789_2021-03-09-Z-1-2,bin,Diagnosis,GSE185381:AML0114b,Lasry 2023 Nat Cancer
Erythroid,101,0.0687998964016379,0.0799512133793186,0.0351888313157711,0.0212315480987979,0.0242387041938695,0.00822862623147842,0.0239106611625793,0.0616985910809731,0.0311644363793293,0.0629670073116636,0.0432685273074485,0.0247028162147973,0.0176112477743223,0.0731281681222785,GSE185381,GSM5613789_2021-03-09-Z-1-2,bin,Diagnosis,GSE185381:AML0114b,Lasry 2023 Nat Cancer
Mono_DC,72,0.112067604295486,0.0850154671565188,0.0457777041525515,0.0405899860690715,0.0207982792888453,0.0274266431551295,0.0582981769282681,0.0928272250009924,0.0879254991862173,0.155210119685602,0.0805614105721864,0.0711379128594226,0.0481604815383291,0.100823185860029,GSE185381,GSM5613789_2021-03-09-Z-1-2,bin,Diagnosis,GSE185381:AML0114b,Lasry 2023 Nat Cancer
Megakaryocyte,17,0.079693805460309,0.0886618090567415,0.0502528173389443,0.0283594065518413,0.0433311231868391,0.012500084255084,0.03700439232499,0.0704904062375218,0.0384061534581678,0.0757047685097619,0.0590273907971677,0.0472317625441447,0.0346965526632822,0.0814308681672026,GSE185381,GSM5613789_2021-03-09-Z-1-2,bin,Diagnosis,GSE185381:AML0114b,Lasry 2023 Nat Cancer
T_NK,466,0.0806383199218221,0.0758046395454885,0.0415833585942973,0.0216364355064838,0.0128187202707407,0.0103625339805937,0.0333352576870648,0.0781434701541169,0.0478699435880687,0.108438831618282,0.0569089659292412,0.0247801087035769,0.0182422239338093,0.0860032898015386,GSE185381,GSM5613790_2021-03-09-Z-1-3,bin,Diagnosis,GSE185381:AML0114c,Lasry 2023 Nat Cancer
HSC_MPP,203,0.0867876030454334,0.0854238605338139,0.0377985090754026,0.0215715443149589,0.0173536179717052,0.00983232867515889,0.0330619221854392,0.0653813026115943,0.0373664679679759,0.0776605649097056,0.0464598729366438,0.0222609132410475,0.0201773083598511,0.073377314558155,GSE185381,GSM5613790_2021-03-09-Z-1-3,bin,Diagnosis,GSE185381:AML0114c,Lasry 2023 Nat Cancer
