dataset,sample,status,n_genes_used,tp53_in_universe,n_subclone_obs,n_subclone_ref,n_cells_grouped,n_cells_consensus,icnv_labelled_frac,cons_covered_frac,frac_genes_nonneutral
GSE185381,GSM5613775_2020-08-26-Control4003-c2,ok,3450,FALSE,30,27,2197,2197,1,1,0.176483456385015
GSE185381,GSM5613776_2020-08-26-Control4003-c3,ok,3156,FALSE,26,24,1952,1952,1,1,0.227555978031263
GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1,ok,5745,TRUE,12,39,2617,2617,1,1,0.0623150565709313
GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2,ok,5092,FALSE,12,39,2663,2663,1,1,0.053882633615548
GSE185381,GSM5613779_2020-09-15-AML0024,ok,6055,TRUE,116,0,8520,4920,0.577464788732394,1,0.209800165152766
GSE185381,GSM5613780_2020-10-06-AML4897,ok,4583,FALSE,16,40,2439,2439,1,1,0.0804901513498503
GSE185381,GSM5613781_2020-10-06-count2,ok,4041,TRUE,33,27,3817,3817,1,1,0.150858869006477
GSE185381,GSM5613782_2020-10-06-count4_0.95,ok,3325,FALSE,32,32,2555,2555,1,1,0.16998703655691
GSE185381,GSM5613784_2021-03-09-AML0693,ok,4774,FALSE,21,28,2897,2897,1,1,0.144275812164375
GSE185381,GSM5613785_2021-03-09-AML3948,ok,4659,FALSE,77,13,6754,6754,1,1,0.190491521785791
GSE185381,GSM5613786_2021-03-09-AMLMS3730,ok,6587,TRUE,49,8,4680,4680,1,1,0.204824930648523
GSE185381,GSM5613787_2021-03-09-count1_0.95,ok,4397,TRUE,26,24,2430,2430,1,1,0.122049618811245
GSE185381,GSM5613788_2021-03-09-Z-1-1,ok,3917,FALSE,12,14,825,825,1,1,0.107857082072043
GSE185381,GSM5613789_2021-03-09-Z-1-2,ok,3933,FALSE,18,15,970,970,1,1,0.174947029409272
GSE185381,GSM5613790_2021-03-09-Z-1-3,ok,6118,TRUE,22,16,1670,1670,1,1,0.0793151356652501
GSE185381,GSM5613791_2019-10-21-1-Control0004,ok,2816,FALSE,4,133,12032,12032,1,1,0.109172858391608
GSE185381,GSM5613793_2020-03-18-82,ok,2419,FALSE,3,31,1106,1106,1,1,0.156989921740246
GSE185381,GSM5613795_2020-05-22-5prime_2,ok,2579,FALSE,1,40,1347,1347,1,1,0.13877267810861
GSE185381,GSM5613796_2020-08-07-MDS-AML_cDNA1,ok,3225,FALSE,1,37,1416,1416,1,1,0.0608440999138674
GSE185381,GSM5613797_2020-08-07-MDS-AML_cDNA2,ok,3821,FALSE,1,30,1078,1078,1,1,0.109692845756703
GSE185381,GSM5613800_2021-04-29-0102_cDNA,ok,5586,FALSE,1,32,1479,1479,1,1,0.0813129763183469
GSE185381,GSM5613801_2021-04-29-0134_cDNA,ok,4643,FALSE,1,32,1435,1435,1,1,0.0786437340389527
GSE185381,GSM5613804_2021-04-29-2910_cDNA,ok,2456,FALSE,1,49,2197,2197,1,1,0.190426506514658
GSE185381,GSM5613805_2021-04-29-2975_cDNA,ok,5248,FALSE,1,24,786,786,1,1,0.0733340592334495
GSE185381,GSM5613806_2021-04-29-3948_cDNA,missing:HMM_CNV_predictions.HMMi6.leiden.hmm_mode-subclusters.Pnorm_0.5.pred_cnv_genes.dat,,,,,,,,,
GSE201966,GSM6085180_AML02M5_RE,ok,5975,TRUE,145,0,13510,9910,0.733530717986677,1,0.116789185709688
GSE201966,GSM6085181_AML03M5_P,ok,2710,FALSE,99,6,7231,7231,1,1,0.280629097553111
GSE201966,GSM6085182_AML03M5_RE,ok,3200,TRUE,18,44,2792,2844,1,0.981715893108298,0.104389880952381
GSE207356,GSM6284913_TS173_05_Sample_E,ok,5867,FALSE,53,16,6089,6089,1,1,0.151336098327747
GSE207356,GSM6284914_TS173_06_Sample_F,ok,6913,TRUE,59,17,7462,7462,1,1,0.118887262701985
GSE227903,1886_Dg,ok,6767,TRUE,43,3,3270,3270,1,1,0.101794657077648
GSE227903,1886_MRD,ok,7480,TRUE,35,12,2844,2844,1,1,0.217503819709702
GSE227903,1886_R,ok,9821,TRUE,25,4,1743,1743,1,1,0.148449844814777
