dataset,sample,timepoint,symbol_in_ref,n_cells,n_nonzero,pct_nonzero
GSE201966,GSM6085179_AML02M5_P,Diagnosis,PVRL4,2719,15,0.55167340934167
GSE253355,GSM8019223_H41,Healthy,NECTIN4,6710,36,0.536512667660209
GSE185991,GSM5628191_M44,Post_treatment,NECTIN4,600,3,0.5
GSE185381,GSM5613749_2019-08-01-count-3,Healthy,NECTIN4,4455,22,0.493827160493827
GSE185381,GSM5613784_2021-03-09-AML0693,Diagnosis,NECTIN4,2897,14,0.483258543320677
GSE227903,5750_Dg,Diagnosis,NECTIN4,4202,20,0.475963826749167
Petti2019,782328,Diagnosis,NECTIN4/PVRL4,15148,72,0.4753102719831
GSE227903,3904_Dg,Diagnosis,NECTIN4,3265,15,0.459418070444104
GSE185381,GSM5613767_2020-03-18-AML0048-c2,Diagnosis,NECTIN4,2004,9,0.449101796407186
GSE185381,GSM5613756_2019-10-25-count-5,Unknown,NECTIN4,4914,22,0.447700447700448
GSE185381,GSM5613748_2019-08-01-count-2,Healthy,NECTIN4,5206,23,0.441797925470611
GSE116256,AML419A-D0,Diagnosis,NECTIN4,908,4,0.440528634361234
GSE185381,GSM5613750_2019-08-01-count-4,Healthy,NECTIN4,4557,20,0.43888523151196
GSE227903,1216_Dg,Diagnosis,NECTIN4,2299,10,0.434971726837756
GSE201966,GSM6085181_AML03M5_P,Diagnosis,PVRL4,7231,30,0.414880376158208
Chen2023,AML304_CD34,Diagnosis,PVRL4,2668,11,0.412293853073463
GSE185991,GSM5628190_M43,Post_treatment,NECTIN4,523,2,0.382409177820268
GSE227903,1216_MRD,MRD,NECTIN4,1832,7,0.382096069868996
GSE185381,GSM5613744_2019-07-01-count-1,Diagnosis,NECTIN4,7592,28,0.368809272918862
GSE185381,GSM5613758_2019-11-04-count-2,Healthy,NECTIN4,2995,11,0.367278797996661
GSE116256,AML210A-D0,Diagnosis,NECTIN4,595,2,0.336134453781513
GSE185381,GSM5613745_2019-07-01-count-2,Diagnosis,NECTIN4,8352,28,0.335249042145594
GSE227903,6323_Dg,Diagnosis,NECTIN4,604,2,0.33112582781457
GSE239721,PT28A,Diagnosis,NECTIN4,7712,25,0.324170124481328
GSE116256,AML328-D29,Post_treatment,NECTIN4,1250,4,0.32
GSE239721,PT14A,Diagnosis,NECTIN4,636,2,0.314465408805031
GSE227903,40389_R,Relapse,NECTIN4,5471,17,0.310729299945165
GSE116256,AML916-D0,Diagnosis,NECTIN4,658,2,0.303951367781155
GSE185991,GSM6412452_M89,Post_treatment,NECTIN4,3310,10,0.302114803625378
GSE253355,GSM8019216_H32,Healthy,NECTIN4,3689,11,0.29818378964489
GSE227903,40389_Dg,Diagnosis,NECTIN4,3114,9,0.289017341040462
GSE227903,40389_MRD,MRD,NECTIN4,3806,11,0.289017341040462
GSE185381,GSM5613746_2019-07-01-count-3,Diagnosis,NECTIN4,8497,24,0.28245263034012
GSE227903,1886_MRD,MRD,NECTIN4,2844,8,0.281293952180028
GSE185381,GSM5613782_2020-10-06-count4_0.95,Diagnosis,NECTIN4,2555,7,0.273972602739726
GSE116256,AML556-D31,Post_treatment,NECTIN4,1104,3,0.271739130434783
GSE207356,GSM6284914_TS173_06_Sample_F,Post_treatment,NECTIN4,7462,20,0.268024658268561
GSE289435,GSM8791439_MLL_28855,Diagnosis,NECTIN4,4892,12,0.245298446443173
GSE116256,AML921A-D0,Diagnosis,NECTIN4,2909,7,0.240632519766243
GSE253355,GSM8019213_H21,Healthy,NECTIN4,6785,16,0.23581429624171
GSE227903,6323_R,Relapse,NECTIN4,892,2,0.224215246636771
GSE185991,GSM5628175_M25,Diagnosis,NECTIN4,915,2,0.218579234972678
GSE116256,AML1012-D0,Diagnosis,NECTIN4,931,2,0.214822771213749
GSE116256,AML556-D15,Post_treatment,NECTIN4,935,2,0.213903743315508
Chen2023,AML162_niche_immune,Diagnosis,PVRL4,2358,5,0.212044105173876
GSE185381,GSM5613752_2019-08-29-count-2,Healthy,NECTIN4,4763,10,0.209951711106446
GSE289435,GSM8791438_MLL_28830,Diagnosis,NECTIN4,5502,11,0.19992729916394
GSE116256,AML371-D0,Diagnosis,NECTIN4,514,1,0.194552529182879
GSE185991,GSM6412448_M38,Post_treatment,NECTIN4,5672,11,0.193935119887165
GSE253355,GSM8019212_H14_MACS,Healthy,NECTIN4,4958,9,0.18152480839048
E-MTAB-11536,A36-BMA,Healthy,NECTIN4,1102,2,0.181488203266788
GSE185381,GSM5613790_2021-03-09-Z-1-3,Diagnosis,NECTIN4,1670,3,0.179640718562874
GSE239721,PT32A,Diagnosis,NECTIN4,1725,3,0.173913043478261
GSE185381,GSM5613786_2021-03-09-AMLMS3730,Diagnosis,NECTIN4,4680,8,0.170940170940171
GSE227903,6323_MRD,MRD,NECTIN4,10615,18,0.169571361281206
GSE116256,AML328-D0,Diagnosis,NECTIN4,597,1,0.16750418760469
Petti2019,721214,Diagnosis,NECTIN4/PVRL4,13149,22,0.167313103658073
GSE116256,AML329-D20,Post_treatment,NECTIN4,605,1,0.165289256198347
GSE116256,AML707B-D0,Diagnosis,NECTIN4,1215,2,0.164609053497942
GSE207356,GSM6284913_TS173_05_Sample_E,Post_treatment,NECTIN4,6089,10,0.164230579733946
GSE239721,PT30A,Diagnosis,NECTIN4,612,1,0.163398692810458
GSE227903,3853_Dg,Diagnosis,NECTIN4,1334,2,0.149925037481259
GSE185381,GSM5613757_2019-11-04-count-1,Healthy,NECTIN4,4225,6,0.142011834319527
GSE201966,GSM6085182_AML03M5_RE,Relapse,PVRL4,2844,4,0.140646976090014
GSE185991,GSM6412450_M85,Post_treatment,NECTIN4,6412,9,0.140361821584529
GSE239721,PT23A,Diagnosis,NECTIN4,4451,6,0.134801168276792
GSE227903,3904_R,Relapse,NECTIN4,9837,13,0.132154112026024
GSE185991,GSM5628176_M26,Post_treatment,NECTIN4,1540,2,0.12987012987013
GSE185381,GSM5613805_2021-04-29-2975_cDNA,Diagnosis,NECTIN4,786,1,0.127226463104326
GSE253355,GSM8019217_H33,Healthy,NECTIN4,5636,7,0.124201561391058
GSE185381,GSM5613787_2021-03-09-count1_0.95,Unknown,NECTIN4,2430,3,0.123456790123457
GSE185991,GSM5628183_M33,Diagnosis,NECTIN4,2439,3,0.1230012300123
GSE227903,5750_R,Relapse,NECTIN4,5132,6,0.116913484021824
GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1,Diagnosis,NECTIN4,2617,3,0.11463507833397
Chen2023,NBM2_CD34,Healthy,PVRL4,2641,3,0.11359333585763
GSE185381,GSM5613759_2019-11-04-count-3,Healthy,NECTIN4,3522,4,0.113571834185122
GSE253355,GSM8019222_H39,Healthy,NECTIN4,7253,8,0.110299186543499
GSE116256,AML420B-D14,Post_treatment,NECTIN4,938,1,0.106609808102345
GSE185381,GSM5613751_2019-08-29-count-1,Unknown,NECTIN4,4744,5,0.10539629005059
GSE116256,AML328-D171,Post_treatment,NECTIN4,961,1,0.104058272632674
GSE185381,GSM5613789_2021-03-09-Z-1-2,Diagnosis,NECTIN4,970,1,0.103092783505155
GSE185381,GSM5613776_2020-08-26-Control4003-c3,Healthy,NECTIN4,1952,2,0.102459016393443
GSE185381,GSM5613779_2020-09-15-AML0024,Diagnosis,NECTIN4,4920,5,0.101626016260163
Chen2023,NBM1_CD34,Healthy,PVRL4,8364,8,0.0956480153036825
GSE185381,GSM5613762_2019-11-26-count-1,Diagnosis,NECTIN4,8406,8,0.0951701165833928
GSE227903,5143_R,Relapse,NECTIN4,2103,2,0.0951022349025202
GSE289435,GSM8791444_MLL_30886,Diagnosis,NECTIN4,11881,11,0.0925847992593216
GSE185991,GSM5628181_M31,Relapse,NECTIN4,3289,3,0.0912131346913956
GSE185381,GSM5613769_2020-03-18-count-1,Unknown,NECTIN4,5573,5,0.0897182845863987
GSE239721,PT21A,Diagnosis,NECTIN4,3473,3,0.0863806507342355
E-MTAB-11536,A29-BMA,Healthy,NECTIN4,1199,1,0.0834028356964137
GSE239721,PT17A,Diagnosis,NECTIN4,2475,2,0.0808080808080808
GSE207356,GSM6284912_TS173_04_Sample_D,Diagnosis,NECTIN4,9924,8,0.0806126561870214
GSE253355,GSM8019221_H38,Healthy,NECTIN4,6294,5,0.0794407372100413
E-MTAB-11536,A35-BLD,Healthy,NECTIN4,1266,1,0.0789889415481833
GSE185991,GSM6412449_M84,Diagnosis,NECTIN4,6373,5,0.0784559861917464
GSE253355,GSM8019215_H24,Healthy,NECTIN4,3977,3,0.0754337440281619
GSE185991,GSM5628186_M39,Post_treatment,NECTIN4,1344,1,0.0744047619047619
GSE116256,AML707B-D18,Post_treatment,NECTIN4,1413,1,0.0707714083510262
GSE185991,GSM5628180_M30,Relapse,NECTIN4,2937,2,0.0680966973101805
GSE185991,GSM5628196_M49,Relapse,NECTIN4,3049,2,0.0655952771400459
GSE116256,AML556-D0,Diagnosis,NECTIN4,1554,1,0.0643500643500644
GSE116256,AML328-D113,Post_treatment,NECTIN4,1647,1,0.0607164541590771
E-MTAB-11536,640C-BMA,Healthy,NECTIN4,1656,1,0.0603864734299517
GSE185381,GSM5613785_2021-03-09-AML3948,Diagnosis,NECTIN4,6754,4,0.0592241634586912
GSE253355,GSM8019214_H23,Healthy,NECTIN4,5113,3,0.0586739683160571
Chen2023,NBM4_CD34,Healthy,PVRL4,5130,3,0.0584795321637427
Petti2019,Normal_sorted_170607,Healthy,NECTIN4/PVRL4,1904,1,0.0525210084033613
GSE253355,GSM8019219_H35,Healthy,NECTIN4,5724,3,0.0524109014675052
GSE227903,1216_R,Relapse,NECTIN4,5745,3,0.0522193211488251
Chen2023,AML24_CD34,Diagnosis,PVRL4,9610,5,0.0520291363163372
GSE185991,GSM6412454_M93,Relapse,NECTIN4,2170,1,0.0460829493087558
Chen2023,AML320_NICHE_IMMUNE,Diagnosis,PVRL4,7100,3,0.0422535211267606
GSE201966,GSM6085178_AML01M4_RE,Relapse,PVRL4,7144,3,0.041993281075028
GSE185381,GSM5613780_2020-10-06-AML4897,Diagnosis,NECTIN4,2439,1,0.0410004100041
GSE289435,GSM8791441_MLL_29532,Diagnosis,NECTIN4,5260,2,0.0380228136882129
GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2,Diagnosis,NECTIN4,2663,1,0.0375516334960571
GSE253355,GSM8019220_H36,Healthy,NECTIN4,8097,3,0.0370507595405706
GSE116256,BM4,Healthy,NECTIN4,2992,1,0.0334224598930481
GSE289435,GSM8791443_MLL_30862,Diagnosis,NECTIN4,3111,1,0.0321440051430408
Petti2019,508084,Diagnosis,NECTIN4/PVRL4,9482,3,0.0316388947479435
GSE253355,GSM8019218_H34,Healthy,NECTIN4,3196,1,0.0312891113892366
Chen2023,AML320_CD34,Diagnosis,PVRL4,3222,1,0.0310366232153942
GSE185991,GSM6412447_M36,Diagnosis,NECTIN4,3418,1,0.0292568753657109
GSE185991,GSM6412451_M88,Diagnosis,NECTIN4,3561,1,0.02808199943836
GSE289435,GSM8791433_MLL_16703,Diagnosis,NECTIN4,7930,2,0.0252206809583859
GSE201966,GSM6085177_AML01M4_P,Diagnosis,PVRL4,4527,1,0.0220896841175171
GSE185381,GSM5613770_2020-03-18-count-2,Unknown,NECTIN4,5230,1,0.0191204588910134
Petti2019,ND_090617,Healthy,NECTIN4/PVRL4,5485,1,0.0182315405651778
Chen2023,AML304_Niche_Immune,Diagnosis,PVRL4,5574,1,0.017940437746681
Petti2019,809653,Diagnosis,NECTIN4/PVRL4,15194,2,0.0131630906936949
Petti2019,548327,Diagnosis,NECTIN4/PVRL4,8705,1,0.0114876507754164
Chen2023,NBM3_CD34,Healthy,PVRL4,8712,1,0.0114784205693297
GSE185381,GSM5613791_2019-10-21-1-Control0004,Healthy,NECTIN4,12032,1,0.00831117021276596
Chen2023,AML103_Niche_Immune,Diagnosis,PVRL4,1234,0,0
Chen2023,AML24_Niche_Immune,Diagnosis,PVRL4,2170,0,0
Chen2023,AML469_CD34,Diagnosis,PVRL4,3324,0,0
Chen2023,NBM1_Niche_Immune,Healthy,PVRL4,5179,0,0
Chen2023,NBM2_Niche_Immune,Healthy,PVRL4,2271,0,0
Chen2023,NBM3_Niche_immune,Healthy,PVRL4,3639,0,0
Chen2023,NBM4_Niche_Immune,Healthy,PVRL4,3132,0,0
E-MTAB-11536,621B-BMA,Healthy,NECTIN4,598,0,0
E-MTAB-11536,637C-BLD,Healthy,NECTIN4,664,0,0
E-MTAB-11536,637C-BMA,Healthy,NECTIN4,1360,0,0
E-MTAB-11536,A35-BMA,Healthy,NECTIN4,1154,0,0
E-MTAB-11536,A36-BLD,Healthy,NECTIN4,2735,0,0
E-MTAB-11536,A37-BMA,Healthy,NECTIN4,690,0,0
GSE116256,AML707B-D113,Post_treatment,NECTIN4,576,0,0
GSE116256,BM5-34p,Healthy,NECTIN4,967,0,0
GSE116256,BM5-34p38n,Healthy,NECTIN4,1223,0,0
GSE147989,009C1D1BL,Post_treatment,PVRL4,741,0,0
GSE147989,009SCRBL,Diagnosis,PVRL4,1016,0,0
GSE185381,GSM5613763_2019-11-26-count-2,Diagnosis,NECTIN4,7929,0,0
GSE185381,GSM5613771_2020-03-18-count-3,Unknown,NECTIN4,5008,0,0
GSE185381,GSM5613774_2020-08-26-Control4003-c1,Healthy,NECTIN4,1014,0,0
GSE185381,GSM5613775_2020-08-26-Control4003-c2,Healthy,NECTIN4,2197,0,0
GSE185381,GSM5613781_2020-10-06-count2,Unknown,NECTIN4,3817,0,0
GSE185381,GSM5613788_2021-03-09-Z-1-1,Diagnosis,NECTIN4,825,0,0
GSE185381,GSM5613793_2020-03-18-82,Healthy,NECTIN4,1106,0,0
GSE185381,GSM5613795_2020-05-22-5prime_2,Healthy,NECTIN4,1347,0,0
GSE185381,GSM5613796_2020-08-07-MDS-AML_cDNA1,Healthy,NECTIN4,1416,0,0
GSE185381,GSM5613797_2020-08-07-MDS-AML_cDNA2,Healthy,NECTIN4,1078,0,0
GSE185381,GSM5613800_2021-04-29-0102_cDNA,Diagnosis,NECTIN4,1479,0,0
GSE185381,GSM5613801_2021-04-29-0134_cDNA,Diagnosis,NECTIN4,1435,0,0
GSE185381,GSM5613804_2021-04-29-2910_cDNA,Diagnosis,NECTIN4,2197,0,0
GSE185381,GSM5613806_2021-04-29-3948_cDNA,Diagnosis,NECTIN4,2307,0,0
GSE185991,GSM5628163_M03,Diagnosis,NECTIN4,1268,0,0
GSE185991,GSM5628164_M04,Diagnosis,NECTIN4,1284,0,0
GSE185991,GSM5628167_M07,Diagnosis,NECTIN4,1371,0,0
GSE185991,GSM5628168_M08,Diagnosis,NECTIN4,1354,0,0
GSE185991,GSM5628174_M24,Post_treatment,NECTIN4,5071,0,0
GSE185991,GSM5628177_M27,Post_treatment,NECTIN4,974,0,0
GSE185991,GSM5628178_M28,Diagnosis,NECTIN4,3602,0,0
GSE185991,GSM5628188_M41,Diagnosis,NECTIN4,2050,0,0
GSE185991,GSM5628189_M42,Relapse,NECTIN4,3401,0,0
GSE185991,GSM5628192_M45,Post_treatment,NECTIN4,1112,0,0
GSE185991,GSM5628195_M48,Diagnosis,NECTIN4,2809,0,0
GSE185991,GSM6412455_M95,Relapse,NECTIN4,3453,0,0
GSE201966,GSM6085176_AML01M4_CR,Post_treatment,PVRL4,2410,0,0
GSE227903,3853_R,Relapse,NECTIN4,528,0,0
GSE227903,5143_Dg,Diagnosis,NECTIN4,1103,0,0
GSE227903,6323_R2,Relapse2,NECTIN4,3783,0,0
GSE239721,PT10A,Diagnosis,NECTIN4,1236,0,0
GSE239721,PT15A,Diagnosis,NECTIN4,4053,0,0
GSE239721,PT16A,Diagnosis,NECTIN4,1499,0,0
GSE239721,PT20A,Diagnosis,NECTIN4,1002,0,0
GSE239721,PT22A,Diagnosis,NECTIN4,1662,0,0
GSE239721,PT26A,Diagnosis,NECTIN4,1178,0,0
GSE239721,PT27A,Diagnosis,NECTIN4,5191,0,0
GSE239721,PT29A,Diagnosis,NECTIN4,2193,0,0
GSE289435,GSM8791434_MLL_17746,Diagnosis,NECTIN4,5273,0,0
GSE289435,GSM8791435_MLL_17843,Diagnosis,NECTIN4,13429,0,0
GSE289435,GSM8791437_MLL_28824,Diagnosis,NECTIN4,4590,0,0
Petti2019,ND_083017,Healthy,NECTIN4/PVRL4,4542,0,0
Petti2019,Normal_sorted_170531,Healthy,NECTIN4/PVRL4,2577,0,0
