stratum,gene,n_samples_WT,n_samples_mut,n_cells_WT,n_cells_mut,n_pos_WT,n_pos_mut,mean_lognorm_WT,mean_lognorm_mut,pct_mut,pct_WT,log_or,se,z_cell,odds_ratio,p_cell_two_sided,n_pairs,median_delta_log2cpm,p_sample_higher,frac_pairs_mut_higher,category,fdr_sample
HSC_MPP,CDH5,5,8,2202,2616,1,46,0.000175333603579962,0.0116416067008264,1.75840978593272,0.0454132606721163,3.2790257181854,0.830069459822986,3.95030280825493,26.5498930169228,7.80523815263294e-05,5,0.0137688773638023,0.25,0.4,msc_niche,1
HSC_MPP,COL1A1,5,8,2202,2616,6,11,0.00113946659743292,0.00226865569672842,0.420489296636086,0.272479564032698,0.399785447534178,0.491570695653455,0.813281692885975,1.49150465730777,0.416056570777915,5,0.00226865507602875,0.25,0.4,collagen_ecm_structural,1
HSC_MPP,FN1,5,8,2202,2616,18,21,0.00373087255894407,0.00937160489365157,0.802752293577982,0.817438692098093,-0.0221100038264551,0.318447381583139,-0.069430634714397,0.97813263080071,0.944646844773508,5,0.00252055804479526,0.25,0.4,collagen_ecm_structural,1
HSC_MPP,IFNG,5,8,2202,2616,3,12,0.000593826223191532,0.00357213480360787,0.458715596330275,0.136239782016349,1.10395501941642,0.605436111701632,1.82340464679857,3.01607108575817,0.0682421270454144,5,0.0038139765574074,0.25,0.4,inflammatory_cytokine,0.870535714285714
HSC_MPP,IL11,5,8,2202,2616,72,100,0.0167094229844466,0.0264979635339421,3.82262996941896,3.26975476839237,0.160058812362053,0.156876074978881,1.02028822676499,1.17357988996759,0.307591785288232,5,0.102013760173921,0.25,0.4,profibrotic_cytokine_gf,0.9
HSC_MPP,NES,5,8,2202,2616,6,15,0.00110383958394928,0.00219057798030089,0.573394495412844,0.272479564032698,0.699814829709085,0.468190074910611,1.49472376116196,2.01337985481749,0.134986550393367,5,0.00319279852525411,0.25,0.4,msc_niche,1
HSC_MPP,PDGFB,5,8,2202,2616,29,14,0.00826064827501116,0.00280545948012912,0.535168195718654,1.31698455949137,-0.890375363979523,0.322037506604621,-2.7648188354429,0.41050163630147,0.00569544173108966,5,0.00167974013050517,0.25,0.4,profibrotic_cytokine_gf,0.9
HSC_MPP,PF4,5,8,2202,2616,9,14,0.00221016482522639,0.00504169663413102,0.535168195718654,0.408719346049046,0.251882770937178,0.418412253002819,0.601996641182211,1.28644521967744,0.547176373190296,5,0.00237226806890479,0.25,0.4,megakaryocyte_fibrosis_axis,0.833333333333333
HSC_MPP,BGLAP,5,8,2202,2616,110,125,0.0234247141049204,0.0358770940063607,4.7782874617737,4.99545867393279,-0.0472351777437979,0.13378027932981,-0.353080274465181,0.953863043851357,0.724028260445935,5,0.0220766772924543,0.3125,0.6,msc_niche,1
HSC_MPP,COL5A1,5,8,2202,2616,40,90,0.0144810739942759,0.0232437532285904,3.44036697247706,1.81653042688465,0.648477890667458,0.191309471798583,3.38968000157461,1.91262738429438,0.000699742528918103,5,0.0134467587953504,0.3125,0.6,collagen_ecm_structural,1
HSC_MPP,ELN,5,8,2202,2616,39,38,0.0122147892706881,0.00981239341237214,1.45259938837921,1.77111716621253,-0.201122984439412,0.228342983366391,-0.880793363887591,0.817811847237256,0.378429672206459,5,0.00821717267393853,0.3125,0.6,collagen_ecm_structural,1
HSC_MPP,EPAS1,5,8,2202,2616,63,45,0.0129427493819811,0.0139274248188431,1.72018348623853,2.86103542234332,-0.517244809299841,0.196423854166919,-2.63330954121433,0.5961608240541,0.00845572450618122,5,0.00263451560725356,0.3125,0.4,hypoxia,0.675
HSC_MPP,FBN1,5,8,2202,2616,75,84,0.0177055345703007,0.0246927218788402,3.21100917431193,3.40599455040872,-0.06164049756716,0.161072203139871,-0.382688610235455,0.940220837718926,0.701950660483459,5,0.0019983587849714,0.3125,0.6,collagen_ecm_structural,1
HSC_MPP,LDHA,5,8,2202,2616,1826,1867,1.04704450793789,1.12635309375544,71.368501529052,82.9246139872843,-0.666289199531069,0.0712266505991783,-9.35449293103158,0.513610953702687,8.40016684974489e-21,5,0.027693610474113,0.3125,0.6,hypoxia,0.675
HSC_MPP,LOXL1,5,8,2202,2616,51,108,0.0151396710781754,0.0233784894893891,4.12844036697248,2.31607629427793,0.59164867366517,0.171748368853435,3.44485759960879,1.80696505667139,0.000571360310176478,5,0.0130508308952542,0.3125,0.6,ecm_remodeling,0.9375
HSC_MPP,LTBP1,5,8,2202,2616,55,27,0.0394946028550354,0.0074100483995724,1.03211009174312,2.49772933696639,-0.889357448085399,0.235018056881723,-3.78420900881239,0.410919705185007,0.000154198201374983,5,0.0146913887003559,0.3125,0.8,collagen_ecm_structural,1
HSC_MPP,MRC1,5,8,2202,2616,217,263,0.0538600070836711,0.0847260618601618,10.0535168195719,9.85467756584923,0.0218217071827873,0.0965469736591212,0.226021659258148,1.02206154199297,0.821184574530942,5,0.0384647124878415,0.3125,0.6,macrophage_marker,1
HSC_MPP,PLAC8,5,8,2202,2616,1526,1810,0.676263090410686,0.937278041719086,69.1896024464832,69.3006357856494,-0.00514593292365737,0.0626542030905683,-0.0821322859412765,0.994867284707104,0.934541519377465,5,0.151978611821273,0.3125,0.6,monocyte_marker,0.78125
HSC_MPP,SERPINH1,5,8,2202,2616,104,245,0.0336278883104182,0.0661194087642591,9.36544342507645,4.72297910990009,0.731810013285719,0.120585665181923,6.06879774790532,2.07883993233039,1.288713150046e-09,5,0.0156919103432374,0.3125,0.8,ecm_remodeling,0.9375
HSC_MPP,CA9,5,8,2202,2616,6,9,0.00179742721175936,0.00136678732952754,0.344036697247706,0.272479564032698,0.20796289824581,0.509851047460488,0.407889518481232,1.23116749022789,0.68335478824239,5,0.00416190220480605,0.375,0.4,hypoxia,0.675
HSC_MPP,CCL2,5,8,2202,2616,115,52,0.0532726930890737,0.0154809335680688,1.98776758409786,5.22252497729337,-0.994253710468583,0.169040259054356,-5.88175690235352,0.369999468264237,4.05934261499328e-09,5,0.0002369320567408,0.375,0.4,inflammatory_cytokine,0.870535714285714
HSC_MPP,FCN1,5,8,2202,2616,71,61,0.0175974001239971,0.0187917573852878,2.33180428134557,3.22434150772025,-0.332082216890559,0.176370753303319,-1.8828644243496,0.717428335702646,0.0597187435221831,5,-0.0024446641436178,0.40625,0.4,monocyte_marker,0.78125
HSC_MPP,ITGA2B,5,8,2202,2616,137,121,0.0319643741270911,0.0314704241981843,4.62538226299694,6.22161671207993,-0.312826436398868,0.128015801840848,-2.44365486057557,0.731376841951877,0.0145393282351691,5,-0.00873894586099159,0.40625,0.4,megakaryocyte_fibrosis_axis,0.859375
HSC_MPP,NECTIN2,5,8,2202,2616,775,785,0.223095704461999,0.221276291576544,30.0076452599388,35.1952770208901,-0.236398165609621,0.061717834262842,-3.8303055904855,0.789466273025267,0.000127984215965163,5,0.017338539619635,0.40625,0.6,nectin_target,1
HSC_MPP,PDGFRB,5,8,2202,2616,7,106,0.00244693084391807,0.023848931837545,4.0519877675841,0.317892824704814,2.51916983913423,0.378915305620662,6.64837181756973,12.4182832105158,2.96352904957052e-11,5,0.00163914984888261,0.40625,0.6,profibrotic_cytokine_gf,0.992647058823529
HSC_MPP,PLOD1,5,8,2202,2616,192,287,0.0440667023036839,0.0723940520882173,10.9709480122324,8.71934604904632,0.253856501590043,0.0979782192247836,2.59094831074283,1.28898682343628,0.00957118662213936,5,-0.0166746273193216,0.40625,0.4,ecm_remodeling,0.9375
HSC_MPP,IL10,5,8,2202,2616,49,14,0.00965203829039208,0.00464702558308664,0.535168195718654,2.2252497729337,-1.41720211614307,0.30002690496756,-4.72358342761396,0.242391251613154,2.317248343642e-06,5,0.00650247595741804,0.4375,0.6,inflammatory_cytokine,0.870535714285714
HSC_MPP,LOX,5,8,2202,2616,199,208,0.0746293986316012,0.0905570254978383,7.95107033639144,9.03723887375114,-0.139983691085138,0.103552001944121,-1.35182023000073,0.869372413803868,0.176432830895115,5,0.0740752231371289,0.4375,0.6,ecm_remodeling,0.9375
HSC_MPP,VCAN,5,8,2202,2616,35,54,0.011932373235861,0.0235780169930412,2.06422018348624,1.58946412352407,0.261259090395862,0.217644762985814,1.2003922667916,1.29856406733081,0.229987030816218,5,0.00468638516691085,0.4375,0.4,monocyte_marker,0.78125
HSC_MPP,ADM,5,8,2202,2616,41,53,0.0117963475695147,0.0136159318119561,2.02599388379205,1.86194368755677,0.0834171395492395,0.20890358465755,0.39930927794266,1.0869951426537,0.689665331643523,5,-0.00449888765124614,0.5,0.4,hypoxia,0.75
HSC_MPP,C1QA,5,8,2202,2616,1,2,0.000467166676917815,0.000501976229983109,0.0764525993883792,0.0454132606721163,0.338891695333614,1.03320055397063,0.3280018521392,1.40339134315038,0.742910262223854,5,0.000215781501186261,0.5,0.2,macrophage_marker,1
HSC_MPP,C1QB,5,8,2202,2616,0,1,0,0.000295692305728043,0.0382262996941896,0,0.926750083667778,1.63324922539458,0.567427229879067,2.52628560504684,0.570423954078374,5,0.000706421070122887,0.5,0.2,macrophage_marker,1
HSC_MPP,CD163,5,8,2202,2616,2,3,0.000683214279485656,0.000835375024749026,0.114678899082569,0.0908265213442325,0.164466524719383,0.828583946589243,0.198491082764018,1.1787641094318,0.842660860881323,5,6.00892740715791e-05,0.5,0.2,macrophage_marker,1
