stratum,pathway,n_cells_mut,n_cells_WT,auc,p_cell,mean_mut,mean_WT,n_pairs,median_delta,p_sample_higher,fdr_sample
all,HALLMARK_TGF_BETA_SIGNALING_UCell,28444,29208,0.41430822957311,4.16400054227528e-278,0.0757291471102411,0.0866431508395022,9,-0.00398142667846264,0.91796875,0.91796875
malignant,HALLMARK_P53_PATHWAY_UCell,3774,7416,0.359787096491123,2.49211579055269e-130,0.0779823908455458,0.0876163884620528,4,-0.00564476349405032,0.5625,1
malignant,HALLMARK_INFLAMMATORY_RESPONSE_UCell,3774,7416,0.368541371182719,8.38354484299817e-115,0.0551990594718039,0.0663287327054315,4,-0.00981726675795707,0.6875,1
malignant,REACTOME_COLLAGEN_FORMATION_UCell,3774,7416,0.4132757829217,5.12126510198963e-51,0.0220836451277476,0.0255456408620315,4,-0.0029020218195471,0.8125,1
malignant,HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,3774,7416,0.327609091101381,5.67838549737635e-196,0.0894064075424015,0.110656745329758,4,-0.0226302039108051,0.8125,1
malignant,HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,3774,7416,0.330811376053381,7.77530328958628e-189,0.0561563408609555,0.0730989027552783,4,-0.00578707133279592,0.8125,1
malignant,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,3774,7416,0.437988566807813,6.41354069102642e-27,0.0344303624617403,0.0374450271723074,4,-0.00345163143373096,0.875,1
malignant,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,3774,7416,0.338204709563933,7.19968294877816e-173,0.0410082964560929,0.0504744027474753,4,-0.00713859048427753,0.875,1
malignant,HALLMARK_HYPOXIA_UCell,3774,7416,0.418374167285504,2.13281788150051e-45,0.0786309668851753,0.0850120084977953,4,-0.00904902539574722,0.875,1
malignant,HALLMARK_COAGULATION_UCell,3774,7416,0.354505472777175,3.52069090390934e-140,0.0345283890748473,0.0432870003904903,4,-0.00687257041872556,0.875,1
malignant,HALLMARK_TGF_BETA_SIGNALING_UCell,3774,7416,0.418726354138262,5.06631614187378e-45,0.0826803667077977,0.0916317385924009,4,-0.010857071612468,0.9375,1
malignant,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,3774,7416,0.475622127695943,2.4089811664581e-05,0.0770150376407439,0.0792568501842604,4,-0.00513742189988854,0.9375,1
malignant,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,3774,7416,0.366459799319594,2.09816390085529e-118,0.0318238160472505,0.0371130453928585,4,-0.0047259316991255,0.9375,1
malignant,HALLMARK_ANGIOGENESIS_UCell,3774,7416,0.346378342220004,4.79616557904368e-156,0.0448492108475035,0.0581614683194292,4,-0.00995893106740949,0.9375,1
malignant,KEGG_ECM_RECEPTOR_INTERACTION_UCell,3774,7416,0.422129457412867,1.78856636281202e-41,0.0155546623637634,0.0182048433594046,4,-0.00580670214720563,1,1
