feature,median_p,min_p,frac_p05,frac_p01,n_draws_evaluable,kind,design,mut_def,n_mut_units,n_wt_candidates
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,0.421875,0.03125,0.044,0,500,pathway,B_patient_strict,strict,6,75
REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,0.421875,0.078125,0,0,500,pathway,B_patient_strict,strict,6,75
HALLMARK_ANGIOGENESIS_UCell,0.4730224609375,0.0286865234375,0.006,0,500,pathway,C_sample_broad,broad,14,96
HALLMARK_COAGULATION_UCell,0.7291259765625,0.1878662109375,0,0,500,pathway,C_sample_broad,broad,14,96
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,0.63232421875,0.0732421875,0,0,500,pathway,C_sample_broad,broad,14,96
HALLMARK_HYPOXIA_UCell,0.419677734375,0.0198974609375,0.008,0,500,pathway,C_sample_broad,broad,14,96
HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,0.6575927734375,0.0198974609375,0.002,0,500,pathway,C_sample_broad,broad,14,96
HALLMARK_INFLAMMATORY_RESPONSE_UCell,0.3177490234375,0.0052490234375,0.058,0.004,500,pathway,C_sample_broad,broad,14,96
HALLMARK_P53_PATHWAY_UCell,0.580322265625,0.0340576171875,0.004,0,500,pathway,C_sample_broad,broad,14,96
HALLMARK_TGF_BETA_SIGNALING_UCell,0.7513427734375,0.047119140625,0.002,0,500,pathway,C_sample_broad,broad,14,96
HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,0.4462890625,0.0040283203125,0.026,0.004,500,pathway,C_sample_broad,broad,14,96
KEGG_ECM_RECEPTOR_INTERACTION_UCell,0.8121337890625,0.2071533203125,0,0,500,pathway,C_sample_broad,broad,14,96
KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,0.86328125,0.2939453125,0,0,500,pathway,C_sample_broad,broad,14,96
REACTOME_COLLAGEN_FORMATION_UCell,0.6822509765625,0.1219482421875,0,0,500,pathway,C_sample_broad,broad,14,96
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,0.71759033203125,0.1219482421875,0,0,500,pathway,C_sample_broad,broad,14,96
REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,0.7291259765625,0.108154296875,0,0,500,pathway,C_sample_broad,broad,14,96
HALLMARK_ANGIOGENESIS_UCell,0.20654296875,0.00048828125,0.126,0.038,500,pathway,D_patient_broad,broad,11,74
HALLMARK_COAGULATION_UCell,0.41552734375,0.02685546875,0.004,0,500,pathway,D_patient_broad,broad,11,74
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,0.20654296875,0.00341796875,0.084,0.02,500,pathway,D_patient_broad,broad,11,74
HALLMARK_HYPOXIA_UCell,0.10302734375,0.00048828125,0.27,0.098,500,pathway,D_patient_broad,broad,11,74
HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,0.55078125,0.02099609375,0.004,0,500,pathway,D_patient_broad,broad,11,74
HALLMARK_INFLAMMATORY_RESPONSE_UCell,0.1201171875,0.0009765625,0.248,0.064,500,pathway,D_patient_broad,broad,11,74
HALLMARK_P53_PATHWAY_UCell,0.28857421875,0.0068359375,0.058,0.01,500,pathway,D_patient_broad,broad,11,74
HALLMARK_TGF_BETA_SIGNALING_UCell,0.35009765625,0.00048828125,0.052,0.012,500,pathway,D_patient_broad,broad,11,74
HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,0.07373046875,0.00048828125,0.354,0.108,500,pathway,D_patient_broad,broad,11,74
KEGG_ECM_RECEPTOR_INTERACTION_UCell,0.8173828125,0.10302734375,0,0,500,pathway,D_patient_broad,broad,11,74
KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,0.71142578125,0.0615234375,0,0,500,pathway,D_patient_broad,broad,11,74
REACTOME_COLLAGEN_FORMATION_UCell,0.35009765625,0.00927734375,0.032,0.002,500,pathway,D_patient_broad,broad,11,74
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,0.48291015625,0.0048828125,0.01,0.002,500,pathway,D_patient_broad,broad,11,74
REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,0.68115234375,0.10302734375,0,0,500,pathway,D_patient_broad,broad,11,74
