dataset,sample,ligand,n_edges,total_prob,primitive_sender_share,primitive_receiver_share,primitive_autocrine_share,immune_receiver_share,prim_to_immune_share,group
GSE116256,AML707B-D18,MIF,6,0.5013681021030184,0.28008114850467253,0.0,0.0,1.0,0.28008114850467253,AML
GSE116256,AML916-D0,CD99,12,0.6100890969280466,0.5428274743609501,0.5428274743609501,0.29428721435503113,0.34739966109254466,0.18729833472249388,AML
GSE116256,AML916-D0,MIF,14,1.999327958255979,0.7214399094132838,0.19990521696257724,0.19990521696257724,0.6654676719769526,0.45031616333205127,AML
GSE116256,AML921A-D0,CD99,4,0.47182695329376434,1.0,1.0,1.0,0.0,0.0,AML
GSE116256,AML921A-D0,MIF,15,1.652012898942443,0.7320142741617525,0.586934073927361,0.4391813875672101,0.4130659260726389,0.2928328865945422,AML
GSE116256,BM4,CD99,10,0.1294687615091394,0.775022160730719,0.7750221607307192,0.5500443214614384,0.15433419679097551,0.15433419679097551,healthy
GSE116256,BM4,MIF,32,3.2758733815455345,0.35247177722416523,0.3560496296084384,0.13158490953352378,0.6439503703915616,0.2208868676906414,healthy
GSE116256,BM5-34p,CD99,10,0.29634302220968783,0.19149307704185334,0.19149307704185334,0.0,0.8085069229581466,0.19149307704185334,healthy
GSE116256,BM5-34p,MIF,19,1.1034441384715725,0.552867487225815,0.24789366647567518,0.1488804124247243,0.7112438115669948,0.36312455284376094,healthy
GSE116256,BM5-34p38n,CD99,4,0.1946091222184687,0.2805897711469425,0.2805897711469425,0.07710243256140804,0.7194102288530574,0.20348733858553444,healthy
GSE185381,GSM5613744_2019-07-01-count-1,CD99,6,1.012253593196587,0.8556373939455475,0.8556373939455475,0.7112747878910949,0.14436260605445259,0.14436260605445259,AML
GSE185381,GSM5613744_2019-07-01-count-1,LGALS9,46,0.8869864558115931,0.3225556287286079,0.3278110822773791,0.12133739668666498,0.47354905992671453,0.15363704372986423,AML
GSE185381,GSM5613744_2019-07-01-count-1,MIF,42,7.8101673563583836,0.3152655977499414,0.2212761798655678,0.09176921144517104,0.7040242709754279,0.2234963863047703,AML
GSE185381,GSM5613745_2019-07-01-count-2,CD99,4,0.7163158322547281,1.0,1.0,1.0,0.0,0.0,AML
GSE185381,GSM5613745_2019-07-01-count-2,LGALS9,60,0.6614588918453995,0.5797766446467041,0.31854829798568424,0.18471318095436254,0.4677086226109349,0.2712403893779293,AML
GSE185381,GSM5613745_2019-07-01-count-2,MIF,37,6.940442775658874,0.3473261415846596,0.24657695084982642,0.10373533421690843,0.7238051401567588,0.2435908073677511,AML
GSE185381,GSM5613746_2019-07-01-count-3,CD99,4,0.680899181657988,1.0,1.0,1.0,0.0,0.0,AML
GSE185381,GSM5613746_2019-07-01-count-3,LGALS9,40,0.49460358857445214,0.36950420679921336,0.31769202435356536,0.11741457724222523,0.47755393940629526,0.17657438203260095,AML
