tier,hierarchy_bin,gene,logFC,P.Value,q_within_bin,q_pooled,hit_baseline,hit_pooled
primary,Mono_DC,CCNY,-0.655944972602252,0.000291059188544632,0.0100629836691497,0.0393792841829138,FALSE,FALSE
primary,Mono_DC,AK3,0.713537071843426,0.000292688888105609,0.0100688910519524,0.0393792841829138,FALSE,FALSE
primary,Mono_DC,IFT20,-0.617781809077563,0.000293968892803399,0.0100688910519524,0.0393792841829138,FALSE,FALSE
primary,Mono_DC,MAP1LC3A,1.77879675391872,0.000304016916028507,0.010348773354563,0.0402346242664474,TRUE,TRUE
primary,Mono_DC,ODF2L,0.749806777605611,0.000307015872565333,0.0104187017185325,0.0403882137987293,FALSE,FALSE
primary,Mono_DC,MAP3K3,-0.562607501194937,0.000311322013478379,0.0105011999287222,0.0404700196100977,FALSE,FALSE
primary,Mono_DC,NR4A1,-1.63739472434671,0.0003143509210601,0.0105451603483065,0.0404946653873097,TRUE,TRUE
primary,Mono_DC,CTSO,-0.618906580229676,0.000319137002235872,0.0106337220473095,0.0405267098388432,FALSE,FALSE
primary,Mono_DC,DUSP2,-1.81012898029288,0.000322717316676776,0.0106884362931777,0.0406846120450029,TRUE,TRUE
primary,Mono_DC,ATG2A,-1.05767973233322,0.000324084259997065,0.0107015727649929,0.0406846120450029,TRUE,TRUE
primary,Mono_DC,SURF2,-0.717285009220948,0.00033947920309661,0.0111101368870994,0.0416649084515611,FALSE,FALSE
primary,Mono_DC,ARF5,-0.929968622462581,0.000359254341230083,0.0116194021390809,0.0436047437706282,FALSE,FALSE
primary,Mono_DC,SUMF2,0.631043065399147,0.000364744373412341,0.0117281798669525,0.0440278524148116,FALSE,FALSE
primary,Mono_DC,TPGS1,-0.671305171977245,0.000399786767299031,0.0125978521615457,0.0477332363630022,FALSE,FALSE
primary,Mono_DC,SLC43A2,-1.37105918460039,0.000413293452982468,0.0128400380082919,0.0487424258691375,TRUE,TRUE
primary,Mono_DC,RASSF5,-0.829996529036216,0.0004200374703025,0.012976451708589,0.0487424258691375,FALSE,FALSE
primary,Mono_DC,HLA-DMA,-0.934997444690082,0.000423788409999579,0.0129923360148333,0.0487424258691375,FALSE,FALSE
primary,Mono_DC,WDR73,0.479158816112314,0.000424085680056216,0.0129923360148333,0.0487424258691375,FALSE,FALSE
primary,Mono_DC,XPOT,0.589738179641394,0.000431922511233185,0.0130511599353173,0.0487424258691375,FALSE,FALSE
primary,Mono_DC,ICAM3,-1.06729718960287,0.000438136302790353,0.0131302142242959,0.0487424258691375,TRUE,TRUE
primary,Mono_DC,ANKRD37,-1.06672587683393,0.000437169579120147,0.0131302142242959,0.0487424258691375,TRUE,TRUE
primary,Mono_DC,STX6,-0.851378249810297,0.000439300847653021,0.0131302142242959,0.0487424258691375,FALSE,FALSE
primary,Mono_DC,RREB1,0.561154731894174,0.000437200067541729,0.0131302142242959,0.0487424258691375,FALSE,FALSE
primary,Mono_DC,SLC11A1,-1.84372337129987,0.000445111412865758,0.0132321665026858,0.0488172047328286,TRUE,TRUE
primary,Mono_DC,MBD2,-0.771632515407739,0.000447812786737041,0.0132766860885022,0.0488172047328286,FALSE,FALSE
primary,Mono_DC,PAN3,0.539686707384795,0.000450749007600162,0.0133279110048852,0.0488172047328286,FALSE,FALSE
primary,Mono_DC,MAST4,1.46406771387579,0.000453880062531405,0.0133846075124569,0.0488788779105512,TRUE,TRUE
primary,Mono_DC,BTN3A3,-1.22818009603322,0.000463131458840602,0.0134772476505356,0.0496318781427765,TRUE,TRUE
primary,Mono_DC,NFIX,1.12117122899342,0.000471730050469869,0.0136566016700133,0.0498285712996711,TRUE,TRUE
primary,Mono_DC,MRPS35,-0.541845213766753,0.00047177126088268,0.0136566016700133,0.0498285712996711,FALSE,FALSE
primary,Mono_DC,ACAP2,-0.453463033719829,0.000485144206757311,0.013970379781531,0.0506920892133622,FALSE,FALSE
primary,Mono_DC,METRN,0.981597509689868,0.000491267495256345,0.0140117284547914,0.0509087528456917,FALSE,FALSE
primary,Mono_DC,GBP1,-2.15088574230964,0.000500467543537146,0.0142236801476217,0.051377436747512,TRUE,FALSE
primary,Mono_DC,KHSRP,0.49069516400027,0.000521285628435432,0.0147039877135918,0.053080192074272,FALSE,FALSE
primary,Mono_DC,HSD17B10,-0.497013137459474,0.000524302502622651,0.014751357911799,0.053080192074272,FALSE,FALSE
primary,Mono_DC,TESC,-1.25526152554312,0.000538886560306227,0.0151029792125835,0.0535692255355996,TRUE,FALSE
primary,Mono_DC,ESYT2,0.736410799557052,0.000548437124207818,0.0152745278860809,0.0539549456178204,FALSE,FALSE
primary,Mono_DC,CFL2,0.849776667479096,0.00055116058611992,0.0153117131091098,0.0539549456178204,FALSE,FALSE
primary,Mono_DC,GLIPR2,-1.10478422065355,0.000555046552397807,0.0153423770085098,0.0539549456178204,TRUE,FALSE
primary,Mono_DC,ARID2,0.538437153227254,0.000554816715138215,0.0153423770085098,0.0539549456178204,FALSE,FALSE
primary,Mono_DC,CCL5,2.16523326172996,0.000562004396652402,0.0154572231687764,0.0539934692293075,TRUE,FALSE
primary,Mono_DC,ZNF529-AS1,0.914804653884282,0.000572654178477819,0.0155945751467454,0.0542268950300828,FALSE,FALSE
primary,Mono_DC,COX20,0.436600756809834,0.000579028076874279,0.0157293119700651,0.0545951408620216,FALSE,FALSE
primary,Mono_DC,PSMB8,-0.659108356817618,0.000598317245334789,0.0160166041232946,0.0552678279615073,FALSE,FALSE
primary,Mono_DC,POU2F1,0.6200577062106,0.000597620990986262,0.0160166041232946,0.0552678279615073,FALSE,FALSE
primary,Mono_DC,LSM6,-0.781421001957118,0.000606117389523328,0.0161155029155982,0.0552678279615073,FALSE,FALSE
primary,Mono_DC,COMMD5,-0.682110903615226,0.000606395295128592,0.0161155029155982,0.0552678279615073,FALSE,FALSE
primary,Mono_DC,BLM,0.89201742820683,0.000608803967712904,0.0161406224997731,0.0552678279615073,FALSE,FALSE
primary,Mono_DC,ITM2B,-0.663124546084303,0.000621578575824846,0.0162835869662048,0.0560101771014335,FALSE,FALSE
primary,Mono_DC,G0S2,-2.96923552658851,0.000623104946434534,0.0162848920716267,0.0560101771014335,TRUE,FALSE
primary,Mono_DC,FCGRT,-1.16697913911847,0.000624629859795676,0.0162861530110792,0.0560101771014335,TRUE,FALSE
primary,Mono_DC,VCL,-0.862489488098041,0.000639642305071407,0.0165601290672125,0.0566625072585231,FALSE,FALSE
primary,Mono_DC,RABAC1,-0.636710940786683,0.000645138700380131,0.0166243802020852,0.0567205189410853,FALSE,FALSE
primary,Mono_DC,CKAP4,-1.50957392015686,0.000655765734785309,0.0168041799683822,0.0569675392521903,TRUE,FALSE
primary,Mono_DC,ZBP1,-1.41404288461553,0.00065989095368933,0.0168041799683822,0.0569675392521903,TRUE,FALSE
primary,Mono_DC,COTL1,-1.09822216326214,0.000660995580392527,0.0168041799683822,0.0569675392521903,TRUE,FALSE
primary,Mono_DC,SBF2,-0.786392326536121,0.00066714918775154,0.0168041799683822,0.0569675392521903,FALSE,FALSE
primary,Mono_DC,PGLS,-0.680431305931445,0.000667352509398077,0.0168041799683822,0.0569675392521903,FALSE,FALSE
primary,Mono_DC,FBXL20,0.608112886285716,0.000661091214822427,0.0168041799683822,0.0569675392521903,FALSE,FALSE
primary,Mono_DC,MALT1,-0.86886245313416,0.000669016574585329,0.0168077079751745,0.0569675392521903,FALSE,FALSE
primary,Mono_DC,APP,-2.33931156488804,0.00069333596798013,0.0172614049454918,0.0581370148112804,TRUE,FALSE
