row,dataset,sample,half,n_cells,subset_file
39,GSE227903,3853_R,A,229,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__3853_R__A.csv
40,GSE227903,3853_R,B,225,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__3853_R__B.csv
41,GSE227903,3904_Dg,A,1257,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__3904_Dg__A.csv
42,GSE227903,3904_Dg,B,1252,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__3904_Dg__B.csv
43,GSE227903,3904_MRD,A,1074,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__3904_MRD__A.csv
44,GSE227903,3904_MRD,B,1070,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__3904_MRD__B.csv
45,GSE227903,3904_R,A,3753,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__3904_R__A.csv
46,GSE227903,3904_R,B,3750,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__3904_R__B.csv
47,GSE227903,40389_Dg,A,1374,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__40389_Dg__A.csv
48,GSE227903,40389_Dg,B,1371,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__40389_Dg__B.csv
49,GSE227903,40389_MRD,A,1660,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__40389_MRD__A.csv
50,GSE227903,40389_MRD,B,1654,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__40389_MRD__B.csv
51,GSE227903,40389_R,A,2250,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__40389_R__A.csv
52,GSE227903,40389_R,B,2249,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__40389_R__B.csv
53,GSE227903,4978_Dg,A,1116,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__4978_Dg__A.csv
54,GSE227903,4978_Dg,B,1115,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__4978_Dg__B.csv
55,GSE227903,4978_MRD,A,794,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__4978_MRD__A.csv
56,GSE227903,4978_MRD,B,790,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__4978_MRD__B.csv
57,GSE227903,4978_R,A,617,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__4978_R__A.csv
58,GSE227903,4978_R,B,615,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__4978_R__B.csv
59,GSE227903,5143_Dg,A,510,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__5143_Dg__A.csv
60,GSE227903,5143_Dg,B,507,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__5143_Dg__B.csv
61,GSE227903,5143_R,A,958,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__5143_R__A.csv
62,GSE227903,5143_R,B,955,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__5143_R__B.csv
63,GSE227903,5750_Dg,A,1877,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__5750_Dg__A.csv
64,GSE227903,5750_Dg,B,1873,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__5750_Dg__B.csv
65,GSE227903,5750_MRD,A,1004,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__5750_MRD__A.csv
66,GSE227903,5750_MRD,B,1000,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__5750_MRD__B.csv
67,GSE227903,5750_R,A,2303,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__5750_R__A.csv
68,GSE227903,5750_R,B,2299,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__5750_R__B.csv
69,GSE227903,6323_Dg,A,280,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__6323_Dg__A.csv
70,GSE227903,6323_Dg,B,278,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__6323_Dg__B.csv
71,GSE227903,6323_MRD,A,4681,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__6323_MRD__A.csv
72,GSE227903,6323_MRD,B,4676,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__6323_MRD__B.csv
73,GSE227903,6323_R,A,402,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__6323_R__A.csv
74,GSE227903,6323_R,B,399,/FAST/gr10634/gaozy/aml_niche_net/results/tables/05_ccc/split_half/GSE227903__6323_R__B.csv
