dataset,sample,sender_bin,receiver_bin,C
Chen2023,NBM3,B_Plasma,LMPP_GMP,0.918367346938776
Chen2023,NBM3,B_Plasma,Mono_DC,0.918367346938776
Chen2023,NBM3,B_Plasma,Erythroid,0.510204081632653
Chen2023,NBM3,B_Plasma,Megakaryocyte,0.918367346938776
Chen2023,NBM3,B_Plasma,T_NK,0.244897959183674
Chen2023,NBM3,B_Plasma,B_Plasma,0.918367346938776
Chen2023,NBM4,HSC_MPP,HSC_MPP,0.448979591836735
Chen2023,NBM4,HSC_MPP,LMPP_GMP,0.102040816326531
Chen2023,NBM4,HSC_MPP,Mono_DC,0.469387755102041
Chen2023,NBM4,HSC_MPP,Erythroid,0.163265306122449
Chen2023,NBM4,HSC_MPP,Megakaryocyte,0.693877551020408
Chen2023,NBM4,HSC_MPP,T_NK,0.0612244897959183
Chen2023,NBM4,HSC_MPP,B_Plasma,0.591836734693878
Chen2023,NBM4,LMPP_GMP,HSC_MPP,0.306122448979592
Chen2023,NBM4,LMPP_GMP,LMPP_GMP,0.0816326530612245
Chen2023,NBM4,LMPP_GMP,Mono_DC,0.26530612244898
Chen2023,NBM4,LMPP_GMP,Erythroid,0.346938775510204
Chen2023,NBM4,LMPP_GMP,Megakaryocyte,0.36734693877551
Chen2023,NBM4,LMPP_GMP,T_NK,0.0204081632653061
Chen2023,NBM4,LMPP_GMP,B_Plasma,0.285714285714286
Chen2023,NBM4,Mono_DC,HSC_MPP,0.897959183673469
Chen2023,NBM4,Mono_DC,LMPP_GMP,0.612244897959184
Chen2023,NBM4,Mono_DC,Mono_DC,0.489795918367347
Chen2023,NBM4,Mono_DC,Erythroid,0.714285714285714
Chen2023,NBM4,Mono_DC,Megakaryocyte,0.795918367346939
Chen2023,NBM4,Mono_DC,T_NK,0.122448979591837
Chen2023,NBM4,Mono_DC,B_Plasma,0.877551020408163
Chen2023,NBM4,Erythroid,HSC_MPP,0.510204081632653
Chen2023,NBM4,Erythroid,LMPP_GMP,0.387755102040816
Chen2023,NBM4,Erythroid,Mono_DC,0.551020408163265
Chen2023,NBM4,Erythroid,Erythroid,0.653061224489796
Chen2023,NBM4,Erythroid,Megakaryocyte,0.63265306122449
Chen2023,NBM4,Erythroid,T_NK,0.204081632653061
Chen2023,NBM4,Erythroid,B_Plasma,0.571428571428571
Chen2023,NBM4,Megakaryocyte,HSC_MPP,0.244897959183674
