sample_id,dataset,n_total,n_singler_TB,n_ref,frac_ref,val_lineage_pos,val_blast_drop,method,decision,fallback,fallback_mode
GSM5613805_2021-04-29-2975_cDNA,GSE185381,786,783,783,0.99618320610687,0.996,0,singleR,autologous_ok,FALSE,external
GSM5613806_2021-04-29-3948_cDNA,GSE185381,2307,2307,2306,0.999566536627655,0.989,1,singleR,autologous_ok,FALSE,external
PAUMTZ,GSE185381,4127,212,211,0.0511267264356676,0.9,1,singleR,autologous_ok,FALSE,external
PAWWEE,GSE185381,505,18,0,0,0.143,18,singleR,fallback_external,TRUE,external
PAXMIJ,GSE185381,932,64,63,0.0675965665236052,0.905,1,singleR,autologous_ok,FALSE,external
GSM5628163_M03,GSE185991,1248,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM5628164_M04,GSE185991,1266,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM5628167_M07,GSE185991,1343,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM5628168_M08,GSE185991,1330,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM5628172_M22,GSE185991,3058,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM5628174_M24,GSE185991,4782,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM5628175_M25,GSE185991,895,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM5628176_M26,GSE185991,1508,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM5628177_M27,GSE185991,964,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM5628178_M28,GSE185991,1992,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM5628180_M30,GSE185991,2587,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM5628181_M31,GSE185991,2155,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM5628182_M32,GSE185991,3663,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM5628183_M33,GSE185991,1907,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM5628186_M39,GSE185991,1297,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM5628187_M40,GSE185991,1906,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM5628188_M41,GSE185991,1848,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM5628189_M42,GSE185991,3401,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM5628192_M45,GSE185991,1018,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM5628195_M48,GSE185991,2728,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM5628196_M49,GSE185991,2944,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM6412447_M36,GSE185991,3193,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM6412448_M38,GSE185991,5181,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM6412449_M84,GSE185991,5979,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM6412450_M85,GSE185991,4565,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM6412451_M88,GSE185991,3286,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM6412452_M89,GSE185991,3235,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM6412453_M92,GSE185991,2404,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM6412454_M93,GSE185991,2003,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM6412455_M95,GSE185991,2673,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
GSM6085176_AML01M4_CR,GSE201966,1226,469,469,0.382544861337684,0.983,0,singleR,autologous_ok,FALSE,external
GSM6085177_AML01M4_P,GSE201966,2054,79,77,0.0374878286270691,0.831,2,singleR,autologous_ok,FALSE,external
GSM6085178_AML01M4_RE,GSE201966,6501,1902,1899,0.292108906322104,0.884,3,singleR,autologous_ok,FALSE,external
GSM6085179_AML02M5_P,GSE201966,2599,30,0,0,1,30,singleR,fallback_external,TRUE,external
GSM6085180_AML02M5_RE,GSE201966,8838,14,0,0,1,14,singleR,fallback_external,TRUE,external
GSM6085181_AML03M5_P,GSE201966,6806,176,171,0.0251248898031149,1,5,singleR,autologous_ok,FALSE,external
GSM6085182_AML03M5_RE,GSE201966,2478,1877,1877,0.757465698143664,0.985,0,singleR,autologous_ok,FALSE,external
GSM6284912_TS173_04_Sample_D,GSE207356,9554,4285,4274,0.447351894494453,0.978,11,singleR,autologous_ok,FALSE,external
GSM6284913_TS173_05_Sample_E,GSE207356,5670,376,372,0.0656084656084656,0.855,4,singleR,autologous_ok,FALSE,external
GSM6284914_TS173_06_Sample_F,GSE207356,6776,548,542,0.0799881936245573,0.985,6,singleR,autologous_ok,FALSE,external
1216_Dg,GSE227903,2239,384,382,0.170611880303707,0.969,2,singleR,autologous_ok,FALSE,external
1216_MRD,GSE227903,1789,655,653,0.365008384572387,0.98,2,singleR,autologous_ok,FALSE,external
1216_R,GSE227903,5447,649,645,0.118413805764641,0.856,4,singleR,autologous_ok,FALSE,external
1886_Dg,GSE227903,3089,73,73,0.0236322434444804,0.973,0,singleR,autologous_ok,FALSE,external
1886_MRD,GSE227903,2777,298,298,0.107310046813108,0.946,0,singleR,autologous_ok,FALSE,external
1886_R,GSE227903,1705,101,101,0.0592375366568915,0.792,0,singleR,autologous_ok,FALSE,external
3822_R,GSE227903,452,270,270,0.597345132743363,0.996,0,singleR,autologous_ok,FALSE,external
3853_Dg,GSE227903,1310,1,0,0,1,1,singleR,fallback_external,TRUE,external
3853_R,GSE227903,525,1,0,0,1,1,singleR,fallback_external,TRUE,external
3904_Dg,GSE227903,3190,113,111,0.0347962382445141,0.82,2,singleR,autologous_ok,FALSE,external
3904_MRD,GSE227903,2246,113,113,0.0503116651825468,0.929,0,singleR,autologous_ok,FALSE,external
3904_R,GSE227903,8901,54,53,0.00595438714751152,0.679,1,singleR,autologous_ok,FALSE,external
40389_Dg,GSE227903,2947,480,477,0.161859518154055,0.813,3,singleR,autologous_ok,FALSE,external
40389_MRD,GSE227903,3652,2017,2017,0.552300109529025,0.933,0,singleR,autologous_ok,FALSE,external
40389_R,GSE227903,5035,3098,3094,0.614498510427011,0.918,4,singleR,autologous_ok,FALSE,external
4978_Dg,GSE227903,2575,259,259,0.100582524271845,0.973,0,singleR,autologous_ok,FALSE,external
4978_MRD,GSE227903,1688,309,309,0.183056872037915,0.942,0,singleR,autologous_ok,FALSE,external
4978_R,GSE227903,2002,11,0,0,0.7,11,singleR,fallback_external,TRUE,external
5143_Dg,GSE227903,1091,96,96,0.0879926672777269,1,0,singleR,autologous_ok,FALSE,external
5143_R,GSE227903,2059,259,259,0.125789218067023,0.992,0,singleR,autologous_ok,FALSE,external
5750_Dg,GSE227903,4026,44,0,0,0.976,44,singleR,fallback_external,TRUE,external
5750_MRD,GSE227903,2150,124,124,0.0576744186046512,0.968,0,singleR,autologous_ok,FALSE,external
5750_R,GSE227903,4876,1326,1326,0.27194421657096,0.896,0,singleR,autologous_ok,FALSE,external
6323_Dg,GSE227903,600,10,0,0,1,10,singleR,fallback_external,TRUE,external
6323_MRD,GSE227903,10035,822,817,0.0814150473343299,0.88,5,singleR,autologous_ok,FALSE,external
6323_R,GSE227903,885,93,92,0.103954802259887,0.957,1,singleR,autologous_ok,FALSE,external
6323_R2,GSE227903,3621,1251,1249,0.344932339132836,0.926,2,singleR,autologous_ok,FALSE,external
PT10A,GSE239721,1223,5,0,0,0.5,5,singleR,fallback_external,TRUE,external
PT12A,GSE239721,393,0,0,0,,0,singleR,fallback_external,TRUE,external
PT13A,GSE239721,476,1,0,0,0,1,singleR,fallback_external,TRUE,external
PT14A,GSE239721,632,0,0,0,,0,singleR,fallback_external,TRUE,external
PT15A,GSE239721,3910,0,0,0,,0,singleR,fallback_external,TRUE,external
PT16A,GSE239721,1468,1,0,0,,1,singleR,fallback_external,TRUE,external
PT17A,GSE239721,2339,0,0,0,,0,singleR,fallback_external,TRUE,external
PT20A,GSE239721,991,1,0,0,,1,singleR,fallback_external,TRUE,external
PT21A,GSE239721,3357,1,0,0,0,1,singleR,fallback_external,TRUE,external
PT22A,GSE239721,1640,6,0,0,0.667,6,singleR,fallback_external,TRUE,external
PT23A,GSE239721,4097,8,0,0,0,8,singleR,fallback_external,TRUE,external
PT26A,GSE239721,1165,0,0,0,,0,singleR,fallback_external,TRUE,external
PT27A,GSE239721,4988,0,0,0,,0,singleR,fallback_external,TRUE,external
PT28A,GSE239721,7258,2,0,0,1,2,singleR,fallback_external,TRUE,external
PT29A,GSE239721,2150,29,0,0,0.31,29,singleR,fallback_external,TRUE,external
PT30A,GSE239721,604,2,0,0,,2,singleR,fallback_external,TRUE,external
PT32A,GSE239721,1700,0,0,0,,0,singleR,fallback_external,TRUE,external
GSM8791432_MLL_14666,GSE289435,8111,402,384,0.0473431142892368,0.721,18,singleR,autologous_ok,FALSE,external
GSM8791433_MLL_16703,GSE289435,6978,889,882,0.126397248495271,0.942,7,singleR,autologous_ok,FALSE,external
GSM8791434_MLL_17746,GSE289435,4881,108,98,0.0200778528989961,0.857,10,singleR,autologous_ok,FALSE,external
GSM8791435_MLL_17843,GSE289435,12268,527,524,0.0427127486142811,0.719,3,singleR,autologous_ok,FALSE,external
GSM8791436_MLL_17844,GSE289435,9108,3,0,0,1,3,singleR,fallback_external,TRUE,external
GSM8791437_MLL_28824,GSE289435,4189,1098,1062,0.253521126760563,0.857,36,singleR,autologous_ok,FALSE,external
GSM8791438_MLL_28830,GSE289435,4170,295,293,0.070263788968825,0.819,2,singleR,autologous_ok,FALSE,external
GSM8791439_MLL_28855,GSE289435,4562,184,180,0.0394563787812363,0.767,4,singleR,autologous_ok,FALSE,external
GSM8791441_MLL_29532,GSE289435,4853,4461,4461,0.919225221512466,0.799,0,singleR,autologous_ok,FALSE,external
GSM8791442_MLL_29538,GSE289435,4010,361,355,0.0885286783042394,0.941,6,singleR,autologous_ok,FALSE,external
GSM8791443_MLL_30862,GSE289435,2659,9,0,0,1,9,singleR,fallback_external,TRUE,external
