sample,dataset,n_qc_cells,arms,n_types,evidence_tier,conflict_frac,expr_conflict_frac,n_called,called_frac,n_malignant,malignant_frac,n_high,n_conflicting,n_low_single
AML0693,GSE185381,2786,infercnv,1,C_single,0,,2786,1,514,0.1845,0,0,2786
AML073,GSE185381,4481,infercnv,1,C_single,0,,4481,1,196,0.0437,0,0,4481
AML1371,GSE185381,1510,infercnv,1,C_single,0,,1510,1,41,0.0272,0,0,1510
AML2123,GSE185381,788,infercnv,1,C_single,0,,788,1,22,0.0279,0,0,788
AML2451,GSE185381,2639,infercnv,1,C_single,0,,2639,1,115,0.0436,0,0,2639
AML2910,GSE185381,4124,infercnv,1,C_single,0,,4124,1,51,0.0124,0,0,4124
AML3050,GSE185381,1763,infercnv,1,C_single,0,,1763,1,276,0.1566,0,0,1763
AML3133,GSE185381,2096,infercnv,1,C_single,0,,2096,1,60,0.0286,0,0,2096
AML3266,GSE185381,1418,infercnv,1,C_single,0,,1418,1,253,0.1784,0,0,1418
AML3730,GSE185381,4460,infercnv,1,C_single,0,,4460,1,131,0.0294,0,0,4460
AML3762,GSE185381,5771,infercnv,1,C_single,0,,5771,1,113,0.0196,0,0,5771
AML3948,GSE185381,6232,infercnv,1,C_single,0,,6232,1,466,0.0748,0,0,6232
AML4340,GSE185381,2487,infercnv,1,C_single,0,,2487,1,158,0.0635,0,0,2487
AML4897,GSE185381,2355,infercnv,1,C_single,0,,2355,1,83,0.0352,0,0,2355
Control0004,GSE185381,1209,infercnv,1,C_single,0,,1209,1,214,0.177,0,0,1209
Control0005,GSE185381,3332,infercnv,1,C_single,0,,3332,1,127,0.0381,0,0,3332
Control0058,GSE185381,5179,infercnv,1,C_single,0,,5179,1,340,0.0656,0,0,5179
Control0082,GSE185381,7108,infercnv,1,C_single,0,,7108,1,837,0.1178,0,0,7108
Control1,GSE185381,2657,infercnv,1,C_single,0,,2657,1,49,0.0184,0,0,2657
Control2,GSE185381,1994,infercnv,1,C_single,0,,1994,1,20,0.01,0,0,1994
Control3,GSE185381,3560,infercnv,1,C_single,0,,3560,1,127,0.0357,0,0,3560
Control4,GSE185381,5053,infercnv,1,C_single,0,,5053,1,205,0.0406,0,0,5053
Control4003,GSE185381,4772,infercnv,1,C_single,0,,4772,1,225,0.0472,0,0,4772
Control5,GSE185381,2515,infercnv,1,C_single,0,,2515,1,283,0.1125,0,0,2515
PAUMTZ,GSE185381,4127,infercnv,1,C_single,0,,4127,1,242,0.0586,0,0,4127
PAWWEE,GSE185381,505,infercnv,1,C_single,0,,505,1,6,0.0119,0,0,505
PAXMIJ,GSE185381,932,infercnv,1,C_single,0,,932,1,403,0.4324,0,0,932
GSM5628163_M03,GSE185991,1248,infercnv,1,C_single,0,,1248,1,5,0.004,0,0,1248
GSM5628164_M04,GSE185991,1266,infercnv,1,C_single,0,,1266,1,1,8e-04,0,0,1266
GSM5628167_M07,GSE185991,1343,infercnv,1,C_single,0,,1343,1,68,0.0506,0,0,1343
GSM5628168_M08,GSE185991,1330,infercnv,1,C_single,0,,1330,1,0,0,0,0,1330
GSM5628172_M22,GSE185991,3058,infercnv,1,C_single,0,,3058,1,105,0.0343,0,0,3058
GSM5628174_M24,GSE185991,4782,infercnv,1,C_single,0,,4782,1,53,0.0111,0,0,4782
GSM5628175_M25,GSE185991,895,infercnv,1,C_single,0,,895,1,15,0.0168,0,0,895
GSM5628176_M26,GSE185991,1508,infercnv,1,C_single,0,,1508,1,0,0,0,0,1508
GSM5628177_M27,GSE185991,964,infercnv,1,C_single,0,,964,1,7,0.0073,0,0,964
GSM5628178_M28,GSE185991,1992,infercnv,1,C_single,0,,1992,1,103,0.0517,0,0,1992
GSM5628180_M30,GSE185991,2587,infercnv,1,C_single,0,,2587,1,260,0.1005,0,0,2587
GSM5628181_M31,GSE185991,2155,infercnv,1,C_single,0,,2155,1,91,0.0422,0,0,2155
GSM5628182_M32,GSE185991,3663,infercnv,1,C_single,0,,3663,1,104,0.0284,0,0,3663
GSM5628183_M33,GSE185991,1907,infercnv,1,C_single,0,,1907,1,53,0.0278,0,0,1907
GSM5628186_M39,GSE185991,1297,infercnv,1,C_single,0,,1297,1,50,0.0386,0,0,1297
GSM5628187_M40,GSE185991,1906,infercnv,1,C_single,0,,1906,1,58,0.0304,0,0,1906
GSM5628188_M41,GSE185991,1848,infercnv,1,C_single,0,,1848,1,8,0.0043,0,0,1848
GSM5628192_M45,GSE185991,1018,infercnv,1,C_single,0,,1018,1,29,0.0285,0,0,1018
GSM5628195_M48,GSE185991,2728,infercnv,1,C_single,0,,2728,1,97,0.0356,0,0,2728
GSM5628196_M49,GSE185991,2944,infercnv,1,C_single,0,,2944,1,16,0.0054,0,0,2944
GSM6412447_M36,GSE185991,3193,infercnv,1,C_single,0,,3193,1,0,0,0,0,3193
GSM6412448_M38,GSE185991,5181,infercnv,1,C_single,0,,5181,1,78,0.0151,0,0,5181
GSM6412449_M84,GSE185991,5979,infercnv,1,C_single,0,,5979,1,7,0.0012,0,0,5979
GSM6412450_M85,GSE185991,4565,infercnv,1,C_single,0,,4565,1,225,0.0493,0,0,4565
GSM6412451_M88,GSE185991,3286,infercnv,1,C_single,0,,3286,1,88,0.0268,0,0,3286
GSM6412452_M89,GSE185991,3235,infercnv,1,C_single,0,,3235,1,93,0.0287,0,0,3235
GSM6412453_M92,GSE185991,2404,infercnv,1,C_single,0,,2404,1,53,0.022,0,0,2404
GSM6412454_M93,GSE185991,2003,infercnv,1,C_single,0,,2003,1,27,0.0135,0,0,2003
GSM6412455_M95,GSE185991,2673,infercnv,1,C_single,0,,2673,1,29,0.0108,0,0,2673
GSM6085176_AML01M4_CR,GSE201966,1226,infercnv,1,C_single,0,,1226,1,119,0.0971,0,0,1226
GSM6085177_AML01M4_P,GSE201966,2054,infercnv,1,C_single,0,,2054,1,106,0.0516,0,0,2054
GSM6085178_AML01M4_RE,GSE201966,6501,infercnv,1,C_single,0,,6501,1,379,0.0583,0,0,6501
GSM6085179_AML02M5_P,GSE201966,2599,infercnv,1,C_single,0,,2599,1,0,0,0,0,2599
