dataset,sample,n_cells,frac,healthy
GSE239721,PT23A,295,0.322033898305085,FALSE
GSE239721,PT26A,810,0.348148148148148,FALSE
GSE239721,PT27A,3038,0.612244897959184,FALSE
GSE239721,PT28A,1999,0.883941970985493,FALSE
GSE239721,PT29A,1673,0.731022115959354,FALSE
GSE239721,PT30A,43,0.767441860465116,FALSE
GSE239721,PT32A,2,1,FALSE
GSE253355,GSM8019212_H14_MACS,82,0,TRUE
GSE253355,GSM8019213_H21,120,0.175,TRUE
GSE253355,GSM8019214_H23,32,0.0625,TRUE
GSE253355,GSM8019215_H24,9,0,TRUE
GSE253355,GSM8019216_H32,220,0.109090909090909,TRUE
GSE253355,GSM8019217_H33,791,0.0278128950695322,TRUE
GSE253355,GSM8019218_H34,13,0.230769230769231,TRUE
GSE253355,GSM8019219_H35,142,0.0704225352112676,TRUE
GSE253355,GSM8019220_H36,460,0.0630434782608696,TRUE
GSE253355,GSM8019221_H38,273,0.043956043956044,TRUE
GSE253355,GSM8019222_H39,518,0.0212355212355212,TRUE
GSE253355,GSM8019223_H41,270,0.0481481481481482,TRUE
GSE289435,GSM8791432_MLL_14666,410,0.651219512195122,FALSE
GSE289435,GSM8791433_MLL_16703,599,0.419031719532554,FALSE
GSE289435,GSM8791434_MLL_17746,179,0.11731843575419,FALSE
GSE289435,GSM8791435_MLL_17843,4255,0.0427732079905993,FALSE
GSE289435,GSM8791436_MLL_17844,3,0.666666666666667,FALSE
GSE289435,GSM8791437_MLL_28824,60,0.116666666666667,FALSE
GSE289435,GSM8791438_MLL_28830,404,0.200495049504951,FALSE
GSE289435,GSM8791439_MLL_28855,147,0.428571428571429,FALSE
GSE289435,GSM8791441_MLL_29532,118,0.26271186440678,FALSE
GSE289435,GSM8791442_MLL_29538,13,0.230769230769231,FALSE
GSE289435,GSM8791443_MLL_30862,11,0.454545454545455,FALSE
GSE289435,GSM8791444_MLL_30886,612,0.106209150326797,FALSE
Petti2019,508084,788,0.881979695431472,FALSE
Petti2019,548327,238,0.189075630252101,FALSE
Petti2019,721214,6112,0.270124345549738,FALSE
Petti2019,782328,338,0.393491124260355,FALSE
Petti2019,809653,962,0.886694386694387,FALSE
