dataset	sample_id	pipeline_sample_id	join_rule
GSE185381	GSE185381__AML4340	AML4340	exact
GSE185381	GSE185381__AML4897	AML4897	exact
GSE185381	GSE185381__Control0004	Control0004	exact
GSE185381	GSE185381__Control0005	Control0005	exact
GSE185381	GSE185381__Control0058	Control0058	exact
GSE185381	GSE185381__Control0082	Control0082	exact
GSE185381	GSE185381__Control1	Control1	exact
GSE185381	GSE185381__Control2	Control2	exact
GSE185381	GSE185381__Control3	Control3	exact
GSE185381	GSE185381__Control4	Control4	exact
GSE185381	GSE185381__Control4003	Control4003	exact
GSE185381	GSE185381__Control5	Control5	exact
GSE185381	GSE185381__PAUMTZ	PAUMTZ	exact
GSE185381	GSE185381__PAWWEE	PAWWEE	exact
GSE185381	GSE185381__PAXMIJ	PAXMIJ	exact
GSE185991	GSE185991__PT01_DX	GSM5628163_M03;GSM5628164_M04	gsm_multi_2
GSE185991	GSE185991__PT01_D14	GSM5628165_M05;GSM5628166_M06	gsm_multi_2
GSE185991	GSE185991__PT01_D30	GSM5628177_M27;GSM5628190_M43	gsm_multi_2
GSE185991	GSE185991__PT01_D30_RI	GSM5628177_M27;GSM5628190_M43	gsm_multi_2
GSE185991	GSE185991__PT02_DX	GSM5628175_M25	gsm_prefix
GSE185991	GSE185991__PT02_D30	GSM5628176_M26	gsm_prefix
GSE185991	GSE185991__PT06_DX	GSM5628167_M07;GSM5628168_M08	gsm_multi_2
GSE185991	GSE185991__PT06_D14	GSM5628169_M09;GSM5628170_M10	gsm_multi_2
GSE185991	GSE185991__PT07_DX	GSM5628171_M21;GSM5628172_M22	gsm_multi_2
GSE185991	GSE185991__PT07_D14	GSM5628173_M23;GSM5628174_M24	gsm_multi_2
GSE185991	GSE185991__PT08_DX	GSM5628178_M28	gsm_prefix
GSE185991	GSE185991__PT08_D14	GSM5628179_M29	gsm_prefix
GSE185991	GSE185991__PT08_D30	GSM5628186_M39	gsm_prefix
GSE185991	GSE185991__PT08_REL	GSM5628180_M30;GSM5628181_M31	gsm_multi_2
GSE185991	GSE185991__PT08_REL_NR	GSM5628180_M30;GSM5628181_M31	gsm_multi_2
GSE185991	GSE185991__PT09_DX	GSM5628182_M32	gsm_prefix
GSE185991	GSE185991__PT09_D14	GSM5628184_M34	gsm_prefix
GSE185991	GSE185991__PT09_D30	GSM5628197_M50	gsm_prefix
GSE185991	GSE185991__PT10_DX	GSM5628183_M33	gsm_prefix
GSE185991	GSE185991__PT10_D14	GSM5628185_M35	gsm_prefix
GSE185991	GSE185991__PT10_D30	GSM5628190_M43	gsm_prefix
GSE185991	GSE185991__PT10_REL	GSM5628189_M42	gsm_prefix
GSE185991	GSE185991__PT11_DX	GSM6412447_M36	gsm_prefix
GSE185991	GSE185991__PT11_D30	GSM6412448_M38	gsm_prefix
GSE185991	GSE185991__PT12_DX	GSM5628187_M40	gsm_prefix
GSE185991	GSE185991__PT12_D14	GSM5628191_M44	gsm_prefix
GSE185991	GSE185991__PT12_D30	GSM5628192_M45	gsm_prefix
GSE185991	GSE185991__PT13_DX	GSM5628188_M41	gsm_prefix
GSE185991	GSE185991__PT13_D14	GSM5628191_M44	gsm_prefix
GSE185991	GSE185991__PT13_D30	GSM5628197_M50	gsm_prefix
GSE185991	GSE185991__PT15_DX	GSM5628195_M48	gsm_prefix
GSE185991	GSE185991__PT15_REL	GSM5628196_M49	gsm_prefix
GSE185991	GSE185991__PT17_DX	GSM6412449_M84	gsm_prefix
GSE185991	GSE185991__PT17_D14	GSM6412453_M92	gsm_prefix
GSE185991	GSE185991__PT17_D30	GSM6412450_M85	gsm_prefix
GSE185991	GSE185991__PT18_DX	GSM6412451_M88	gsm_prefix
GSE185991	GSE185991__PT18_D14	GSM6412452_M89	gsm_prefix
GSE185991	GSE185991__PT18_D30	""	UNRESOLVED
GSE185991	GSE185991__PT19_REL	GSM6412454_M93	gsm_prefix
GSE185991	GSE185991__PT20_REL	GSM6412455_M95	gsm_prefix
GSE201966	GSE201966__AML01M4_P	GSM6085177_AML01M4_P	gsm_prefix
GSE201966	GSE201966__AML01M4_CR	GSM6085176_AML01M4_CR	gsm_prefix
GSE201966	GSE201966__AML01M4_RE	GSM6085178_AML01M4_RE	gsm_prefix
GSE201966	GSE201966__AML02M5_P	GSM6085179_AML02M5_P	gsm_prefix
GSE201966	GSE201966__AML02M5_RE	GSM6085180_AML02M5_RE	gsm_prefix
GSE201966	GSE201966__AML03M5_P	GSM6085181_AML03M5_P	gsm_prefix
GSE201966	GSE201966__AML03M5_RE	GSM6085182_AML03M5_RE	gsm_prefix
GSE207356	GSE207356__TS173_04_Sample_D_screening_pretreatment	GSM6284912_TS173_04_Sample_D	gsm_prefix
GSE207356	GSE207356__TS173_05_Sample_E_treatment_timepoint2_Cycle2_Day3	GSM6284913_TS173_05_Sample_E	gsm_prefix
GSE207356	GSE207356__TS173_06_Sample_F_treatment_timepoint4_Cycle4_Day1	GSM6284914_TS173_06_Sample_F	gsm_prefix
GSE227903	GSE227903__1216_Dg	1216_Dg	exact
GSE227903	GSE227903__1216_MRD	1216_MRD	exact
GSE227903	GSE227903__1216_R	1216_R	exact
GSE227903	GSE227903__1886_Dg	1886_Dg	exact
GSE227903	GSE227903__1886_MRD	1886_MRD	exact
GSE227903	GSE227903__1886_R	1886_R	exact
GSE227903	GSE227903__3822_Dg	3822_Dg	exact
GSE227903	GSE227903__3822_R	3822_R	exact
GSE227903	GSE227903__3853_Dg	3853_Dg	exact
GSE227903	GSE227903__3853_R	3853_R	exact
GSE227903	GSE227903__3904_Dg	3904_Dg	exact
GSE227903	GSE227903__3904_MRD	3904_MRD	exact
GSE227903	GSE227903__3904_R	3904_R	exact
GSE227903	GSE227903__40389_Dg	40389_Dg	exact
GSE227903	GSE227903__40389_MRD	40389_MRD	exact
GSE227903	GSE227903__40389_R	40389_R	exact
GSE227903	GSE227903__4978_Dg	4978_Dg	exact
GSE227903	GSE227903__4978_MRD	4978_MRD	exact
GSE227903	GSE227903__4978_R	4978_R	exact
GSE227903	GSE227903__5143_Dg	5143_Dg	exact
GSE227903	GSE227903__5143_R	5143_R	exact
GSE227903	GSE227903__5750_Dg	5750_Dg	exact
GSE227903	GSE227903__5750_MRD	5750_MRD	exact
GSE227903	GSE227903__5750_R	5750_R	exact
GSE227903	GSE227903__6323_Dg	6323_Dg	exact
GSE227903	GSE227903__6323_MRD	6323_MRD	exact
GSE227903	GSE227903__6323_R	6323_R	exact
GSE227903	GSE227903__6323_R2	6323_R2	exact
GSE239721	GSE239721__Patient1		broadcast (per-sample identity not recoverable; dataset is homogeneous so it is immaterial)
GSE239721	GSE239721__Patient2		broadcast (per-sample identity not recoverable; dataset is homogeneous so it is immaterial)
GSE239721	GSE239721__Patient3		broadcast (per-sample identity not recoverable; dataset is homogeneous so it is immaterial)
GSE239721	GSE239721__Patient4		broadcast (per-sample identity not recoverable; dataset is homogeneous so it is immaterial)
GSE239721	GSE239721__Patient5		broadcast (per-sample identity not recoverable; dataset is homogeneous so it is immaterial)
GSE239721	GSE239721__Patient6		broadcast (per-sample identity not recoverable; dataset is homogeneous so it is immaterial)
GSE239721	GSE239721__Patient7		broadcast (per-sample identity not recoverable; dataset is homogeneous so it is immaterial)
GSE239721	GSE239721__Patient8		broadcast (per-sample identity not recoverable; dataset is homogeneous so it is immaterial)
GSE239721	GSE239721__Patient9		broadcast (per-sample identity not recoverable; dataset is homogeneous so it is immaterial)
GSE239721	GSE239721__Patient10		broadcast (per-sample identity not recoverable; dataset is homogeneous so it is immaterial)
GSE239721	GSE239721__Patient11		broadcast (per-sample identity not recoverable; dataset is homogeneous so it is immaterial)
GSE239721	GSE239721__Patient12		broadcast (per-sample identity not recoverable; dataset is homogeneous so it is immaterial)
GSE239721	GSE239721__Patient13		broadcast (per-sample identity not recoverable; dataset is homogeneous so it is immaterial)
GSE239721	GSE239721__Patient14		broadcast (per-sample identity not recoverable; dataset is homogeneous so it is immaterial)
GSE239721	GSE239721__Patient15		broadcast (per-sample identity not recoverable; dataset is homogeneous so it is immaterial)
GSE239721	GSE239721__Patient16		broadcast (per-sample identity not recoverable; dataset is homogeneous so it is immaterial)
GSE239721	GSE239721__Patient17		broadcast (per-sample identity not recoverable; dataset is homogeneous so it is immaterial)
GSE239721	GSE239721__Patient18		broadcast (per-sample identity not recoverable; dataset is homogeneous so it is immaterial)
GSE239721	GSE239721__Patient19		broadcast (per-sample identity not recoverable; dataset is homogeneous so it is immaterial)
GSE239721	GSE239721__Patient20		broadcast (per-sample identity not recoverable; dataset is homogeneous so it is immaterial)
GSE253355	GSE253355__H14_MACS	GSM8019212_H14_MACS	gsm_prefix
GSE253355	GSE253355__H21	GSM8019213_H21	gsm_prefix
GSE253355	GSE253355__H23	GSM8019214_H23	gsm_prefix
GSE253355	GSE253355__H24	GSM8019215_H24	gsm_prefix
GSE253355	GSE253355__H32	GSM8019216_H32	gsm_prefix
GSE253355	GSE253355__H33	GSM8019217_H33	gsm_prefix
GSE253355	GSE253355__H34	GSM8019218_H34	gsm_prefix
GSE253355	GSE253355__H35	GSM8019219_H35	gsm_prefix
GSE253355	GSE253355__H36	GSM8019220_H36	gsm_prefix
GSE253355	GSE253355__H38	GSM8019221_H38	gsm_prefix
GSE253355	GSE253355__H39	GSM8019222_H39	gsm_prefix
GSE253355	GSE253355__H41	GSM8019223_H41	gsm_prefix
GSE289435	GSE289435__MLL_14666	GSM8791432_MLL_14666	gsm_prefix
GSE289435	GSE289435__MLL_16703	GSM8791433_MLL_16703	gsm_prefix
GSE289435	GSE289435__MLL_17746	GSM8791434_MLL_17746	gsm_prefix
GSE289435	GSE289435__MLL_17843	GSM8791435_MLL_17843	gsm_prefix
GSE289435	GSE289435__MLL_17844	GSM8791436_MLL_17844	gsm_prefix
GSE289435	GSE289435__MLL_28824	GSM8791437_MLL_28824	gsm_prefix
GSE289435	GSE289435__MLL_28830	GSM8791438_MLL_28830	gsm_prefix
GSE289435	GSE289435__MLL_28855	GSM8791439_MLL_28855	gsm_prefix
GSE289435	GSE289435__MLL_29512	""	UNRESOLVED
GSE289435	GSE289435__MLL_29532	GSM8791441_MLL_29532	gsm_prefix
GSE289435	GSE289435__MLL_29538	GSM8791442_MLL_29538	gsm_prefix
GSE289435	GSE289435__MLL_30862	GSM8791443_MLL_30862	gsm_prefix
GSE289435	GSE289435__MLL_30886	GSM8791444_MLL_30886	gsm_prefix
Petti2019	Petti2019__508084	508084	exact
Petti2019	Petti2019__548327	548327	exact
Petti2019	Petti2019__721214	721214	exact
Petti2019	Petti2019__782328	782328	exact
Petti2019	Petti2019__809653	809653	exact
