alpha,feature_set,features,mean_healthy,mean_aml,beta_global,p_global,beta_strat,p_strat,family,q_strat,split
0.0,only_st_vanGalen_HSC_Prog_malignant,st_vanGalen_HSC_Prog_malignant,0.0920883720511138,0.18530083173196862,0.021505591988559475,0.5711534288465712,-0.005236742204111932,0.8743161256838743,st,0.8743161256838743,discovery
0.0,only_st_vanGalen_HSCprog_like_malignant,st_vanGalen_HSCprog_like_malignant,0.0573225389699981,0.13926157905535816,0.057850012624284027,0.07643192356807643,0.053816699485522174,0.06459393540606459,st,0.10707855958810708,discovery
0.0,only_pg_Androgen,pg_Androgen,0.11762233904370031,0.15844075564324056,0.05258880987535827,0.08035191964808035,0.03163173393839028,0.39264060735939266,pg,0.5612979387020612,discovery
0.0,only_pg_EGFR,pg_EGFR,0.07188693666069332,0.13306837702488225,0.04362343415386853,0.07875992124007876,0.02897493700705175,0.35273664726335274,pg,0.5612979387020612,discovery
0.0,only_pg_Estrogen,pg_Estrogen,0.07011272528776871,0.16619260584828116,0.06852777729312838,0.04598595401404599,0.09535284754391628,0.017385982614017387,pg,0.2048967951032049,discovery
0.0,only_pg_Hypoxia,pg_Hypoxia,0.08523812340461444,0.11823706895726496,0.023946901084947927,0.3480856519143481,0.03794890777971965,0.2172927827072173,pg,0.43458556541443455,discovery
0.0,only_pg_JAK_STAT,pg_JAK_STAT,0.08675729229811299,0.19848665228632195,0.07205315993893933,0.060104939895060105,0.07563013408286241,0.08761191238808762,pg,0.3135996864003136,discovery
0.0,only_pg_MAPK,pg_MAPK,0.08438992305951018,0.14179257139998822,0.07699267457273473,0.00926099073900926,0.07045205633643556,0.04351495648504351,pg,0.22845352154647844,discovery
0.0,only_pg_NFkB,pg_NFkB,0.1744151895891627,0.18104476123551863,-0.0014632664539079633,0.9717570282429717,-0.015924161373774965,0.7554712445287555,pg,0.8275047109568274,discovery
0.0,only_pg_p53,pg_p53,0.039921731919647555,0.09988292872096652,0.03393337109239829,0.12431087568912431,0.031226634994369423,0.1652098347901652,pg,0.42952472837000844,discovery
0.0,only_pg_PI3K,pg_PI3K,0.04138359184438384,0.10619020946155203,0.06927845014112037,0.000877999122000878,0.08002852203712373,0.001767998232001768,pg,0.03788396211603788,discovery
0.0,only_pg_TGFb,pg_TGFb,0.11163850091522949,0.17710339240812226,0.04776333803188171,0.21846278153721846,0.028817000117736948,0.48546051453948547,pg,0.5825526174473826,discovery
0.0,only_pg_TNFa,pg_TNFa,0.08262688645672608,0.1421399472598291,0.06118490828841324,0.033605966394033605,0.044314581415485756,0.2071947928052072,pg,0.43458556541443455,discovery
0.0,only_pg_Trail,pg_Trail,0.0638051207362212,0.13191312434755523,0.050233422660873515,0.03473496526503474,0.05485973479573244,0.0602009397990602,pg,0.28093771906228093,discovery
0.0,only_pg_VEGF,pg_VEGF,0.07938462170144343,0.11607075855909925,0.017483634266047158,0.48466551533448465,0.019976909758199313,0.4829185170814829,pg,0.5825526174473826,discovery
0.0,only_pg_WNT,pg_WNT,0.10143543916137662,0.17637446677048071,0.04501760944344834,0.21895378104621896,0.04344812708085109,0.2676197323802676,pg,0.4683345316654683,discovery
0.0,only_pg_Androgen_normal,pg_Androgen_normal,0.11167937186857049,0.16223340373848066,0.0585885979414466,0.04997795002204998,0.033491106404452256,0.36371963628036375,pg,0.5612979387020612,discovery
0.0,only_pg_EGFR_normal,pg_EGFR_normal,0.07536273223739057,0.12648161433508828,0.03972337795664827,0.09774690225309775,0.02430659520805553,0.42765557234442764,pg,0.5612979387020612,discovery
0.0,only_pg_Estrogen_normal,pg_Estrogen_normal,0.06914043692600355,0.17676715326923917,0.0705065891775548,0.054053945946054054,0.0946002376178808,0.021374978625021374,pg,0.2048967951032049,discovery
0.0,only_pg_Hypoxia_normal,pg_Hypoxia_normal,0.08596832585909252,0.12172608473349,0.0256848853612878,0.31718068281931716,0.04017522512119328,0.19264080735919265,pg,0.42952472837000844,discovery
